trade_date,HC.SHF,I.DCE,J.DCE,JM.DCE,RB.SHF,SF.ZCE,SM.ZCE,SS.SHF
20180102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180129,0.1584329684625397,5.185223362720973,-2.6158654702331647,2.859335762501141,-0.47998559608587005,3.73197667270945,3.6842823372133884,0.0
20180130,4.0054081060353255,7.528590747239685,-5.453311306604138,4.33716288785285,0.6942176893291221,7.089642553941653,6.6143316972829505,0.0
20180131,19.107631207611934,9.771511159251226,-8.259310482250193,4.9632666988261605,15.098292087045548,10.34612876856242,9.085722374568574,0.0
20180201,25.225087401085457,11.274144390895877,-11.479016021696683,6.0109701499467585,22.891818787730156,12.752101071657922,10.870062898926205,0.0
20180202,8.531242277699631,12.13292326386528,-13.479930430798083,4.560567342834034,20.98744006128742,14.493012624434963,12.40361290031868,0.0
20180205,-4.684136457310795,12.561477504877393,-14.26173297906502,1.8171605946468818,9.688872309101281,14.84544411096974,12.951396958255767,0.0
20180206,-11.944210921720462,15.079960289817427,-14.372485069894315,-0.7468123897862594,2.664137149329066,15.27644761023406,13.326405048384487,0.0
20180207,-15.787356065479281,14.652636271727875,-15.8779384152332,-3.6914266936619735,-2.9578659634115665,15.297937213269368,13.373267711711852,0.0
20180208,-19.905325572908716,15.795033589033217,-17.69250954547199,-5.821071838063472,-8.64667314154297,16.215435347384844,13.666836698485415,0.0
20180209,-18.653379243134154,16.69751691459586,-17.136209356067486,-5.224073826119646,-11.619881806233787,16.572300625500844,13.858093413153304,0.0
20180212,-28.73590669398531,10.81938480611345,-18.227497795456973,-7.050076542097976,-25.518639792187802,17.20203954726276,14.554209787938424,0.0
20180213,-37.167525957815016,3.939618782032604,-19.24659858255072,-10.0351365295397,-37.09136576094497,19.216839773629225,14.603153866855639,0.0
20180214,-43.28533375908993,-2.4523155104199477,-20.605694787073627,-13.612501840131412,-46.288738051186094,19.205621514162143,13.941105223379664,0.0
20180222,-45.48886545980563,-7.470625749265866,-21.355475904807076,-15.751089054605488,-49.88499330235146,20.02760457355793,13.516719135398425,0.0
20180223,-47.14650650843142,-12.135743520142192,-21.921509967,-17.979560175423753,-51.47813959869011,21.33247252578333,12.781087829552638,0.0
20180226,-44.93899774776519,-7.305068310576781,-22.53103724555483,-20.57270890574564,-51.08122932777102,23.00107615159682,13.848134380829723,0.0
20180227,-42.95514917889811,-3.0687655281293234,-23.376969066658535,-22.88403936893227,-50.279999142714765,23.83457623844486,13.994150384013453,0.0
20180228,-40.52268410308034,1.4109726785588494,-23.25405948543798,-24.348079270763865,-48.50565063653395,24.57245058250999,13.06678568235664,0.0
20180301,-38.07458760856061,5.104970330012359,-23.14166656721988,-24.361110695781253,-47.24257878634846,25.373378849798264,12.172409320280229,0.0
20180302,-35.763313264858546,10.333631429011373,-22.596350799998085,-28.03684002931099,-45.871431018743,26.540299014595544,11.998148696276129,0.0
20180305,-33.13215030352058,11.713835800805937,-21.32076155612797,-29.921675687768534,-43.72224286598212,25.88337353701143,12.000726955469977,0.0
20180306,-34.72758857790108,1.8851148733242642,-20.679496145626754,-31.048393840099695,-44.573167185993135,25.518523059677335,12.727339103452456,0.0
20180307,-34.92324774207913,-6.025854983754106,-18.906068366264137,-29.846626913837902,-43.756516497660016,25.34030561170544,11.486134620494806,0.0
20180308,-34.10345534538455,-11.095684835496705,-16.376040099596757,-27.87968895389043,-41.668868456764365,25.643949675383574,10.634066917549214,0.0
20180309,-32.733864778961305,-14.582167608554514,-14.250369695654994,-25.383172918677936,-39.02367205222094,24.514146292202856,9.749872955019592,0.0
20180312,-31.45846361636137,-16.93169028778459,-12.281932643950668,-22.386220638733775,-36.49519639524246,23.542458010512327,8.910910152380238,0.0
20180313,-29.974756057435336,-18.37027600913102,-11.11504817357882,-19.53039448556947,-34.106913849701385,22.70562219876749,8.118814500667465,0.0
20180314,-28.541557048999426,-19.491952841841982,-10.65655488601327,-16.77908387279375,-32.03401152330912,22.022572438898617,8.026257192732253,0.0
20180315,-27.5897193984404,-19.717254988231453,-10.58156318705072,-14.440624623158085,-30.321373864931598,21.23109117201674,8.874047256121612,0.0
20180316,-27.054624975820012,-19.05350933564204,-10.193970456956679,-12.556550061586544,-28.83758098014722,20.439062529690492,9.966746572103231,0.0
20180319,-26.25032356683053,-18.62399705531749,-8.680292367395863,-10.663881912139741,-27.398348767825784,19.753120088992006,11.705733177377082,0.0
20180320,-25.35848429651739,-17.659250423780072,-8.052336647436968,-8.92644423902741,-26.096423212540248,18.502994400457805,13.84384858011345,0.0
20180321,-23.946312789130936,-17.16529966580139,-7.614308961060015,-7.154615967550983,-24.76794975205299,17.528973626209613,15.667741039295494,0.0
20180322,-22.69888390100188,-16.601978482605272,-8.623915205236901,-10.837014338195733,-23.619823836728308,16.37606289093347,16.67120003322868,0.0
20180323,-24.54449193159504,-18.29116614072387,-10.60102687706281,-12.799226939242805,-25.06147548374788,16.14621600876783,18.074421210260276,0.0
20180326,-26.117085710501126,-19.209674350748617,-12.050851832076226,-14.847486153905281,-26.60689592487967,16.361371515375023,19.129399661120377,0.0
20180327,-26.541822397018116,-20.08243545366557,-13.422916835018857,-17.240714437624693,-27.26893163429658,16.81658682913814,20.86960503359737,0.0
20180328,-26.701164061737433,-20.301343783714348,-13.552512912530323,-18.11429713725536,-27.33873662786563,17.610404198983368,22.91686366583922,0.0
