,GMV
20180102,0.0
20180103,82.71579150154112
20180104,89.73447804730398
20180105,86.82426708420068
20180108,85.42361400369532
20180109,83.0071004017526
20180110,81.93076711631436
20180111,80.96016880034833
20180112,80.62352340192106
20180115,82.1562643032641
20180116,79.6394632998456
20180117,78.13129921492528
20180118,75.74947129818756
20180119,74.70209090252423
20180122,73.36848179460772
20180123,72.54011708991811
20180124,72.6529445587819
20180125,71.86862350788242
20180126,70.62735726817975
20180129,112.8648113265758
20180130,149.71965057098737
20180131,191.01524578754714
20180201,225.58035041170484
20180202,247.14729285267856
20180205,259.19424331870505
20180206,260.5715116830591
20180207,263.0130911333772
20180208,264.37161598710804
20180209,270.27990969763704
20180212,271.0671204128663
20180213,267.9433528075474
20180214,272.4993041363035
20180222,276.459695149987
20180223,269.54358366791536
20180226,268.2312741100966
20180227,276.75933855117023
20180228,283.31928344095917
20180301,283.61413771837346
20180302,293.8089571683088
20180305,303.99821802612877
20180306,305.57895893319244
20180307,305.83260479693496
20180308,302.1663283210811
20180309,299.58728072410054
20180312,296.94173872531775
20180313,295.22329869144266
20180314,284.3466662736774
20180315,273.06993909064784
20180316,257.8561900969219
20180319,256.05989390915363
20180320,264.9639830723094
20180321,274.8959438360272
20180322,277.6312096194659
20180323,272.3974391143999
20180326,269.52160542450946
20180327,268.80177737948077
20180328,275.9048599593294
20180329,260.98440973344475
20180330,246.4097166402718
20180402,251.2337462059602
20180403,253.0748199000176
20180404,241.69663838638627
20180409,235.2662489689358
20180410,244.94314930040161
20180411,249.0576403979273
20180412,259.48935205108205
20180413,269.5159347987988
20180416,274.5459462363279
20180417,276.4541719451092
20180418,275.60947110250953
20180419,270.9132709466288
20180420,265.0120470453023
20180423,261.6113197546592
20180424,267.2774275172708
20180425,267.5562630435093
20180426,268.2116305977025
20180427,276.4930487569443
20180502,269.76801546961076
20180503,290.1218034984341
20180504,319.0775829271322
20180507,337.76849211523967
20180508,354.89692379952317
20180509,370.16679281823
20180510,378.864226526225
20180511,375.80387551592446
20180514,376.18877169935666
20180515,369.6604226459813
20180516,370.0719029735964
20180517,370.1941500571435
20180518,365.62116895508416
20180521,365.0720997648587
20180522,364.8998659319124
20180523,367.6150261964589
20180524,356.62273963280506
20180525,341.7163776457768
20180528,342.6591455682638
20180529,349.73509330836083
20180530,350.91446084021953
20180531,350.7515028728682
20180601,354.3165892913196
20180604,352.81426513937595
20180605,350.61119646179833
20180606,343.4397842327091
20180607,342.0237875090193
20180608,333.2615497613349
20180611,324.2997488537793
20180612,318.3662990218815
20180613,309.2360625288826
20180614,307.4693875558725
20180615,311.1239263525267
20180619,299.65637933309654
20180620,286.2260567295402
20180621,270.52283264126027
20180622,264.31156025632674
20180625,257.0145329530325
20180626,250.44788653901193
20180627,246.92633253060714
20180628,247.64645843300733
20180629,253.9392271912204
20180702,252.38001305852393
20180703,256.8696288598902
20180704,264.6847839343116
20180705,269.9233018294975
20180706,277.2050685602791
20180709,290.1912519528095
20180710,303.6585620554127
20180711,307.6683334087976
20180712,311.7388021112392
20180713,318.8074774370719
20180716,307.7351579473557
20180717,318.9711875775347
20180718,327.8348192330952
20180719,330.23199542895526
20180720,335.5103931458911
20180723,346.73216739242974
20180724,352.1378366266775
20180725,335.7091805722423
20180726,334.68643039979094
20180727,318.7186973834903
20180730,299.90195490878483
20180731,294.5283032960555
20180801,303.8658679180044
20180802,320.074501764921
20180803,317.4022344037037
20180806,319.8369497580476
20180807,319.39625888328084
20180808,329.6454518249091
20180809,342.1871978954498
20180810,355.57944788909276
20180813,356.4849831960346
20180814,356.7948220017867
20180815,358.0516257756102
20180816,351.0996102117545
20180817,343.99010543754287
20180820,335.0721873330548
20180821,324.94704043174795
20180822,315.1023737219449
20180823,306.2987676870287
20180824,295.87076391640306
20180827,284.5424482757162
20180828,274.3141047611591
20180829,267.8092951061768
20180830,257.06526278374236
20180831,252.26561455705377
20180903,247.59365026113133
20180904,251.75277778318662
20180905,251.856972858005
20180906,250.20297009747688
20180907,252.4736928815651
20180910,259.0707993529135
20180911,258.4166561016702
20180912,267.566200142657
20180913,271.6179840863092
20180914,277.73748504658533
20180917,285.12073661491496
20180918,290.3768826817639
20180919,293.7410801603243
20180920,295.08743452625157
20180921,291.7755588435392
20180925,291.0922495519562
20180926,290.08752428355876
20180927,297.34071349468786
20180928,299.47240080849497
20181008,305.2188911374477
20181009,310.9733574420851
20181010,313.6380421390807
20181011,314.5576056735788
20181012,309.42668464107004
20181015,304.2518579490113
20181016,294.6132034588444
20181017,289.2837742627555
20181018,278.86738111281807
20181019,276.9427008574603
20181022,276.99194617281154
20181023,280.54682371885804
20181024,284.8890348332237
20181025,285.8250591944584
20181026,288.1105421607409
20181029,286.41767073463575
20181030,288.42006073148366
20181031,290.5584728480833
20181101,294.95364146307656
20181102,296.72045828789226
20181105,296.6860479102088
20181106,296.57842897687004
20181107,297.6747865210323
20181108,306.54472910472776
20181109,320.70215697114764
20181112,328.46450206183493
20181113,322.9816985171464
20181114,327.14087730904265
20181115,312.0524140946174
20181116,302.202017880375
20181119,300.57733337219736
20181120,310.2528751705576
20181121,323.44283208858815
20181122,331.05618309079006
20181123,343.7182241022815
20181126,360.17853633349057
20181127,378.2499547284605
20181128,387.8752627813546
20181129,384.82907681347797
20181130,380.4745569320031
20181203,366.3422627066392
20181204,350.74021507061104
20181205,329.9280269881869
20181206,314.68778078562656
20181207,299.61085472521466
20181210,284.5767918168618
20181211,274.4787384832234
20181212,275.4371986361161
20181213,271.1222083124698
20181214,270.84377511797953
20181217,272.42491714873245
20181218,272.2918040685694
20181219,271.6356471673996
20181220,270.66614219285
20181221,261.65311343420706
20181224,256.1754355611058
20181225,252.79144963815736
20181226,251.10812096032214
20181227,254.42218073741006
20181228,259.5501206100098
20190102,265.3172360796467
20190103,265.8862892196594
20190104,261.0828334518186
20190107,255.6478450875601
20190108,253.78517194549448
20190109,253.70126063070245
20190110,255.17865965790017
20190111,256.99136611451576
20190114,262.5057655718882
20190115,265.94454897016163
20190116,266.6767359367088
20190117,268.45295207687866
20190118,270.1321337150549
20190121,267.85358843908966
20190122,261.0325102781537
20190123,259.8887298473451
20190124,262.37467769515763
20190125,264.8494841274603
20190128,265.9409726423416
20190129,266.5438770248966
20190130,265.7924174355061
20190131,264.54082600128055
20190201,264.3565462473608
20190211,254.00547777509183
20190212,244.69135694946024
20190213,235.07294399284953
20190214,221.09799889120544
20190215,214.1231153729701
20190218,210.3974063263025
20190219,204.0419912751402
20190220,198.62349734421824
20190221,195.23534311033785
20190222,193.63358530870514
20190225,194.70203224320386
20190226,196.5547387797338
20190227,203.49286515323146
20190228,202.4068758115917
20190301,202.13308945085788
20190304,206.37087782336926
20190305,212.41666546400808
20190306,213.79670035947007
20190307,209.2828630141083
20190308,208.02644949704325
20190311,210.87253283299796
20190312,219.06553871965968
20190313,225.837378234252
20190314,230.3676513140071
20190315,233.45030500427814
20190318,235.7731466758787
20190319,236.57998516536145
20190320,232.49153550614747
20190321,234.0203366022181
20190322,239.67765867712768
20190325,252.9842454261082
20190326,263.1427498423792
20190327,268.838918049063
20190328,277.9342878622851
20190329,302.6612365815968
20190401,325.4565696866316
20190402,332.3688342401101
20190403,335.6947770072448
20190404,348.70331965008893
20190408,360.64539189088237
20190409,369.0566391597596
20190410,374.9905319583222
20190411,380.53903418419503
20190412,373.53474808522395
20190415,354.4650398446488
20190416,339.535351250903
20190417,330.4135654594993
20190418,320.9449304861913
20190419,299.67323732665295
20190422,290.75750558979763
20190423,294.23791123105303
20190424,301.4739092986994
20190425,311.3143010279455
20190426,314.4958256529559
20190429,316.6084228674353
20190430,324.87426295540104
20190506,318.32159384453666
20190507,319.70538024222435
20190508,312.7150701843567
20190509,317.28608762679517
20190510,323.32434473931187
20190513,321.37547792965483
20190514,320.7151987575394
20190515,323.6395130574241
20190516,308.76539560779884
20190517,296.91872054129686
20190520,299.09830027572394
20190521,292.2187437420674
20190522,289.22118877557523
20190523,281.67557633587757
20190524,280.71807015679195
20190527,277.62598361722706
20190528,273.1523422460841
20190529,268.18431183727546
20190530,263.46401547989933
20190531,255.21633600206638
20190603,257.4413937047325
20190604,252.2073369714803
20190605,245.70234185401975
20190606,239.10200848557014
20190610,232.63759250113804
20190611,228.88255448012399
20190612,229.0580081418482
20190613,228.38654001402847
20190614,228.24574412756988
20190617,222.4965870580999
20190618,217.31817700750594
20190619,218.77329321860157
20190620,220.28791903739284
20190621,215.3321121932326
20190624,216.43846331161328
20190625,220.35160812110553
20190626,225.06113933819768
20190627,226.2916219156247
20190628,225.2182938970129
20190701,221.6079390939847
20190702,223.88945501946458
20190703,225.86112392781257
20190704,231.60186220760048
20190705,236.60765903305494
20190708,239.52384388892153
20190709,236.00104776660316
20190710,241.23243588743802
