,GMV
20180102,0.0
20180103,475.45328920172443
20180104,433.05078738172256
20180105,430.8889150363471
20180108,403.2795089789223
20180109,367.14118111470447
20180110,327.51144452261656
20180111,288.3318113175454
20180112,263.06115167589303
20180115,256.1587296324298
20180116,245.6932556625208
20180117,241.9759947485913
20180118,235.98264568882678
20180119,239.50318955757112
20180122,237.48905068340312
20180123,238.42613638020083
20180124,237.65686447337214
20180125,239.8432272234378
20180126,243.80872293896567
20180129,245.1520241188342
20180130,256.334082336123
20180131,262.5206954823307
20180201,277.4444831613708
20180202,292.940390691824
20180205,305.7720413092854
20180206,307.64546764008355
20180207,319.91937384949813
20180208,330.139790612537
20180209,331.44029488716467
20180212,329.61795060727417
20180213,317.3445424324898
20180214,307.6314327980677
20180222,302.93946956094345
20180223,286.3943068520781
20180226,275.8797442093647
20180227,270.8321017122982
20180228,265.7366889945731
20180301,249.27443407367804
20180302,236.99145206549179
20180305,233.36248958344373
20180306,237.73721477250945
20180307,239.59854568754594
20180308,238.57450499087946
20180309,239.56935201300706
20180312,238.3213831399773
20180313,246.80326764339387
20180314,249.65465915169645
20180315,246.90203942608585
20180316,238.40904451452778
20180319,228.55696279240803
20180320,231.71987047742962
20180321,236.00386420288936
20180322,232.16161626362887
20180323,221.3284176411557
20180326,216.96712341546973
20180327,212.6069604394102
20180328,210.00377568748985
20180329,205.45633039743066
20180330,199.40848406695136
20180402,188.8065370215362
20180403,181.66548301773193
20180404,170.6682207816624
20180409,156.36153558567327
20180410,143.42937669421286
20180411,143.85978324783648
20180412,146.64540660150737
20180413,144.76865611987577
20180416,142.940767271324
20180417,147.93301448756569
20180418,159.3267598402284
20180419,169.1919120662934
20180420,173.98208157186733
20180423,177.41938627886452
20180424,186.5104773866232
20180425,191.94418989769508
20180426,192.9011957039291
20180427,198.82697267703696
20180502,205.9425370413021
20180503,212.45201810101503
20180504,222.15847745944149
20180507,235.3562621252334
20180508,248.85159285955686
20180509,264.43109016530076
20180510,282.55228906971485
20180511,284.33576046171856
20180514,297.92814498092065
20180515,294.61053445862126
20180516,287.93439812483007
20180517,296.81599272002404
20180518,306.07737047856386
20180521,324.1345082102908
20180522,328.87295780372835
20180523,333.8042733216445
20180524,333.7136133594348
20180525,328.5867503046315
20180528,329.94748366805015
20180529,325.07337687358716
20180530,324.9807842523349
20180531,319.8532609881483
20180601,326.81104708385266
20180604,332.7681872642037
20180605,340.98124540286716
20180606,342.6510732626698
20180607,346.21948450264983
20180608,345.27949764058275
20180611,344.66944418889676
20180612,355.5633253588832
20180613,361.9724684916167
20180614,365.9494356298517
20180615,369.25984273351753
20180619,357.93487325176744
20180620,346.8486602612152
20180621,336.34643048714173
20180622,337.2827453974326
20180625,338.31910948965265
20180626,339.3777912450896
20180627,320.43329613961225
20180628,305.82898068112974
20180629,288.2206186368936
20180702,267.7336793200781
20180703,248.87852233857498
20180704,232.3800933209559
20180705,225.50585364496033
20180706,216.94046051776132
20180709,221.83781120850458
20180710,228.91797343282695
20180711,232.20571856457912
20180712,241.336876481605
20180713,249.07190940014362
20180716,232.0350532531082
20180717,239.877036620409
20180718,249.08877306982765
20180719,261.4839584094008
20180720,275.0633050352501
20180723,286.62602199704503
20180724,295.6429518032889
20180725,297.535140766949
20180726,295.4979389310019
20180727,283.8920322066576
20180730,286.0015768107108
20180731,284.3322534759259
20180801,283.0697317741849
20180802,279.4957884226613
20180803,275.63760865892243
20180806,271.09834383029425
20180807,276.09396840431805
20180808,281.11913950656424
20180809,278.6384784415666
20180810,271.56822213138344
20180813,276.59428015438374
20180814,273.2176352319442
20180815,282.9122916168844
20180816,271.2947576762573
20180817,272.53160688775426
20180820,269.7125764581191
20180821,252.3935941890544
20180822,239.37873186373528
20180823,222.8664214859911
20180824,210.42928797634724
20180827,190.15446873417594
20180828,175.27761387140703
20180829,163.10452834137
20180830,158.72043432995557
20180831,151.49411578199496
20180903,145.62444608162772
20180904,140.87718393329067
20180905,141.27057666488807
20180906,143.06098286840543
20180907,141.3595378116155
20180910,140.48443008765472
20180911,140.98159299318527
20180912,140.09785866764437
20180913,132.4497496843026
20180914,131.86363854221335
20180917,129.64385077031883
20180918,129.11642875416285
20180919,140.1607830186759
20180920,148.62448266186982
20180921,154.74534864654868
20180925,157.56859854354488
20180926,162.89551792457783
20180927,168.12948077121266
20180928,178.78349154136563
20181008,179.28372898559317
20181009,187.28281572644204
20181010,201.24231644211093
20181011,200.26655628950735
20181012,199.0134125207684
20181015,193.95611742511647
20181016,193.62855966097382
20181017,197.7997365245659
20181018,192.59928599360418
20181019,195.34768081642287
20181022,195.8865057233361
20181023,197.7993432363936
20181024,209.9022214953729
20181025,217.36617747495862
20181026,231.72977857891235
20181029,240.715131382153
20181030,254.66383549091256
20181031,259.50859611741316
20181101,266.4421623701495
20181102,257.79758034905234
20181105,253.55827401685056
20181106,250.01992031633202
20181107,240.9341321709551
20181108,233.24063792900816
20181109,241.0040057187101
20181112,240.26772010839775
20181113,241.32405622842634
20181114,237.92053854605814
20181115,230.54422522974727
20181116,231.76076708834916
20181119,223.8154873263094
20181120,216.6730750209852
20181121,211.09261832543723
20181122,213.8830599814
20181123,209.7512026570894
20181126,212.02658088994778
20181127,212.93176771517153
20181128,224.6594718627209
20181129,231.5927977697678
20181130,241.47309733985853
20181203,243.36722593964774
20181204,239.71240955077818
20181205,234.605221466464
20181206,226.47437400139393
20181207,221.33843072688734
20181210,209.67894386212026
20181211,190.8015020836878
20181212,181.08695664463227
20181213,173.74845080759656
20181214,179.20571035819265
20181217,185.8426582547933
20181218,191.33065704038665
20181219,191.17429110602185
20181220,193.90696036894448
20181221,189.7257726938028
20181224,187.81068623081177
20181225,185.34849149218573
20181226,184.51429742659917
20181227,182.06366037865774
20181228,178.95016087489816
20190102,178.2164633966951
20190103,180.47291947581706
20190104,174.40989387742596
20190107,172.60113842673059
20190108,170.25125809482472
20190109,166.89926979138437
20190110,165.0664267327798
20190111,160.79379979980914
20190114,161.7031213643567
20190115,161.59518765797185
20190116,167.35640408027757
20190117,165.37828224735972
20190118,173.25348116598468
20190121,173.63915894220114
20190122,173.5476263118402
20190123,175.7954288100835
20190124,186.57598259792113
20190125,188.15546348524606
20190128,195.06064078620358
20190129,200.96157512333366
20190130,201.24133095926777
20190131,206.0557458531499
20190201,213.23103629696473
20190211,203.85324857627194
20190212,203.26400185688058
20190213,190.2698518662132
20190214,171.35716954003215
20190215,167.63376476659164
20190218,161.9815052289933
20190219,159.29386552625016
20190220,158.76607270650405
20190221,161.5005371902343
20190222,171.20569945202405
20190225,177.06920433194233
20190226,185.063263376316
20190227,194.08127718305198
20190228,196.7421209620853
20190301,191.9559203066356
20190304,196.06411980367827
20190305,200.95237529010626
20190306,187.40271245843087
20190307,177.49284246837064
20190308,173.29819026934467
20190311,168.6627304203347
20190312,161.9534799109518
20190313,154.91036481787475
20190314,152.73592142906884
20190315,150.95897476056462
20190318,157.31501246334602
20190319,166.19711260593277
20190320,168.8747600035402
20190321,162.90359432389351
20190322,168.93160562331946
20190325,173.70901249663362
20190326,185.16815396933262
20190327,199.7610717574484
20190328,199.33074268122118
20190329,218.65159539173274
20190401,228.25377865094353
20190402,243.90255789296995
20190403,245.61034909044318
20190404,260.78176921666164
20190408,275.1164529180235
20190409,291.03549923807566
20190410,294.89197598562595
20190411,301.27656012384807
20190412,286.507396108037
20190415,283.3773048015103
20190416,275.14615598618576
20190417,270.38423323580173
20190418,273.5951626806309
20190419,267.84717751003626
20190422,272.24830307715433
20190423,274.5424571049195
20190424,271.65331877857204
20190425,276.4435320921734
20190426,283.9717380974248
20190429,289.39591097984663
20190430,292.1341413662961
20190506,297.2533942069358
20190507,300.49389024827263
20190508,306.1139328353756
20190509,314.42886194454024
20190510,326.01604063116173
20190513,333.45521878608224
20190514,330.744126654347
20190515,335.82480543232856
20190516,329.95926175358295
20190517,326.9759084764771
20190520,321.4326455275494
20190521,330.38543234902244
20190522,335.7637813607574
20190523,331.7709180306223
20190524,328.4374304982322
20190527,325.14321534133353
20190528,317.2440535056045
20190529,310.70886303685955
20190530,302.8452889955084
20190531,294.6389403003324
20190603,293.22493212654905
20190604,288.88841272027565
20190605,276.47369225907545
20190606,263.00797595233377
20190610,248.8583008683031
20190611,245.19070728079737
20190612,244.5548503193092
20190613,240.1686526003314
20190614,236.37787782283112
20190617,231.14408698448082
20190618,222.189168891224
20190619,233.10961704027048
20190620,242.920784136967
20190621,244.5780803479226
20190624,251.78986541078385
20190625,249.95712754931867
20190626,251.25017941358334
20190627,249.9833487494412
20190628,257.4204315283059
20190701,258.5647523568408
20190702,262.7020204941953
20190703,259.09808922387685
20190704,250.20641123683427
20190705,245.33118344998692
20190708,249.7674471780978
20190709,248.62907787887286
