,A.DCE,AD.SHF,AG.SHF,AL.SHF,AO.SHF,AP.ZCE,AU.SHF,B.DCE,BU.SHF,BZ.DCE,C.DCE,CF.ZCE,CS.DCE,CU.SHF,EB.DCE,EG.DCE,FG.ZCE,FU.SHF,HC.SHF,I.DCE,J.DCE,JD.DCE,JM.DCE,L.DCE,LH.DCE,LU.INE,M.DCE,MA.ZCE,NI.SHF,OI.ZCE,P.DCE,PB.SHF,PF.ZCE,PG.DCE,PL.ZCE,PP.DCE,PX.ZCE,RB.SHF,RM.ZCE,RU.SHF,SA.ZCE,SC.INE,SF.ZCE,SH.ZCE,SM.ZCE,SN.SHF,SP.SHF,SR.ZCE,SS.SHF,TA.ZCE,UR.ZCE,V.DCE,Y.DCE,ZN.SHF
20180102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180103,-87.35118630713137,0.0,-30.17791076461421,-7.879923453354751,0.0,-84.37645275567523,8.945373573700378,22.099405754993626,0.6185945533763024,0.0,28.813567460535847,-4.109303158887269,33.87042192502583,12.505439382625287,0.0,0.0,-10.796222608257953,0.0,1.0211289524379983,-0.40636339408422273,-4.2825075213146695,-2.3963901713330507,14.845186774182501,-6.7937534762118075,0.0,0.0,26.995315427510956,0.640010356496282,-3.2291267892856674,-15.35864402372373,-6.262777248894207,2.1173697512555774,0.0,0.0,0.0,-1.7706291107101755,0.0,-1.971693599926131,13.530494337190822,0.9479556539166684,0.0,0.0,2.09139874414096,0.0,5.920239104212892,7.28904842874179,0.0,-2.216793393833384,0.0,2.409160879224984,0.0,-1.9856405424061303,-6.881133079726707,-12.54672674278505
20180104,-83.7149516640784,0.0,-29.973305480462567,-9.196991874503444,0.0,-94.82559450205937,1.6877541730879628,4.346249205986479,2.6397664326235963,0.0,22.045210751935645,-11.505637189292315,16.557600445034588,8.433342340620491,0.0,0.0,-7.631314899922809,0.0,1.253478701242234,-0.4852043749169912,-3.4968889011800894,-2.223600362530539,17.039609409621658,-7.549120651944481,0.0,0.0,10.772886861701018,0.7848027773386854,-4.198242825229364,-17.004383599647053,-7.506403590892031,2.23370965613318,0.0,0.0,0.0,-2.0845399318472184,0.0,-2.420721207981616,12.418726126404517,0.9155388108664931,0.0,0.0,2.543988986321642,0.0,6.435819138701878,8.673601262647756,0.0,-6.706638040805404,0.0,2.444780768554381,0.0,-2.437300105218937,-7.830690182068131,-11.03239214831956
20180105,-75.50734739776894,0.0,-32.41193609444594,-9.595005631049828,0.0,-98.19463308604428,0.17661522058433712,11.674633914974272,3.5779746584489143,0.0,20.264323376935018,-8.324881140075252,14.055369017908665,7.775109333362742,0.0,0.0,-6.985395657986862,0.0,1.4117272705497579,-0.5282253095358997,-3.0553828679929906,-2.9061724112277694,13.830210725165006,-5.2046004192272965,0.0,0.0,16.15732548574338,0.8643842839725284,-4.534992952025047,-18.314350352551795,-8.682284010055433,-0.7959474731483949,0.0,0.0,0.0,-0.36004659610452944,0.0,-2.778503883261353,11.664200828957837,1.3563618850168098,0.0,0.0,2.5137742041743114,0.0,7.059120664046191,10.49252623533786,0.0,-4.85358024450404,0.0,2.5657917735143076,0.0,-2.70914326332895,-8.335220553801417,-11.371816813519137
20180108,-73.83430195876619,0.0,-37.24587560192139,-5.415616837802591,0.0,-80.98141552124764,-0.9780779458703334,16.143634724495573,4.158986751693905,0.0,17.03566701570022,-10.34845338976202,9.5357357167105,7.307720525931092,0.0,0.0,-5.773235390545471,0.0,1.562566247250846,-0.5280379199198943,-2.958683034709068,-5.296257983390028,12.122721773496114,-4.096717588493705,0.0,0.0,16.356815889528736,2.145577878223948,-4.599997985544754,-17.067967072076105,-8.501979659432871,-1.300993981197178,0.0,0.0,0.0,0.5849264338713202,0.0,-3.1069796710806448,10.842658397434453,1.6744635137272004,0.0,0.0,2.3644056385526073,0.0,7.1926450242440545,9.31000080601527,0.0,-3.650727046581293,0.0,2.7190867182261256,0.0,-2.9275488937838556,-7.863138571451638,-5.7458898702436665
20180109,-63.91413252470836,0.0,-40.9834663997304,-6.187712047920467,0.0,-63.35769360500432,0.8494066558757639,10.48727605980114,4.66923994205155,0.0,15.733206800161062,-8.148067482368456,9.2661477727652,7.345131477825918,0.0,0.0,-5.1624989714607485,0.0,1.7133331983140836,-0.5458076955229278,-2.9136903403173764,-7.138456156291265,10.919812183094242,-3.4699809159917003,0.0,0.0,15.398018869819191,2.922722523697121,-4.4826478996279135,-16.71349783020471,-8.279909450117062,0.33399720315147097,0.0,0.0,0.0,1.1669961864445477,0.0,-3.426084078289048,9.696965167541888,3.201679046361766,0.0,0.0,2.1911121737564083,0.0,7.236886424007581,9.191279386798954,0.0,-3.8114961185218865,0.0,2.8703357261171356,0.0,-3.031247393908916,-7.644686921140507,-2.7365584859934584
20180110,-57.41798915950521,0.0,-38.58165450377461,-3.0244704957836066,0.0,-53.02356209342965,-0.04296082083703224,7.185500415643797,5.0150909251670335,0.0,15.04314293725,-6.558467134431981,4.911797432646273,7.266174073469652,0.0,0.0,-4.857691840235768,0.0,1.8576908689849225,-0.5631563621263341,-2.8193347507012008,-6.548442932210573,9.639843850524121,-3.0726981551115746,0.0,0.0,14.671955910415258,3.5019719234136653,-4.337375982731226,-16.86392874293574,-7.970844530103034,1.2720426017098994,0.0,0.0,0.0,1.5862090413454422,0.0,-2.304176823361842,8.858764506346466,2.765877730031762,0.0,0.0,2.1114756208113565,0.0,7.447011272990554,7.648687291179718,0.0,-3.7609397859894034,0.0,2.953408073880621,0.0,-3.108359405111769,-7.849231948689323,-1.069514579736121
20180111,-48.92530158772877,0.0,-36.456640232097165,-0.5860519389079994,0.0,-45.81135776478334,-0.8129041294961451,4.8318801740513155,5.279628040616659,0.0,12.763240010305704,-0.4364736234314948,1.9718732855305812,7.275519622425698,0.0,0.0,-3.8860778857202085,0.0,1.998120225694303,-0.5832970133356359,-2.008589589609701,-8.007169232978388,8.829166955047436,-4.8148202834451554,0.0,0.0,13.83955207492119,3.9724835792924216,-4.264932186973785,-16.837473972970287,-7.703852282639,-0.4495030933519635,0.0,0.0,0.0,1.9277962540742255,0.0,-1.5194581679191863,4.013218965013148,3.90597338021457,0.0,0.0,2.0745381962378446,0.0,7.641860167169995,7.623579401206883,0.0,-3.6580841543630402,0.0,1.289301653089744,0.0,-4.326367837146082,-7.836035922939717,0.16968843281656668
20180112,-39.95818540546317,0.0,-25.928308636556306,1.1289168457643257,0.0,-41.016124635762615,1.432545687369366,3.128059994143425,5.543213595049157,0.0,13.833203307883155,4.09303437228511,1.8666079077876234,7.560661419750193,0.0,0.0,-3.2025689512690927,0.0,2.096253537529508,-0.5853006498601235,-1.4223868616443593,-9.035272035465004,8.059920641040195,-6.1948144307333415,0.0,0.0,12.192804646223175,3.528589564170037,-4.078069599957873,-14.551269077339251,-7.496607245320537,-2.136515949574211,0.0,0.0,0.0,2.2197365115751384,0.0,-0.9628946651369601,0.9534615184624755,4.748541344597868,0.0,0.0,2.064038646527208,0.0,7.385188203646701,6.438990574206772,0.0,-3.942392042625204,0.0,-1.0031442708879599,0.0,-3.699914246407236,-7.771011782878542,1.8026028709998034
20180115,-33.16726171406301,0.0,-17.840568600664287,1.3744262874416453,0.0,-37.970259856142675,7.082368105047554,2.296864638659555,5.673744454792241,0.0,14.639230564699565,6.335991910963404,4.097628655900675,7.705970818626025,0.0,0.0,-3.4963156031129747,0.0,2.1998320627704913,-0.5883309193491786,-0.9866731721501751,-9.992125752848008,7.4978066152686464,-7.1737908580998155,0.0,0.0,11.070132729051855,2.237535014915559,-3.9647774341499367,-12.843567134527168,-7.513495114095196,-1.7574631562500078,0.0,0.0,0.0,2.4519052980893923,0.0,-0.5404819252721925,-0.6800361326118914,5.375282401885371,0.0,0.0,2.0771544202626364,0.0,6.225341574123341,6.0854570336710445,0.0,-6.397657551036999,0.0,-1.641242771038509,0.0,-4.673606248952215,-7.7446496252379635,2.7597534766586587
