,GMV
20180102,0.0
20180103,654.7706718513722
20180104,615.8951651630491
20180105,596.7916837742939
20180108,538.3027840424438
20180109,447.5039143267028
20180110,387.89868090769806
20180111,340.9779924688068
20180112,311.0879928517216
20180115,289.33375208085147
20180116,271.7330321432634
20180117,256.5448817381421
20180118,247.6899010440632
20180119,244.2964924607868
20180122,234.09273309341503
20180123,232.10686206699563
20180124,234.46049295907807
20180125,237.5547966410918
20180126,244.71112947078052
20180129,248.50684149388013
20180130,253.37974249559812
20180131,255.4654933449049
20180201,256.19439792134244
20180202,259.1486293168373
20180205,259.7247174548035
20180206,262.3408997994727
20180207,259.74202033060635
20180208,253.43541832020114
20180209,256.1172373441032
20180212,256.46288456959144
20180213,256.0683572677155
20180214,246.51313669375597
20180222,238.2346613963731
20180223,228.925052697441
20180226,217.18415405269351
20180227,207.43773103994644
20180228,198.0691244232423
20180301,191.9127214759198
20180302,185.49573590434355
20180305,177.2033798783443
20180306,172.39063432579763
20180307,166.55689260974015
20180308,167.84801634395697
20180309,165.5688972204893
20180312,164.93426011751055
20180313,160.33812005862913
20180314,157.16886514380596
20180315,150.9859030864013
20180316,150.97245510334434
20180319,150.57618464541616
20180320,149.41632704083406
20180321,144.84135891328194
20180322,141.64081782051448
20180323,134.61276980097279
20180326,122.93903986115627
20180327,116.83213352899556
20180328,117.7663087875377
20180329,119.12352820309364
20180330,120.90798872935379
20180402,127.62673962166993
20180403,128.54136556267486
20180404,131.4997807399116
20180409,131.54595805599166
20180410,136.67964750198135
20180411,147.5496939837898
20180412,156.597512364103
20180413,165.77590752205427
20180416,171.64582811729784
20180417,173.35392906065752
20180418,173.5999897368257
20180419,173.88138126600057
20180420,174.31816018314458
20180423,176.33371916731588
20180424,179.15005270038282
20180425,191.2883328091387
20180426,197.70337968933262
20180427,204.74772918576951
20180502,214.41794851932184
20180503,221.93710299861345
20180504,223.88493535667493
20180507,224.68619850833952
20180508,219.78033204403158
20180509,222.35218853403035
20180510,227.56268011991108
20180511,233.01274239994422
20180514,241.30909380948074
20180515,250.11153228758266
20180516,247.34183731621783
20180517,242.1838538790791
20180518,249.46913730132317
20180521,261.37374430080536
20180522,272.03520515890443
20180523,277.05540661320293
20180524,276.9891559661335
20180525,278.8886428543249
20180528,282.03719050748657
20180529,286.8256572910708
20180530,294.9178372403577
20180531,302.175324864074
20180601,304.57469773009115
