,HC.SHF,I.DCE,J.DCE,JM.DCE,RB.SHF,SF.ZCE,SM.ZCE,SS.SHF
20180102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180103,7.049774113794748,7.190580343922095,-15.004398598687308,30.496974063478284,-6.908120193724837,-37.007198285696234,12.162149332116643,0.0
20180104,8.653893985781504,8.585667636047026,-12.251867548973868,35.00505140971181,-8.481354841777796,-45.01576044127481,13.2213230009049,0.0
20180105,9.746426583927551,9.346920965828406,-10.70498585111503,28.4118741106929,-9.734899370277278,-44.4811113518949,14.501792606394169,0.0
20180108,10.787804081607682,9.34360511575646,-10.366183680705022,24.90412125686667,-10.885762883284135,-41.83804190323127,14.77609625859736,0.0
20180109,11.828684321349895,9.658040424219806,-10.208545120277083,22.43294301322242,-12.003792378042121,-38.77162253614757,14.866982876707592,0.0
20180110,12.82531551802021,9.965024229571776,-9.877956354333566,19.80346036445231,-12.991838635266673,-37.36245763448397,15.298649528465091,0.0
20180111,13.79482602047239,10.32141206569999,-9.822859972750182,18.13805913836534,-13.922400104457845,-36.70885171682503,15.69893426468829,0.0
20180112,14.472328778400291,10.356866315809839,-9.874988281870072,16.55777017039464,-14.48648846326526,-36.523062699240306,15.171644286228386,0.0
20180115,15.187424755500466,10.410486785916133,-9.960560835150217,15.403000134460465,-15.102354330932824,-36.75514567273208,14.956261217080923,0.0
20180116,15.90427373898126,10.49743026310672,-10.086687538373363,14.166056889044407,-15.74468329983785,-32.35228989243462,14.951893099172988,0.0
20180117,16.57518295740604,10.666386629829718,-10.288793769358731,13.297224774894598,-16.263593847869586,-29.115985223396038,15.09745649724303,0.0
20180118,17.228313902959353,10.86054151069437,-10.537253852563772,12.70404499635729,-16.742742752240183,-26.062209582996136,14.990129525032904,0.0
20180119,17.51697940642541,11.062052933295321,-10.784609525178256,12.29007502784068,-16.934042341453754,-23.770352364642935,14.872524685448923,0.0
20180122,17.800446974771155,11.290249503567079,-11.060085254610884,12.008884721677962,-17.2091301637807,-21.854131516150332,14.694894094388003,0.0
20180123,18.153696346213714,11.187794774920649,-11.359573192573615,11.821517973940358,-17.506923517119297,-20.361788514439763,14.646085196278323,0.0
20180124,18.46912814346901,11.171631885747708,-11.67419548661327,11.734536376578086,-17.83907339190672,-19.239038458647382,14.66763709541523,0.0
20180125,18.77207717421148,11.171248138524334,-11.712164711681297,11.599033210657126,-18.186490792154263,-18.41826504645428,14.765356108903053,0.0
20180126,19.09860339350251,11.15106818459682,-11.761917959940167,11.509307905047848,-18.502778169198073,-17.540026262293804,14.70894037624802,0.0
20180129,19.465787447185267,11.179820036397015,-11.854468545635578,11.470150680266645,-18.854871288824175,-16.864532347471613,14.658078437670708,0.0
20180130,20.347879970357475,11.323972858350855,-11.976878619907321,11.513963343822063,-19.62684817221119,-16.333610132240086,14.58636562342776,0.0
20180131,21.741148361172176,11.437082369279674,-12.074266895510206,11.58455386558652,-20.920722766126257,-15.887349538456728,14.742708751660842,0.0
20180201,22.675949105722264,11.59692016354687,-12.710976271758117,11.686837327145136,-21.957970325148732,-15.524555820626519,14.867137185704946,0.0
20180202,23.270218691581196,11.667151492724821,-13.029274003113636,11.516239665883411,-22.854043750045637,-15.27295829382714,15.059362796289841,0.0
20180205,23.75326315136931,11.824364038813894,-12.871470910497486,11.323897221171599,-23.612251524493985,-14.984663137954232,15.056836130327858,0.0
20180206,24.062482143843106,11.978131129699625,-12.763515587219535,11.162135680584736,-24.0748851442859,-14.700210791950546,15.047927291035919,0.0
20180207,24.32984610287855,12.0530483746609,-12.788444024927971,11.087765962621928,-24.538439055418774,-14.465813180587679,15.043515739330132,0.0
20180208,24.566373005629107,12.113201199860837,-12.794313840025525,11.063901460493765,-24.93700425580544,-14.20553952319346,15.007514357543243,0.0
20180209,24.36243549900366,12.267430335439261,-12.70331554233157,11.141930866152594,-25.51193628895865,-13.991229088080068,15.29308201723412,0.0
