,A.DCE,AP.ZCE,B.DCE,C.DCE,CF.ZCE,CS.DCE,JD.DCE,LH.DCE,M.DCE,OI.ZCE,P.DCE,RM.ZCE,SR.ZCE,UR.ZCE,Y.DCE
20180102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180103,-124.52193828176401,0.0,-1.106957703980902,39.89986155325095,-20.378596355989295,64.59178695127382,-11.846712579767118,0.0,164.71203220448896,-15.518452590050007,-11.74318456466116,68.06461750015077,-29.396501763421867,0.0,-11.834044403983885
20180104,-121.43526627661049,0.0,-1.3583151095771557,29.536953875444766,-24.437171404746934,38.45228195804768,-14.542546373009975,0.0,120.1085481271643,-18.381155649420215,-14.345130905029773,55.56596929301622,-31.505817711484486,0.0,-14.484127855792352
20180105,-107.45748357724858,0.0,-1.5253343217070467,27.740603912516463,-24.623749273574862,31.267620993898927,-16.931847757888136,0.0,112.04277011282075,-20.40357342359624,-16.03497801046044,49.90036702450606,-32.09522820861766,0.0,-15.836032506501814
20180108,-103.46439831113376,0.0,-1.5995234871179331,23.76453183022549,-25.674653683981912,26.06794217424112,-16.678663591717903,0.0,98.62798420988945,-19.66518078927141,-15.888704505424768,45.996515871129695,-33.08852670300226,0.0,-15.385019013280044
20180109,-89.13980534134078,0.0,-22.892210784380328,21.97133679181664,-27.171529132457575,23.51616937253315,-16.91012429464625,0.0,90.41606718806179,-19.76378206125345,-16.08186221048426,42.264068129874005,-34.849585498208825,0.0,-15.569430466651179
20180110,-80.06168553149061,0.0,-22.210793088184314,21.246748044870593,-28.682505825438973,17.31797212011667,-17.40512286645431,0.0,83.61575981908867,-20.154925698078333,-16.193677169934183,40.134707257566824,-36.11617751271554,0.0,-16.053560610067837
20180111,-68.70863241196197,0.0,-21.446199337544634,20.985703131965654,-21.612499393961013,13.057216554429239,-18.045354771628737,0.0,76.58227621830123,-20.604927385946198,-16.55795185290289,30.32080990979429,-37.73831348618008,0.0,-16.6240900951346
20180112,-60.4381854011194,0.0,-21.100581767107606,21.077644090489628,-16.558266555062367,10.001789051630428,-18.778870357782644,0.0,58.98717231102511,-20.61107914554178,-16.55335758166428,23.30134152283922,-39.569086212950715,0.0,-16.964323238296267
20180115,-54.0278866324496,0.0,-21.1001632910241,21.413486297251573,-12.85515415156474,12.387142716746272,-19.59378975773781,0.0,46.02645213947665,-20.800740411993303,-16.76312496315251,18.13271138319858,-40.00599824454674,0.0,-17.451773176069
20180116,-47.08843845003053,0.0,-21.244573924664735,21.90296102676648,-10.05575609910982,14.422488916955581,-20.279638911855777,0.0,29.373500148037,-20.812734730311576,-17.03754569898156,8.874613634245467,-40.68953546771501,0.0,-18.006460440119795
20180117,-41.96550611886523,0.0,-21.470866237229792,22.45610013704614,-7.905246468611305,15.847024734916758,-20.98609435058413,0.0,16.671079375059854,-21.00400538469582,-17.276814719754483,1.6882081286602346,-41.357834073448196,0.0,-18.57752455514725
20180118,-38.15746092096699,0.0,-21.69097897764914,23.037311663415302,-6.256471384986775,17.14561417298337,-21.57108315202546,0.0,6.514565897019397,-21.336888066433087,-17.530867354911113,-4.119020446326411,-42.252270825681165,0.0,-19.197387747840978
20180119,-34.485730334649524,0.0,-21.870886938931076,23.62088477480889,-4.966159137921918,18.20808052934533,-22.184339938885408,0.0,-1.5260321262684746,-21.314082289671063,-17.6265726283355,-8.50307490019263,-43.3112671902634,0.0,-19.66835125671483
20180122,-31.711864754879624,0.0,-21.990129393443187,24.26107697021002,-0.7667807893148987,19.20210547556982,-22.84956032763093,0.0,-8.119650324072156,-21.25061622048001,-17.72454416694686,-12.11775210355342,-44.1045213552,0.0,-19.896680539677934
20180123,-29.593603534574584,0.0,-21.364131139901815,24.73519059312877,2.692997360383318,20.070183988093987,-23.545325757700315,0.0,-13.59670756727403,-21.330605657914795,-17.913984885703396,-15.177856998438585,-45.05441653730215,0.0,-20.211279756452925
