trade_date,BU.SHF,BZ.DCE,EB.DCE,EG.DCE,FG.ZCE,FU.SHF,L.DCE,LU.INE,MA.ZCE,PF.ZCE,PG.DCE,PL.ZCE,PP.DCE,PX.ZCE,RU.SHF,SA.ZCE,SC.INE,SH.ZCE,SP.SHF,TA.ZCE,V.DCE
20180102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180129,1.4119845474790178,0.0,0.0,0.0,1.3481976042617405,0.0,-1.6629059219299194,0.0,-0.8745720050481499,0.0,0.0,0.0,-0.7745886560579991,0.0,-2.596872020824743,0.0,0.0,0.0,0.0,0.4890293285461248,0.6468572093223858
20180130,1.7506980714234146,0.0,0.0,0.0,2.2252606185696475,0.0,-6.220889812455443,0.0,-2.278850035512784,0.0,0.0,0.0,-4.391336603600543,0.0,-5.655450348049558,0.0,0.0,0.0,0.0,-3.4553780668095975,0.6296137901106003
20180131,2.1016231074200755,0.0,0.0,0.0,1.3526406200246104,0.0,-12.595699381688098,0.0,-3.7339239447083634,0.0,0.0,0.0,-7.151487671609329,0.0,-6.696500565073717,0.0,0.0,0.0,0.0,-5.214999705329686,1.3461525063509967
20180201,1.7248777227488132,0.0,0.0,0.0,-0.7709626235264392,0.0,-17.572998357359012,0.0,-5.079375190539032,0.0,0.0,0.0,-12.053158466291636,0.0,-8.483864524547982,0.0,0.0,0.0,0.0,-12.64013770983047,-1.2263933516654089
20180202,1.7795311392949416,0.0,0.0,0.0,-0.1306907402590836,0.0,-20.65816151837101,0.0,-6.040003088246514,0.0,0.0,0.0,-16.17589743613332,0.0,-9.410300182294028,0.0,0.0,0.0,0.0,-17.558113930417704,-3.044947167938795
20180205,1.04958848417956,0.0,0.0,0.0,0.3976803194272133,0.0,-21.090978392142127,0.0,-6.238179946487261,0.0,0.0,0.0,-16.475080534599307,0.0,-9.246448498758614,0.0,0.0,0.0,0.0,-21.4386961478765,-3.2821574230456787
20180206,-1.195567068829053,0.0,0.0,0.0,0.3108758424460507,0.0,-21.85850194504827,0.0,-6.088988269220452,0.0,0.0,0.0,-18.86464506497598,0.0,-9.719498209168316,0.0,0.0,0.0,0.0,-25.940667076110255,-4.186678383326815
20180207,-2.847973876246609,0.0,0.0,0.0,0.8596351094843419,0.0,-22.537927786322783,0.0,-6.285531312999327,0.0,0.0,0.0,-21.87664638661306,0.0,-9.689710810200685,0.0,0.0,0.0,0.0,-29.726623783542326,-4.138147156970899
20180208,-5.350276416459986,0.0,0.0,0.0,-2.1705032326707445,0.0,-22.21469346119161,0.0,-6.655740416510033,0.0,0.0,0.0,-23.103997708481433,0.0,-9.819711664383606,0.0,0.0,0.0,0.0,-32.99089888299536,-4.662751493147133
20180209,-7.858496099749915,0.0,0.0,0.0,-6.146481771435795,0.0,-22.359841141797595,0.0,-7.300727692299245,0.0,0.0,0.0,-23.701588080237535,0.0,-9.485782509926644,0.0,0.0,0.0,0.0,-36.090723951648684,-5.764892904287972
20180212,-10.619856822753633,0.0,0.0,0.0,-8.544202598814731,0.0,-22.47896529968972,0.0,-7.796669143602821,0.0,0.0,0.0,-23.951350145462705,0.0,-8.945611188706017,0.0,0.0,0.0,0.0,-38.03026497654805,-7.716665938292202
20180213,-12.493940198321738,0.0,0.0,0.0,-9.979172249466808,0.0,-23.419965849136556,0.0,-8.793539399060613,0.0,0.0,0.0,-24.873288834323084,0.0,-8.755264226478081,0.0,0.0,0.0,0.0,-38.40098085203924,-9.86816618178705
20180214,-13.509016633339439,0.0,0.0,0.0,-9.56797051467483,0.0,-22.207045451552716,0.0,-9.316017427082734,0.0,0.0,0.0,-23.039967063689172,0.0,-8.348449760595837,0.0,0.0,0.0,0.0,-37.25473158093306,-12.333650574887528
20180222,-13.218374032489738,0.0,0.0,0.0,-10.644277557855748,0.0,-21.291241284600307,0.0,-9.380245622234666,0.0,0.0,0.0,-22.11963253554372,0.0,-7.992789389894204,0.0,0.0,0.0,0.0,-31.687588253617694,-14.110428567348167
20180223,-12.031369473748452,0.0,0.0,0.0,-7.57899817510587,0.0,-19.6337707403219,0.0,-8.182097510833524,0.0,0.0,0.0,-20.99398576286155,0.0,-6.342819777124826,0.0,0.0,0.0,0.0,-24.491297500977375,-14.432710133896181
