,TimeSeriesMomentum,MovingAverageBias,DualMACrossover,MACD,DonchianChannel,BollingerBands,RSI,ATR,HistoricalVolatility,IntradayAmplitude,DownsideUpsideVolatility,VolumeMomentum,PriceVolumeCorrelation,OBV,OpenInterestROC,Skewness,Kurtosis,OvernightVsIntraday,AmihudIlliquidity,BuyingSellingPressure
TimeSeriesMomentum,1.0,0.8988084361301781,0.8975836623768206,0.44198643826506534,0.7869667820806434,0.7509236822183417,0.877574212413383,0.005549043323851571,-0.025839589160168625,-0.08920097000174247,0.7701869215768704,0.03892963477176646,0.5717616758419076,-0.012236392363540243,0.052324123189035496,0.3104314152831306,-0.08421434199618566,0.6439426153892605,0.03523330362297859,0.7277644524083026
MovingAverageBias,0.8988084361301781,1.0,0.8272448309240545,0.6944812220574905,0.8800795382996974,0.8874677195255699,0.7969716484179236,0.08723562068940942,0.011793431667815865,-0.0417134176289443,0.6939592094968723,0.05133591799738791,0.49039127624132745,-0.002336939185569366,0.029695074937000396,0.2700162947135048,-0.05162561569585646,0.5878214080698224,0.05271010457953042,0.6425783075994584
DualMACrossover,0.8975836623768206,0.8272448309240545,1.0,0.3455973243078131,0.7187707165123276,0.658088472126145,0.7905502608202838,0.021878562362636297,0.0011809932400208166,-0.059745339943795224,0.679747466866095,0.046090043855042465,0.5160657081467,-0.013436973029872411,0.03566901223037685,0.250292716868767,-0.08525655329686792,0.5943872663287123,0.02970805383138772,0.6617522698547459
MACD,0.44198643826506534,0.6944812220574905,0.3455973243078131,1.0,0.5887815850494365,0.6435991536071828,0.37407947155237325,0.15085240999018798,0.043227245437923785,0.027421730688399606,0.3360522221075318,0.05644649586428413,0.18675977163815322,0.007729225315164729,0.0077977174734407805,0.12890548052842124,-0.005128257031787819,0.2902668723394122,0.0555984824354238,0.29307990816186263
DonchianChannel,0.7869667820806434,0.8800795382996974,0.7187707165123276,0.5887815850494365,1.0,0.9468327265040692,0.8086793662872147,0.11346215936906912,0.023197048252274567,-0.015774224452401838,0.6884264729246488,0.04168495292562409,0.4696543506858354,-0.014176630354727994,0.021397173987042536,0.24555990571502911,-0.008104830205409174,0.5584359437025055,0.09489802272845256,0.69033560086016
BollingerBands,0.7509236822183417,0.8874677195255699,0.658088472126145,0.6435991536071828,0.9468327265040692,1.0,0.808417885412648,0.1167941863834561,0.04506696776246509,-0.01644662967620768,0.7144767183053554,0.021064648377549577,0.47285286951771854,-0.0068796677027580235,0.02132996597300414,0.32493662490276815,-0.0666342166287074,0.48934455755627043,0.09337968138226754,0.6040427827306835
RSI,0.877574212413383,0.7969716484179236,0.7905502608202838,0.37407947155237325,0.8086793662872147,0.808417885412648,1.0,0.0389693208589231,0.02488326013329442,-0.0540028170165386,0.9017901879322215,-0.07404588676286404,0.5875787337290158,-0.01827362490698339,0.039856902007417455,0.4791640367845409,-0.15595728794850788,0.5770014423323714,0.04710628798685116,0.7198157246376922
ATR,0.005549043323851571,0.08723562068940942,0.021878562362636297,0.15085240999018798,0.11346215936906912,0.1167941863834561,0.0389693208589231,1.0,0.8373738116579241,0.9709694517400003,0.008664920281306733,-0.06585773650219998,-0.04026606855592814,0.025451663126711675,-0.016106548602690673,-0.016689635868282177,0.0558183435368399,0.043177734853294944,0.07920968172959046,0.05368779073239959
HistoricalVolatility,-0.025839589160168625,0.011793431667815865,0.0011809932400208166,0.043227245437923785,0.023197048252274567,0.04506696776246509,0.02488326013329442,0.8373738116579241,1.0,0.8073157892199774,0.013719003071351264,-0.03896976482955037,-0.03221264900597028,0.013547998557249018,-0.02899875164396823,0.0191835706718036,-0.013226460424250882,-0.03444568393804881,0.1106517540017652,-0.00322490518851641
IntradayAmplitude,-0.08920097000174247,-0.0417134176289443,-0.059745339943795224,0.027421730688399606,-0.015774224452401838,-0.01644662967620768,-0.0540028170165386,0.9709694517400003,0.8073157892199774,1.0,-0.07661025036727101,-0.07119785823420638,-0.10135834455095806,0.024799881894445524,-0.018601493946381217,-0.05750830600198436,0.0438712599521639,-0.033458193074891215,0.05753812767447273,-0.015300647278853398
DownsideUpsideVolatility,0.7701869215768704,0.6939592094968723,0.679747466866095,0.3360522221075318,0.6884264729246488,0.7144767183053554,0.9017901879322215,0.008664920281306733,0.013719003071351264,-0.07661025036727101,1.0,-0.07675287898511715,0.6109813217973986,-0.02343136250528237,0.049703149322544264,0.7780850341707313,-0.21534127529729208,0.48484532603030356,0.04840047013136843,0.5677399754652289
VolumeMomentum,0.03892963477176646,0.05133591799738791,0.046090043855042465,0.05644649586428413,0.04168495292562409,0.021064648377549577,-0.07404588676286404,-0.06585773650219998,-0.03896976482955037,-0.07119785823420638,-0.07675287898511715,1.0,0.05667368661994124,-0.000773135900694892,0.045658671734795965,-0.1717547707466648,-0.14403288189293115,-0.00670094758667568,0.04754320373005192,-0.004752208740521328
PriceVolumeCorrelation,0.5717616758419076,0.49039127624132745,0.5160657081467,0.18675977163815322,0.4696543506858354,0.47285286951771854,0.5875787337290158,-0.04026606855592814,-0.03221264900597028,-0.10135834455095806,0.6109813217973986,0.05667368661994124,1.0,-0.03425312242410289,0.03314686252400742,0.39674466898521066,-0.13999455030676608,0.3934020596081932,-0.011690739800522959,0.3258661370716774
OBV,-0.012236392363540243,-0.002336939185569366,-0.013436973029872411,0.007729225315164729,-0.014176630354727994,-0.0068796677027580235,-0.01827362490698339,0.025451663126711675,0.013547998557249018,0.024799881894445524,-0.02343136250528237,-0.000773135900694892,-0.03425312242410289,1.0,0.0001942030410653371,-0.015168305048275186,-0.00253270394536904,0.01305937338417098,-0.04171991874066156,-0.0010480392336709194
OpenInterestROC,0.052324123189035496,0.029695074937000396,0.03566901223037685,0.0077977174734407805,0.021397173987042536,0.02132996597300414,0.039856902007417455,-0.016106548602690673,-0.02899875164396823,-0.018601493946381217,0.049703149322544264,0.045658671734795965,0.03314686252400742,0.0001942030410653371,1.0,0.03381822953795816,-0.01794449079878304,0.026573919790073272,0.009224679138452156,0.02579290184806981
Skewness,0.3104314152831306,0.2700162947135048,0.250292716868767,0.12890548052842124,0.24555990571502911,0.32493662490276815,0.4791640367845409,-0.016689635868282177,0.0191835706718036,-0.05750830600198436,0.7780850341707313,-0.1717547707466648,0.39674466898521066,-0.015168305048275186,0.03381822953795816,1.0,-0.2062113887103843,0.12852139159651632,0.03161385255678131,0.1299604723250378
Kurtosis,-0.08421434199618566,-0.05162561569585646,-0.08525655329686792,-0.005128257031787819,-0.008104830205409174,-0.0666342166287074,-0.15595728794850788,0.0558183435368399,-0.013226460424250882,0.0438712599521639,-0.21534127529729208,-0.14403288189293115,-0.13999455030676608,-0.00253270394536904,-0.01794449079878304,-0.2062113887103843,1.0,-0.019836496549214586,0.05856906299910453,0.014580392288619747
OvernightVsIntraday,0.6439426153892605,0.5878214080698224,0.5943872663287123,0.2902668723394122,0.5584359437025055,0.48934455755627043,0.5770014423323714,0.043177734853294944,-0.03444568393804881,-0.033458193074891215,0.48484532603030356,-0.00670094758667568,0.3934020596081932,0.01305937338417098,0.026573919790073272,0.12852139159651632,-0.019836496549214586,1.0,0.011912296594434523,0.6852604246006917
AmihudIlliquidity,0.03523330362297859,0.05271010457953042,0.02970805383138772,0.0555984824354238,0.09489802272845256,0.09337968138226754,0.04710628798685116,0.07920968172959046,0.1106517540017652,0.05753812767447273,0.04840047013136843,0.04754320373005192,-0.011690739800522959,-0.04171991874066156,0.009224679138452156,0.03161385255678131,0.05856906299910453,0.011912296594434523,1.0,0.03372762267070558
BuyingSellingPressure,0.7277644524083026,0.6425783075994584,0.6617522698547459,0.29307990816186263,0.69033560086016,0.6040427827306835,0.7198157246376922,0.05368779073239959,-0.00322490518851641,-0.015300647278853398,0.5677399754652289,-0.004752208740521328,0.3258661370716774,-0.0010480392336709194,0.02579290184806981,0.1299604723250378,0.014580392288619747,0.6852604246006917,0.03372762267070558,1.0
