Factor,Parameters,Mode,SharpRatio,POT
PriceOiDivergence,{'N': 10},RAW,0.2366,6.7793
PriceOiDivergence,{'N': 10},STATE_MACHINE,0.2313,4.5024
PriceOiDivergence,{'N': 20},RAW,0.0407,1.6304
PriceOiDivergence,{'N': 20},STATE_MACHINE,0.1204,3.3935
PriceOiDivergence,{'N': 30},RAW,0.1314,7.0257
PriceOiDivergence,{'N': 30},STATE_MACHINE,0.1167,3.9861
PriceOiDivergence,{'N': 40},RAW,0.2381,17.3212
PriceOiDivergence,{'N': 40},STATE_MACHINE,0.175,7.3948
PriceOiDivergence,{'N': 50},RAW,0.2824,22.4105
PriceOiDivergence,{'N': 50},STATE_MACHINE,0.1462,7.4428
PriceOiDivergence,{'N': 60},RAW,0.1389,13.0852
PriceOiDivergence,{'N': 60},STATE_MACHINE,-0.1229,-8.0198
