trade_date,M.DCE,Y.DCE,P.DCE,OI.ZCE,RM.ZCE
20100104,0.0,0.0,0.0,,
20100105,0.0,0.0,0.0,,
20100106,0.0,0.0,0.0,,
20100107,0.0,0.0,0.0,,
20100108,0.0,0.0,0.0,,
20100111,0.0,0.0,0.0,,
20100112,0.0,0.0,0.0,,
20100113,0.0,0.0,0.0,,
20100114,0.0,0.0,0.0,,
20100115,0.0,0.0,0.0,,
20100118,0.0,0.0,0.0,,
20100119,0.0,0.0,0.0,,
20100120,0.0,0.0,0.0,,
20100121,0.0,0.0,0.0,,
20100122,0.0,0.0,0.0,,
20100125,0.0,0.0,0.0,,
20100126,0.0,0.0,0.0,,
20100127,0.0,0.0,0.0,,
20100128,0.0,0.0,0.0,,
20100129,-17.6430991557847,-15.819454861433442,12.871782076660145,,
20100201,2.2270006256782584,-28.909120410777046,-2.5565449966530123,,
20100202,18.402482131649993,-39.58561486616942,-15.22221544691013,,
20100203,-0.6319020398572829,-46.78611027514085,-24.31269171358569,,
20100204,16.0666182695624,-54.21787142269061,-32.87952019840426,,
20100205,29.461832171887565,-60.60795198989171,-39.93477848566684,,
20100208,7.8942690692546025,-65.45816253200766,-45.547637373675364,,
20100209,-9.766227643844605,-69.50399666720354,-50.31686579517919,,
20100210,11.133993843404042,-76.14856214273735,-56.727228412145486,,
20100211,-8.923654896621528,-81.39745752295708,-62.36816673877458,,
20100212,-25.362705305157434,-85.84524813916055,-67.01620602005465,,
20100222,-38.07827101594588,-88.64739004120185,-69.48402256438428,,
20100223,-15.305093996763302,-90.5038769740677,-71.22278419713359,,
20100224,3.8279212598690897,-93.04523975949404,-73.72343719694291,,
20100225,19.407547752777134,-95.47850363231134,-76.29011168127185,,
20100226,-0.3592363455215241,-97.41570560566852,-78.2944700364546,,
20100301,15.330931894787762,-98.848968349012,-79.74501195663562,,
20100302,28.097776468491972,-100.96281283480909,-81.83810743072874,,
20100303,7.439429889556705,-102.8263901091566,-83.27870857656829,,
