trade_date,CF.ZCE,SR.ZCE
20100104,0.0,0.0
20100105,0.0,0.0
20100106,-79.24256537214357,-35.16652886069239
20100107,-67.22241559537306,-22.881270582677136
20100108,-59.03133442653608,-20.89823566686744
20100111,-52.78307531079454,-18.598999102063352
20100112,-48.9546107177782,-18.312561223693695
20100113,-44.830064369413996,-19.389556066046225
20100114,-42.731567975302546,-17.32242880883029
20100115,-42.40256415126568,-17.24697558857479
20100118,-41.427067259480516,-16.587344266835647
20100119,-40.88291643095181,-16.030589887333853
20100120,-40.83121194997246,-15.887822723902708
20100121,-38.071691517301424,-14.066668240313959
20100122,-34.402082357286304,-12.813905227910993
20100125,-31.26424407930679,-11.662353144741902
20100126,-29.34340791826943,-10.877421105194774
20100127,-27.68939624921707,-10.633316171909586
20100128,-25.967449873351455,-10.62349496199688
20100129,-24.578417498746795,-10.760121851847058
20100201,-22.976245397360515,-10.675534576511126
20100202,-21.79144294604938,-10.240385518542224
20100203,-20.14324475272346,-9.233553486314724
20100204,-18.46550208021055,-8.430839693606725
20100205,-16.751901935195384,-7.768030791683305
20100208,-15.428891564527683,-6.898436275188385
20100209,-14.441806143731679,-6.0129076411727045
20100210,-13.895283226993461,-4.934738837785955
20100211,-13.477549148670564,-4.076592504316992
20100212,-13.125924057335677,-3.38875379500613
20100222,-12.552750684322582,-2.9627786809824332
20100223,-12.192737454296296,-2.2996601570940034
20100224,-12.207170866758352,-1.6479286217085558
20100225,-12.453278564138268,-1.3482199998025295
20100226,-12.00878255465501,-1.041388196864623
20100301,-11.836837607674338,-0.8229105662668555
20100302,-12.0246742857403,-0.598159759891726
20100303,-11.639122318854954,-0.416174925113483
20100304,-11.639506521695054,-0.31088555617088376
20100305,-11.519838595542762,-0.10951103864919219
20100308,-11.430323228101829,0.1458795927628691
20100309,-10.8011692427006,0.3851919229947768
20100310,-10.53268950627951,0.4304347742547171
20100311,-10.41366295945739,0.27294071370988915
20100312,-10.084700033611357,0.31488249027000387
20100315,-9.60873884482895,0.12254900729440363
20100316,-8.825629243087075,0.21716246180773502
20100317,-7.990081033120077,0.740689984518667
20100318,-7.346268874379417,1.4641058836359069
20100319,-6.61674723609204,1.8779948669280493
20100322,-6.402236018132479,2.3170145426542423
20100323,-6.435365864016536,2.246460602309675
20100324,-6.695948909065027,2.536930589791124
20100325,-6.933548665590008,2.7380202357759442
20100326,-7.207348341521077,3.1165987965403947
20100329,-7.565749409739319,3.486042876916806
20100330,-7.845693095999742,3.6112265101492875
20100331,-8.355631329523655,3.537078049937339
20100401,-9.034202927476267,3.40348358563612
20100402,-9.227884976121723,3.488078761577631
20100406,-8.874095257661683,3.3550185661938765
20100407,-8.460176032239028,3.5234820303976764
20100408,-8.262106058398356,3.5938425933400153
20100409,-7.756278526098272,4.187931841975912
20100412,-7.423400351597165,4.9377980878657945
20100413,-6.632775970463299,5.748120197438663
20100414,-5.929313544625907,6.237640527137862
