trade_date,FU.SHF,SC.INE,LU.INE,BU.SHF,RU.SHF,SP.SHF,L.DCE,V.DCE,PP.DCE,EG.DCE,EB.DCE,PG.DCE,BZ.DCE,TA.ZCE,MA.ZCE,FG.ZCE,SA.ZCE,PF.ZCE,PX.ZCE,SH.ZCE,PL.ZCE
20100104,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100105,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100106,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100107,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100108,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100111,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100112,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100113,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100114,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100115,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100118,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100119,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100120,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100121,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100122,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100125,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100126,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100127,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100128,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100129,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100201,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100202,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100203,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100204,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100205,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100208,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100209,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100210,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100211,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100212,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100222,-0.011611318601745434,,,,-0.01715534004560217,,-0.0534110135288477,-0.02982317308721868,,,,,,-0.0010563500593319295,,,,,,,
20100223,-0.027599253006316365,,,,-0.02464710278665429,,-0.08901362302485968,-0.04394815546198152,,,,,,0.007709148602456035,,,,,,,
20100224,-0.03977589976794076,,,,-0.02963398007604126,,-0.11184323907227839,-0.0502163263135846,,,,,,0.018646105099824575,,,,,,,
20100225,-0.031596335904071085,,,,-0.02823219107152633,,-0.11774142031896545,-0.057531172387129674,,,,,,0.03207170622960978,,,,,,,
20100226,-0.01616798011556323,,,,-0.030249728448705812,,-0.11323107696313835,-0.05074427801338776,,,,,,0.047633972445060055,,,,,,,
20100301,-0.008937245792049379,,,,-0.044678336957685603,,-0.12109730526768278,-0.04637568067389195,,,,,,0.05218908342788718,,,,,,,
20100302,-0.004613284699902284,,,,-0.06187296077239093,,-0.13016877305996724,-0.039114781547968276,,,,,,0.04096679237255372,,,,,,,
20100303,-0.028805854376589612,,,,-0.08859254982321926,,-0.14484325361597047,-0.044964815432442296,,,,,,0.008878115639905556,,,,,,,
20100304,-0.042311001364514,,,,-0.1111597971805535,,-0.16996994534971172,-0.06413112974924236,,,,,,-0.024075189289012273,,,,,,,
20100305,-0.05484959531923336,,,,-0.12458484963148447,,-0.18507217820038768,-0.07770291569748357,,,,,,-0.04210017069286148,,,,,,,
20100308,-0.08251467684004989,,,,-0.13271791377068712,,-0.21576329030469002,-0.10021803617560979,,,,,,-0.06902628491541941,,,,,,,
20100309,-0.10432908552201171,,,,-0.13982374313878038,,-0.23794360559512864,-0.11195420190636758,,,,,,-0.0900905032698738,,,,,,,
20100310,-0.11554907504107859,,,,-0.13645100060657583,,-0.2513315996134166,-0.11226250824354078,,,,,,-0.09450634864778486,,,,,,,
20100311,-0.14242703976227467,,,,-0.1470311351714772,,-0.27936881500621047,-0.1319750895368406,,,,,,-0.11742744971295661,,,,,,,
20100312,-0.2072955512679758,,,,-0.17108908062087913,,-0.30700098134205056,-0.16656979385757534,,,,,,-0.14335043405879438,,,,,,,
20100315,-0.25929760166084265,,,,-0.2006575874847447,,-0.33063925734051436,-0.19740162398715727,,,,,,-0.17366393044810835,,,,,,,
20100316,-0.28554276200368783,,,,-0.20078601905243681,,-0.33580293715804616,-0.19787777600150208,,,,,,-0.17986021468655639,,,,,,,
20100317,-0.29465427206832334,,,,-0.19672655330112734,,-0.3189386717942601,-0.1847174959917687,,,,,,-0.16982428290202764,,,,,,,
20100318,-0.32043735652862965,,,,-0.1959471375066433,,-0.3106055241619166,-0.16429334382269656,,,,,,-0.17591109016812673,,,,,,,
20100319,-0.3419493180498999,,,,-0.1867999562104564,,-0.2994207485864172,-0.13693235124052827,,,,,,-0.1923739508559483,,,,,,,
20100322,-0.35890125642404064,,,,-0.1745779675423096,,-0.2841634602285204,-0.10197194200735671,,,,,,-0.1920839822362588,,,,,,,
20100323,-0.3530859412479707,,,,-0.15892579253271447,,-0.26328051862173774,-0.06695079611964772,,,,,,-0.18169426823642001,,,,,,,
20100324,-0.3374109192047549,,,,-0.14542864704923997,,-0.24166040409643622,-0.04776605510342009,,,,,,-0.16985953670282922,,,,,,,
20100325,-0.3190510361637693,,,,-0.12836939357632485,,-0.22723240937140143,-0.04163977775311727,,,,,,-0.16341215420292202,,,,,,,
20100326,-0.3251311856158178,,,,-0.12721468897203836,,-0.22187621902942603,-0.050365786191485025,,,,,,-0.1713674288808459,,,,,,,
20100329,-0.32466806672507287,,,,-0.12272653321362094,,-0.2214742053158799,-0.07844169679409707,,,,,,-0.1777061308990823,,,,,,,
20100330,-0.34373697212212445,,,,-0.12692332117535562,,-0.23954075687930845,-0.10866970481141178,,,,,,-0.20263755409532372,,,,,,,
20100331,-0.3581486569281807,,,,-0.14135774273355503,,-0.2589762277536704,-0.14098851923988526,,,,,,-0.23096931946758956,,,,,,,
20100401,-0.36516614442173595,,,,-0.15830914205142058,,-0.27318076589747936,-0.17593364771837125,,,,,,-0.25085382323112065,,,,,,,
20100402,-0.3860252413376021,,,,-0.17549603206524142,,-0.28545612173671614,-0.2203321272137656,,,,,,-0.2836727981924795,,,,,,,
20100406,-0.3548760016946827,,,,-0.17840449950628917,,-0.26693678175957386,-0.232790578787276,,,,,,-0.2858462145683442,,,,,,,
