trade_date,FU.SHF,SC.INE,LU.INE,BU.SHF,RU.SHF,SP.SHF,L.DCE,V.DCE,PP.DCE,EG.DCE,EB.DCE,PG.DCE,BZ.DCE,TA.ZCE,MA.ZCE,FG.ZCE,SA.ZCE,PF.ZCE,PX.ZCE,SH.ZCE,PL.ZCE
20100104,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100105,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100106,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100107,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100108,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100111,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100112,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100113,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100114,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100115,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100118,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100119,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100120,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100121,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100122,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100125,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100126,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100127,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100128,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100129,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100201,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100202,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100203,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100204,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100205,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100208,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100209,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100210,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100211,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100212,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100222,9.885464131011042e-07,,,,1.511425237703145e-07,,9.212944331527124e-07,4.04309400587681e-06,,,,,,3.4073638180684766e-07,,,,,,,
20100223,1.7982007763779428e-06,,,,2.7554606995056984e-07,,1.6816308354271463e-06,7.35668903661157e-06,,,,,,6.193829083274823e-07,,,,,,,
20100224,2.4760735330324595e-06,,,,3.7107687495128306e-07,,2.329874249508773e-06,1.0110703518947127e-05,,,,,,8.572434469432579e-07,,,,,,,
20100225,3.026620317738985e-06,,,,4.51950379185163e-07,,2.8940215119737723e-06,1.2440059207271089e-05,,,,,,1.048639771790908e-06,,,,,,,
20100226,3.494697011559957e-06,,,,5.359883448007784e-07,,3.4302837713573786e-06,1.4350193678843764e-05,,,,,,1.2451289966838856e-06,,,,,,,
20100301,3.9114447676433095e-06,,,,5.986833090077248e-07,,3.82900087204791e-06,1.5775713852138348e-05,,,,,,1.3966306929713387e-06,,,,,,,
20100302,4.321271416649287e-06,,,,6.498252188741444e-07,,4.112733178669097e-06,1.690480542517842e-05,,,,,,1.534370761607444e-06,,,,,,,
20100303,4.687470985413049e-06,,,,6.897305951244114e-07,,4.2806543502775695e-06,1.7520275233432364e-05,,,,,,1.642457174059633e-06,,,,,,,
20100304,4.97980890056102e-06,,,,7.231051474011539e-07,,4.394786533526003e-06,1.7901924055047998e-05,,,,,,1.7401010485133071e-06,,,,,,,
20100305,5.268117232112703e-06,,,,7.458937843570059e-07,,4.448910116163964e-06,1.8388853848998115e-05,,,,,,1.8192088448370373e-06,,,,,,,
20100308,5.683372975860436e-06,,,,7.590612384913211e-07,,4.486013561878325e-06,1.8881776392139172e-05,,,,,,1.8951886171910326e-06,,,,,,,
20100309,6.030839886890037e-06,,,,7.631717562857127e-07,,4.533567489610248e-06,1.9279183626136218e-05,,,,,,1.9566748171843693e-06,,,,,,,
20100310,6.379112173903618e-06,,,,7.695577855224654e-07,,4.6039901608202635e-06,2.04080720386121e-05,,,,,,2.0623265681349543e-06,,,,,,,
20100311,6.727104834832453e-06,,,,7.742552581483921e-07,,4.5988392865704076e-06,2.127840251133603e-05,,,,,,2.1501408779710613e-06,,,,,,,
20100312,7.917996173845445e-06,,,,7.820302151264706e-07,,4.586529145760655e-06,2.228254233573927e-05,,,,,,2.222664833877181e-06,,,,,,,
20100315,9.096101206699766e-06,,,,7.816422463136931e-07,,4.497068741301211e-06,2.296724487243883e-05,,,,,,2.248109892595626e-06,,,,,,,
20100316,1.0137016951991456e-05,,,,7.78208404065226e-07,,4.423141923222469e-06,2.3389162763942748e-05,,,,,,2.2750454717250887e-06,,,,,,,
20100317,1.0919517345560358e-05,,,,7.856850032520347e-07,,4.31263616010698e-06,2.3536903480389687e-05,,,,,,2.2968154503215245e-06,,,,,,,
20100318,1.1572849222406042e-05,,,,7.920407818040471e-07,,4.218460576317704e-06,2.3485738772043476e-05,,,,,,2.3183223069586216e-06,,,,,,,
20100319,1.2161735109339758e-05,,,,7.979080481915896e-07,,4.149036908352511e-06,2.336565492073258e-05,,,,,,2.3831520954575904e-06,,,,,,,
20100322,1.3908922719239906e-05,,,,8.098830504128501e-07,,4.152696090460658e-06,2.3431383138403958e-05,,,,,,2.429308791252314e-06,,,,,,,
20100323,1.5424174654771853e-05,,,,8.215686695889813e-07,,4.147192809332715e-06,2.3478772646851177e-05,,,,,,2.472606870803629e-06,,,,,,,
20100324,1.65947803171341e-05,,,,8.244872198173469e-07,,4.131038361505104e-06,2.3370246359856416e-05,,,,,,2.48621183620753e-06,,,,,,,
20100325,1.745473529747007e-05,,,,8.134523083706719e-07,,4.127735389268694e-06,2.355660877860814e-05,,,,,,2.5095012285555906e-06,,,,,,,
20100326,1.7949550055976147e-05,,,,7.919017696181699e-07,,4.115971899645444e-06,2.3781229067996977e-05,,,,,,2.5187234662133247e-06,,,,,,,
20100329,1.8515076919499177e-05,,,,7.746747708038016e-07,,4.095416565820452e-06,2.395960542704564e-05,,,,,,2.5338585065194375e-06,,,,,,,
20100330,1.9297964742455538e-05,,,,7.680970284053056e-07,,4.11322249319513e-06,2.4160414541621976e-05,,,,,,2.55162346016473e-06,,,,,,,
20100331,1.998906257816499e-05,,,,7.500473475870647e-07,,4.110195025434879e-06,2.434201880565782e-05,,,,,,2.560431314273443e-06,,,,,,,
