trade_date,FU.SHF,SC.INE,LU.INE,BU.SHF,RU.SHF,SP.SHF,L.DCE,V.DCE,PP.DCE,EG.DCE,EB.DCE,PG.DCE,BZ.DCE,TA.ZCE,MA.ZCE,FG.ZCE,SA.ZCE,PF.ZCE,PX.ZCE,SH.ZCE,PL.ZCE
20100104,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100105,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100106,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100107,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100108,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100111,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100112,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100113,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100114,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100115,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100118,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100119,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100120,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100121,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100122,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100125,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100126,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100127,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100128,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100129,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100201,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100202,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100203,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100204,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100205,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100208,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100209,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100210,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100211,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100212,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100222,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100223,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100224,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100225,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100226,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100301,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100302,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100303,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100304,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100305,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100308,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100309,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100310,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100311,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100312,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100315,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100316,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100317,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100318,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100319,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100322,0.05451135706717749,,,,-0.25268423107878113,,-1.300796057235681,-1.4357303008031042,,,,,,-0.8315070337319408,,,,,,,
20100323,-1.0587419483830018,,,,-0.7550505297356067,,-2.3687406716818873,-2.8534006291091694,,,,,,-1.6244986962483279,,,,,,,
20100324,-2.027202819847386,,,,-1.2129237396643482,,-3.2715803307684124,-3.9516326609295644,,,,,,-2.1305841074905834,,,,,,,
20100325,-2.0137646892845873,,,,-1.1622766795140318,,-3.6879783693400126,-4.660739515697281,,,,,,-2.1962185805143872,,,,,,,
20100326,-1.7879704082039005,,,,-1.2255106015528918,,-3.9264253884840423,-4.7935662979138085,,,,,,-1.956554382295286,,,,,,,
20100329,-2.4351401325199,,,,-1.4621307051276071,,-4.358661822414723,-5.12542574463763,,,,,,-1.8851929014136262,,,,,,,
20100330,-2.431201928096069,,,,-1.6503008381203508,,-4.679382835986831,-5.372840972693302,,,,,,-2.0388310399066505,,,,,,,
20100331,-1.8419356595537384,,,,-1.7484210156601288,,-4.556908161747513,-5.387540158088478,,,,,,-1.919643745231978,,,,,,,
20100401,-1.3616408827478816,,,,-1.9539982335570651,,-4.738426994118266,-5.6385398476399455,,,,,,-2.048296652185331,,,,,,,
20100402,-0.43774970323922413,,,,-1.8226435505274141,,-4.477077696208106,-5.842994722595502,,,,,,-1.8238100143632008,,,,,,,
20100406,0.559084777618045,,,,-1.3617001076963962,,-4.172650606006854,-5.959996611376872,,,,,,-1.7624788668361542,,,,,,,
20100407,1.1405584871909673,,,,-1.185521995331173,,-3.931685759797261,-5.731494797506673,,,,,,-1.8708583971411457,,,,,,,
20100408,1.5339377801907215,,,,-1.1773300405183695,,-3.955442524357522,-5.509772114057377,,,,,,-1.8517497762145614,,,,,,,
20100409,1.7662546008851825,,,,-1.2672553126584203,,-4.152206453185939,-5.17863897377294,,,,,,-1.8867041427943205,,,,,,,
20100412,2.3681923032531276,,,,-0.751083898857455,,-4.071494539075677,-4.818785743277423,,,,,,-1.420726453349195,,,,,,,
20100413,3.0734652415407586,,,,-0.3857614282551194,,-3.9999916910643547,-4.57606109085726,,,,,,-1.129085466118388,,,,,,,
20100414,4.146927260352079,,,,0.2874703707172394,,-3.4901657328270943,-3.882886309808578,,,,,,-0.5127310424749713,,,,,,,
20100415,5.457450718543136,,,,1.0436887936023507,,-2.777915620209447,-2.8203213364941306,,,,,,0.5422095423942802,,,,,,,
20100416,6.388576629927142,,,,1.8494452807516013,,-2.007646718607204,-1.6677465128018172,,,,,,1.8355769713744632,,,,,,,
20100419,6.758620780269417,,,,2.002151824238361,,-1.9318134211160838,-0.6712894828313504,,,,,,1.9327222835864133,,,,,,,
20100420,8.283161089196227,,,,2.3013732008893664,,-1.5308749931976842,0.4858376860305029,,,,,,2.573590841372893,,,,,,,
