Factor,Parameters,Mode,SharpRatio,POT
OpenInterestROC,{'N': 10},RAW,0.0103,0.7568
OpenInterestROC,{'N': 10},STATE_MACHINE,0.0506,1.3091
OpenInterestROC,{'N': 20},RAW,0.0685,6.2702
OpenInterestROC,{'N': 20},STATE_MACHINE,0.0327,1.1817
OpenInterestROC,{'N': 30},RAW,0.3479,48.5491
OpenInterestROC,{'N': 30},STATE_MACHINE,0.162,6.6528
OpenInterestROC,{'N': 40},RAW,0.1215,24.8916
OpenInterestROC,{'N': 40},STATE_MACHINE,0.1258,6.2307
OpenInterestROC,{'N': 50},RAW,0.0926,22.7721
OpenInterestROC,{'N': 50},STATE_MACHINE,0.0523,3.5312
OpenInterestROC,{'N': 60},RAW,0.3016,100.5531
OpenInterestROC,{'N': 60},STATE_MACHINE,0.007,0.5287
