Factor,Parameters,Mode,SharpRatio,POT
Skewness,{'N': 10},RAW,0.1749,6.1274
Skewness,{'N': 10},STATE_MACHINE,0.1004,2.7246
Skewness,{'N': 20},RAW,0.2483,13.7958
Skewness,{'N': 20},STATE_MACHINE,0.3059,13.262
Skewness,{'N': 30},RAW,0.1684,11.0901
Skewness,{'N': 30},STATE_MACHINE,0.3168,16.288
Skewness,{'N': 40},RAW,0.1047,8.3089
Skewness,{'N': 40},STATE_MACHINE,0.091,5.4394
Skewness,{'N': 50},RAW,-0.0525,-4.6448
Skewness,{'N': 50},STATE_MACHINE,-0.1432,-9.4014
Skewness,{'N': 60},RAW,-0.1626,-15.675
Skewness,{'N': 60},STATE_MACHINE,-0.1479,-10.8307
