Factor,Parameters,Mode,SharpRatio,POT
PriceVolumeCorrelation,{'N': 10},RAW,0.4548,19.7127
PriceVolumeCorrelation,{'N': 10},STATE_MACHINE,0.4402,15.7941
PriceVolumeCorrelation,{'N': 20},RAW,0.588,38.0388
PriceVolumeCorrelation,{'N': 20},STATE_MACHINE,0.6414,35.9008
PriceVolumeCorrelation,{'N': 30},RAW,0.4242,32.4674
PriceVolumeCorrelation,{'N': 30},STATE_MACHINE,0.3545,22.8786
PriceVolumeCorrelation,{'N': 40},RAW,0.3704,33.2615
PriceVolumeCorrelation,{'N': 40},STATE_MACHINE,0.1662,11.6364
PriceVolumeCorrelation,{'N': 50},RAW,0.2654,26.9303
PriceVolumeCorrelation,{'N': 50},STATE_MACHINE,0.048,3.6164
PriceVolumeCorrelation,{'N': 60},RAW,0.0895,9.5978
PriceVolumeCorrelation,{'N': 60},STATE_MACHINE,-0.0877,-7.0974
