,dailyPnl,Agriculture,Energy,Ferrous,NonFerrous,Precious,cumulativePnl
20100104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100107,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100108,-0.8723690718628595,0.0,0.0,0.0,-0.795972180395716,-0.07639689146714329,-0.8723690718628595
20100111,1.2522597975037093,0.0,0.0,0.0,1.011453917751669,0.2408058797520401,0.3798907256408498
20100112,-0.23591120071502691,0.0,0.0,0.0,-0.24620336420779648,0.010292163492769554,0.1439795249258229
20100113,-1.320301069725176,0.0,0.0,0.0,-1.096414488226516,-0.22388658149865998,-1.1763215447993531
20100114,0.3569368495436171,0.0,0.0,0.0,0.2741249767286881,0.08281187281492909,-0.819384695255736
20100115,-0.11957697508569384,0.0,0.0,0.0,-0.09195122047628618,-0.02762575460940767,-0.9389616703414299
20100118,0.07437427419647652,0.0,0.0,0.0,0.08907122073518113,-0.014696946538704611,-0.8645873961449533
20100119,0.23098102717149335,0.0,0.0,0.0,0.20934349809402722,0.02163752907746608,-0.6336063689734599
20100120,-0.23656981764916027,0.0,0.0,0.0,-0.19832095679743095,-0.038248860851729335,-0.8701761866226202
20100121,-0.11520272217490361,0.0,0.0,0.0,0.0042339091400812375,-0.11943663131498486,-0.9853789087975238
20100122,-0.47431012391181726,0.0,0.0,0.0,-0.26868282057600057,-0.20562730333581675,-1.459689032709341
20100125,0.16458977151611232,0.0,0.0,0.0,0.07658500064444561,0.08800477087166672,-1.2950992611932288
20100126,-0.13536754574272006,0.0,0.0,0.0,-0.03704738904739763,-0.09832015669532242,-1.430466806935949
20100127,0.05956052252379313,0.0,0.0,0.0,0.027612463400951918,0.0319480591228412,-1.3709062844121558
20100128,-0.1934557516807484,0.0,0.0,0.0,-0.08520028735449267,-0.10825546432625571,-1.5643620360929043
20100129,-0.02367933205955821,0.0,0.0,0.0,0.05355364654825395,-0.07723297860781214,-1.5880413681524626
20100201,0.028002583541083603,0.0,0.0,0.0,0.022401378557793474,0.0056012049832901275,-1.560038784611379
20100202,0.1233279534050634,0.0,0.0,0.0,0.029133595657603137,0.09419435774746028,-1.4367108312063157
20100203,-0.16983531624154885,0.0,0.0,0.0,-0.18939795057529146,0.019562634333742647,-1.6065461474478646
20100204,0.14976032886537394,0.0,0.0,0.0,0.14394460552361174,0.005815723341762186,-1.4567858185824907
20100205,0.3366918227491482,0.0,0.0,0.0,0.2111387996089105,0.12555302314023767,-1.1200939958333425
20100208,-0.07225250096397608,0.0,0.0,0.0,-0.04487631425638271,-0.027376186707593383,-1.1923464967973185
20100209,-0.1596394392780578,0.0,0.0,0.0,-0.10318928026320405,-0.05645015901485373,-1.3519859360753763
20100210,-0.31623625442206754,0.0,0.0,0.0,-0.25325835595660323,-0.0629778984654643,-1.668222190497444
20100211,-0.17809183567821094,0.0,0.0,0.0,-0.15281737850095137,-0.025274457177259547,-1.8463140261756548
20100212,-0.30018780792798033,0.0,0.0,0.0,-0.19227108040794233,-0.107916727520038,-2.1465018341036353
20100222,-0.7055818560787589,0.0,0.0,0.0,-0.3555838933086168,-0.34999796277014195,-2.8520836901823943
20100223,-0.24889150159079637,-0.28046032789487985,0.0002454489365673155,-0.04248628453624565,0.011422369429912345,0.062387292473849554,-3.1009751917731907
20100224,0.4346180422987255,0.0762199575928877,0.02402833602096476,0.02922969934799384,0.18361069327218663,0.12152935606469266,-2.6663571494744653
20100225,0.3782264757564257,0.06122421488592811,0.08263198661553808,0.038965030431684256,0.03918876844441205,0.15621647537886327,-2.28813067371804
20100226,-0.1451289525699021,0.0707643975987662,-0.003192552007932003,-0.004060884445715967,0.023323188086583353,-0.23196310180160368,-2.433259626287942
20100301,-0.5114623515540427,-0.1341509979203329,-0.018999475390348457,0.003731832005475754,-0.28578097257172597,-0.0762627376771112,-2.9447219778419846
20100302,0.4656309142904582,-0.01281700550281233,0.07873593958348496,0.03744043554917831,0.33972716720848517,0.022544377452122136,-2.479091063551526
20100303,-0.3690211338560019,0.016165460947538138,-0.02553667752612998,0.007824258920548005,-0.11947709193401249,-0.2479970842639456,-2.848112197407528
