Factor,Parameters,Mode,SharpRatio,POT
Kurtosis,{'N': 10},RAW,0.008,0.1564
Kurtosis,{'N': 10},STATE_MACHINE,-0.075,-1.0156
Kurtosis,{'N': 20},RAW,0.1565,5.1014
Kurtosis,{'N': 20},STATE_MACHINE,0.0777,1.6334
Kurtosis,{'N': 30},RAW,0.2662,11.9794
Kurtosis,{'N': 30},STATE_MACHINE,0.1222,3.1927
Kurtosis,{'N': 40},RAW,0.2351,12.3136
Kurtosis,{'N': 40},STATE_MACHINE,0.0676,2.054
Kurtosis,{'N': 50},RAW,0.147,8.3692
Kurtosis,{'N': 50},STATE_MACHINE,-0.1065,-3.5324
Kurtosis,{'N': 60},RAW,0.1092,6.6976
Kurtosis,{'N': 60},STATE_MACHINE,-0.144,-5.264
