trade_date,CU.SHF,AL.SHF
20100104,0.0,0.0
20100105,0.0,0.0
20100106,0.0,0.0
20100107,0.0,0.0
20100108,0.0,0.0
20100111,0.0,0.0
20100112,0.0,0.0
20100113,0.0,0.0
20100114,0.0,0.0
20100115,0.0,0.0
20100118,6.270767343582879e-07,5.049151952616813e-07
20100119,1.13898119538558e-06,8.588853982729322e-07
20100120,1.520132703461181e-06,1.281649454982219e-06
20100121,1.8281382472664626e-06,1.669496404123904e-06
20100122,2.0811056648741855e-06,1.9994789484074427e-06
20100125,2.2375983472387024e-06,2.216614066662837e-06
20100126,2.3782667778313157e-06,2.4713406191777385e-06
20100127,2.4242175212100192e-06,2.605381832624603e-06
20100128,2.388410115509179e-06,2.7627829510897462e-06
20100129,2.37537230823161e-06,2.970228249810259e-06
20100201,2.3456560222116585e-06,3.144060032422096e-06
20100202,2.284034759422281e-06,3.288586781211919e-06
20100203,2.2284313257964627e-06,3.290242989273688e-06
20100204,2.2323004657552587e-06,3.286585428259624e-06
20100205,2.242125668784509e-06,3.284733506018202e-06
20100208,2.276709062349263e-06,3.349909588437371e-06
20100209,2.2907038362406657e-06,3.380307105952869e-06
20100210,2.3407783450856158e-06,3.6261014150011584e-06
20100211,2.372365542338564e-06,3.6659144692712807e-06
20100212,2.4049713563192735e-06,3.7597163600353287e-06
20100222,2.5468494813768858e-06,3.959905677192697e-06
20100223,2.6704232008288816e-06,4.156084615634887e-06
20100224,2.766458126045685e-06,4.5452696912184614e-06
20100225,2.7988928678812205e-06,4.804088742506372e-06
20100226,2.775154336553531e-06,5.3198914987404296e-06
20100301,2.7608932008508438e-06,6.133651609743395e-06
20100302,2.7680152539205077e-06,7.036346655301248e-06
20100303,2.740948792970941e-06,7.786963763616401e-06
20100304,2.712749431624989e-06,8.971833321495695e-06
20100305,2.667562819733712e-06,1.0043439172005162e-05
20100308,2.4751642567700825e-06,1.0822855115009091e-05
20100309,2.3280132395438433e-06,1.1539989428097864e-05
20100310,2.1956169005182475e-06,1.2121615326923215e-05
20100311,2.1356987698548865e-06,1.2893660253166236e-05
20100312,2.1377481888818737e-06,1.3221136233068877e-05
20100315,2.0810886803697022e-06,1.2985416737695122e-05
20100316,1.9868105316953166e-06,1.2320035922158339e-05
20100317,1.959297235390046e-06,1.1721162058104783e-05
20100318,1.953451493430586e-06,1.1392411715351028e-05
20100319,1.9758279183475084e-06,1.1151714222893051e-05
20100322,2.0718496372672793e-06,1.1096965111503929e-05
20100323,2.1267429867941258e-06,1.0934695388431007e-05
20100324,2.1765608649226514e-06,1.0770186620306362e-05
20100325,2.158215947623822e-06,1.0501957111498558e-05
20100326,2.1768625420534517e-06,1.0385112961685148e-05
20100329,2.276518020625865e-06,1.0092628327752115e-05
20100330,2.3889263441933285e-06,1.0070465803359636e-05
20100331,2.4004270759317807e-06,1.021973403131558e-05
20100401,2.417290204169457e-06,1.030005834273723e-05
