trade_date,CU.SHF,AL.SHF
20100104,0.0,0.0
20100105,0.0,0.0
20100106,0.0,0.0
20100107,0.0,0.0
20100108,0.0,0.0
20100111,0.0,0.0
20100112,0.0,0.0
20100113,0.0,0.0
20100114,0.0,0.0
20100115,0.0,0.0
20100118,0.0,0.0
20100119,0.0,0.0
20100120,0.0,0.0
20100121,0.0,0.0
20100122,0.0,0.0
20100125,0.0,0.0
20100126,0.0,0.0
20100127,0.0,0.0
20100128,0.0,0.0
20100129,0.0,0.0
20100201,0.0,0.0
20100202,0.0,0.0
20100203,0.0,0.0
20100204,0.0,0.0
20100205,0.0,0.0
20100208,0.0,0.0
20100209,0.0,0.0
20100210,0.0,0.0
20100211,0.0,0.0
20100212,8.518714769952606,11.909120430938216
20100222,14.544788977394182,21.519690439125096
20100223,19.538579728235334,29.399797218707818
20100224,23.62351953030155,36.08919075199517
20100225,26.960753831955838,41.58606750673534
20100226,29.907997356384836,46.74183736326427
20100301,31.67868450757393,25.464229115028697
20100302,32.962024612766065,8.243444179843824
20100303,34.00107335765216,-5.71296960854096
20100304,35.218975850759556,-20.74637480052613
20100305,36.664696952859515,-34.65405554438071
20100308,38.05482164504956,-46.18582416502403
20100309,39.15915104398401,-55.2024376274377
20100310,40.321631458035974,-64.76569249984234
20100311,41.65263206169232,-73.20565933324376
20100312,43.907228401216955,-81.95125021480331
20100315,26.565109305841492,-87.27802563161814
20100316,31.121486926323076,-92.22184988734745
20100317,34.97538523317706,-96.49641965661617
20100318,38.04791237224844,-99.4756169026438
20100319,40.66849927674895,-60.76711141659889
20100322,44.338675343023425,-70.46709566902508
20100323,47.34837540847131,-78.42120905638114
20100324,27.50668680173904,-85.48971305955172
20100325,33.78387053807373,-90.91043711891565
20100326,38.744162366660895,-94.48998922170578
20100329,44.21793461977705,-97.6655929894435
20100330,50.14146775197836,-102.46383409022422
20100331,27.137636625378715,-106.9062407399425
20100401,8.556492375335985,-110.28937097957761
20100402,20.61071068338953,-113.10370835989302
20100406,30.73205892970954,-116.27487853338903
20100407,39.105920411360835,-119.49613131165154
20100408,18.64499505410056,-121.88712662632362
20100409,29.493194013019014,-124.23492906327697
20100412,38.35997323085078,-124.45311067486361
20100413,16.02599537036704,-126.93326554943253
20100414,-2.2868108347710945,-128.7968919322391
20100415,-18.611526222734824,-130.87949875921663
20100416,-32.39513733853307,-133.50316074940363
20100419,-40.03509689243727,-129.77129290851445
20100420,-46.298455158127055,-126.76841921075105
20100421,-51.42116053354536,-124.43044906361273
20100422,-55.61103726756302,-122.57536752392622
20100423,-59.03197564519946,-121.48581980043241
20100426,-61.8378553629305,-121.48339176870655
20100427,-65.59715604362724,-120.95570054725681
20100428,-66.20893534929672,-117.86307831290341
20100429,-66.60480042640206,-115.23892161930601
20100430,-67.40445731763302,-113.0616012697079
20100504,-68.28950541400668,-111.2884430195107
20100505,-68.62032549322198,-109.93572822008323
20100506,-68.75608066875299,-108.77659838517324
