trade_date,CU.SHF,AL.SHF
20100104,0.0,0.0
20100105,0.0,0.0
20100106,0.0,0.0
20100107,0.0,0.0
20100108,0.0,0.0
20100111,0.0,0.0
20100112,0.0,0.0
20100113,0.0,0.0
20100114,0.0,0.0
20100115,0.0,0.0
20100118,0.0,0.0
20100119,0.0,0.0
20100120,0.0,0.0
20100121,0.0,0.0
20100122,0.0,0.0
20100125,0.0,0.0
20100126,0.0,0.0
20100127,0.0,0.0
20100128,0.0,0.0
20100129,0.0,0.0
20100201,0.0,0.0
20100202,0.0,0.0
20100203,0.0,0.0
20100204,0.0,0.0
20100205,0.0,0.0
20100208,0.0,0.0
20100209,0.0,0.0
20100210,0.0,0.0
20100211,0.0,0.0
20100212,0.0,0.0
20100222,0.0,0.0
20100223,0.0,0.0
20100224,0.0,0.0
20100225,0.0,0.0
20100226,0.0,0.0
20100301,0.0,0.0
20100302,0.0,0.0
20100303,0.0,0.0
20100304,0.0,0.0
20100305,0.0,0.0
20100308,0.0,0.0
20100309,0.0,0.0
20100310,0.0,0.0
20100311,0.0,0.0
20100312,0.0,0.0
20100315,0.0,0.0
20100316,0.0,0.0
20100317,0.0,0.0
20100318,0.0,0.0
20100319,0.0,0.0
20100322,0.0,0.0
20100323,0.0,0.0
20100324,0.0,0.0
20100325,0.0,0.0
20100326,0.0,0.0
20100329,0.0,0.0
20100330,0.0,0.0
20100331,0.0,0.0
20100401,0.0,0.0
20100402,0.0,0.0
20100406,0.0,0.0
20100407,0.0,0.0
20100408,0.0,0.0
20100409,0.0,0.0
20100412,0.0,0.0
20100413,0.0,0.0
20100414,0.0,0.0
20100415,0.0,0.0
20100416,0.0,0.0
20100419,0.0,0.0
20100420,0.0,0.0
20100421,0.0,0.0
20100422,0.0,0.0
20100423,0.0,0.0
20100426,0.0,0.0
20100427,0.0,0.0
20100428,0.0,-18.899329717050477
20100429,0.0,-34.26858614159056
20100430,0.0,-46.81314783657478
20100504,0.0,-57.08516485696434
20100505,0.0,-65.58759282632826
20100506,0.0,-72.4917611957378
20100507,0.0,-77.00158560567682
20100510,0.0,-79.4805842156749
20100511,0.0,-82.54574237951944
20100512,0.0,-85.07018811847206
20100513,0.0,-87.02603238208548
20100514,0.0,-88.64084238278518
20100517,-8.732699341696282,-86.07321948404613
20100518,-16.349278147702773,-84.80450596895531
20100519,-22.777593280364304,-84.15594108740986
20100520,-27.76706063200401,-83.5418785123871
20100521,-31.850816568048465,-83.03993920150316
20100524,-26.059758954638507,-81.78854118813499
20100525,-21.321620925677617,-80.87161096446674
20100526,-17.444962550646288,-66.16768160372506
20100527,-14.273151161127474,-54.137193976167815
20100528,-11.678032757033249,-44.29406775634614
20100531,-9.554754066464241,-36.24060086321489
20100601,-7.81752604937788,-29.65140068729462
20100602,-6.396157673415305,-24.260236913267992
20100603,-5.2332199123710215,-19.84928473871739
20100604,-4.281725381348509,-16.24032387144107
20100607,-12.243312643097894,-24.978259909250145
