trade_date,CU.SHF,AL.SHF
20100104,0.0,0.0
20100105,0.0,0.0
20100106,0.0,0.0
20100107,0.0,0.0
20100108,0.0,0.0
20100111,0.0,0.0
20100112,0.0,0.0
20100113,0.0,0.0
20100114,0.0,0.0
20100115,0.0,0.0
20100118,0.0,0.0
20100119,0.0,0.0
20100120,0.0,0.0
20100121,0.0,0.0
20100122,0.0,0.0
20100125,0.0,0.0
20100126,0.0,0.0
20100127,0.0,0.0
20100128,0.0,0.0
20100129,0.0,0.0
20100201,0.0,0.0
20100202,0.0,0.0
20100203,0.0,0.0
20100204,0.0,0.0
20100205,0.0,0.0
20100208,0.0,0.0
20100209,0.0,0.0
20100210,0.0,0.0
20100211,0.0,0.0
20100212,0.0,0.0
20100222,0.0,0.0
20100223,0.0,0.0
20100224,0.0,0.0
20100225,0.0,0.0
20100226,0.0,0.0
20100301,0.0,0.0
20100302,0.0,0.0
20100303,0.0,0.0
20100304,0.0,0.0
20100305,0.0,0.0
20100308,0.0,0.0
20100309,0.0,0.0
20100310,0.0,0.0
20100311,0.0,0.0
20100312,0.0,0.0
20100315,0.0,0.0
20100316,0.0,0.0
20100317,0.0,0.0
20100318,0.0,0.0
20100319,0.0,0.0
20100322,0.0,0.0
20100323,0.0,0.0
20100324,0.0,0.0
20100325,0.0,0.0
20100326,0.0,0.0
20100329,0.0,0.0
20100330,0.0,0.0
20100331,0.0,0.0
20100401,0.0,0.0
20100402,0.0,0.0
20100406,-6.730432062772569,-26.237453188811514
20100407,-10.239634624432416,-41.89934053621484
20100408,-11.151906446532061,-49.27653357282454
20100409,-14.103162535205332,-59.5222116110767
20100412,-16.570866457605717,-78.25676637973433
20100413,-16.724419441590005,-72.73325957759545
20100414,-18.923265813083454,-78.56387932834679
20100415,-23.638439934093448,-74.59511783449402
20100416,-25.65475451665154,-63.94665070210605
20100419,-23.69952920025861,-44.63895517109836
20100420,-23.908546353305557,-33.2033495748896
20100421,-26.14538088225423,-18.87151231483046
20100422,-26.341474511581644,-2.691524671362129
20100423,-25.045074427259895,15.183848782101695
20100426,-24.996173433426225,27.192707975634494
20100427,-24.27164812372838,42.60271468187539
20100428,-21.177762745963992,63.689499368646274
20100429,-20.185272064641264,76.10102766009996
20100430,-16.851394853801924,83.56074600188447
20100504,-12.151010106706057,94.84011353396072
20100505,-6.318096435032052,108.40653346312004
20100506,1.649409938236846,123.00369496870972
20100507,11.364235655572305,135.5831318555756
20100510,15.037599030062783,141.50955044289816
20100511,20.927301070159135,150.52181344180246
20100512,22.759312451891258,158.61723507082058
20100513,22.097271302531173,163.51874392801892
20100514,23.355668422827293,167.54617417121833
20100517,25.359034964110588,172.67610001212074
20100518,24.235505312320548,167.5447341457788
20100519,26.345115149825443,170.71449867159376
20100520,25.542603777959947,167.2156105456542
20100521,27.216848669619335,166.60358158131186
20100524,26.49298693375842,159.21639994885152
20100525,27.30291421383688,154.60775039272784
