trade_date,CU.SHF,AL.SHF
20100104,0.0,0.0
20100105,0.0,0.0
20100106,0.0,0.0
20100107,0.0,0.0
20100108,0.0,0.0
20100111,0.0,0.0
20100112,0.0,0.0
20100113,0.0,0.0
20100114,0.0,0.0
20100115,0.0,0.0
20100118,0.0,0.0
20100119,0.0,0.0
20100120,0.0,0.0
20100121,0.0,0.0
20100122,0.0,0.0
20100125,0.0,0.0
20100126,0.0,0.0
20100127,0.0,0.0
20100128,0.0,0.0
20100129,0.0,0.0
20100201,0.0,0.0
20100202,0.0,0.0
20100203,0.0,0.0
20100204,0.0,0.0
20100205,0.0,0.0
20100208,0.0,0.0
20100209,0.0,0.0
20100210,0.0,0.0
20100211,0.0,0.0
20100212,0.0,0.0
20100222,-7.579544058933044,-11.78231305239571
20100223,-13.842827050690387,-21.43716360395434
20100224,-18.965420763503825,-29.577192088926008
20100225,-23.15096169477342,-36.259997248040754
20100226,-26.791817612289663,-42.385433743814744
20100301,-29.129700384455017,-47.44042262059371
20100302,-30.876905324599043,-51.39399889102228
20100303,-32.295343156748174,-54.49933321275115
20100304,-33.82356344707891,-60.65719825180216
20100305,-35.52311973079576,-67.30482376573863
20100308,-37.12088679969959,-72.89771853362828
20100309,-38.39507800805451,-77.05603729476724
20100310,-39.69651792279625,-82.64484842259967
20100311,-41.141200386144206,-87.83334879361546
20100312,-43.48880093889396,-93.91888396371513
20100315,-44.93840701469654,-97.06940747750704
20100316,-46.15378499783835,-100.2327672943238
20100317,-47.274270409053536,-103.05066391608361
20100318,-48.11045734861683,-63.78727031350073
20100319,-48.901370625485676,-31.567980698916212
20100322,-51.074580666509064,-5.0788969962035235
20100323,-52.85951690270439,16.61145447911184
20100324,-54.48093424634434,-7.736336300133923
20100325,-55.853565214476625,-27.294453441756154
20100326,-56.80108879317146,-42.44082616569054
20100329,-58.99171892197727,-55.08010031275783
20100330,-62.22906621470392,-67.62128290065156
20100331,-64.80162208293126,-78.39878229157863
20100401,-66.66635734819381,-86.96514264677702
20100402,-68.15505251162097,-94.02028620339073
20100406,-41.89435817402441,-100.66119452483785
20100407,-20.315615649144725,-106.72131569564394
20100408,-3.271125836846461,-111.4350159745604
20100409,11.56183811812819,-115.6832096745158
20100412,23.688874401094314,-71.84340728540357
20100413,4.022376109995402,-33.67288202505445
20100414,-12.107949143298589,-2.608074712794201
20100415,-26.64699985915646,23.3663865312571
20100416,-38.96961365198183,45.537915424717234
20100419,-45.41421245943823,57.79974750752927
20100420,-50.69954876455709,67.8826220264818
20100421,-55.022054667570984,76.25116895276423
20100422,-58.55722295222374,83.15596221051511
20100423,-61.44249092087462,89.23358289603964
20100426,-63.81009494348588,95.09520048604563
20100427,-67.21080648204382,99.36536393090313
20100428,-67.5291947135642,62.39959915279144
20100429,-67.68501257639748,32.248715779265304
20100430,-68.28826722029264,7.610096834484695
20100504,-69.01262258148932,-12.55705715719425
20100505,-69.21196679493255,-29.155505763711794
