trade_date,CU.SHF,AL.SHF
20100104,0.0,0.0
20100105,0.0,0.0
20100106,0.0,0.0
20100107,0.0,0.0
20100108,0.0,0.0
20100111,0.0,0.0
20100112,0.0,0.0
20100113,0.0,0.0
20100114,0.0,0.0
20100115,0.0,0.0
20100118,0.0,0.0
20100119,0.0,0.0
20100120,0.0,0.0
20100121,0.0,0.0
20100122,0.0,0.0
20100125,0.0,0.0
20100126,0.0,0.0
20100127,0.0,0.0
20100128,0.0,0.0
20100129,0.0,0.0
20100201,0.0,0.0
20100202,0.0,0.0
20100203,0.0,0.0
20100204,0.0,0.0
20100205,0.0,0.0
20100208,0.0,0.0
20100209,0.0,0.0
20100210,0.0,0.0
20100211,0.0,0.0
20100212,0.0,0.0
20100222,0.0,0.0
20100223,0.0,0.0
20100224,0.0,0.0
20100225,0.0,0.0
20100226,0.0,0.0
20100301,0.0,0.0
20100302,0.0,0.0
20100303,0.0,0.0
20100304,0.0,0.0
20100305,0.0,0.0
20100308,0.0,0.0
20100309,0.0,0.0
20100310,0.0,0.0
20100311,0.0,0.0
20100312,0.0,0.0
20100315,0.0,0.0
20100316,0.0,0.0
20100317,0.0,0.0
20100318,0.0,0.0
20100319,0.0,0.0
20100322,0.0,0.0
20100323,0.0,0.0
20100324,0.0,0.0
20100325,0.0,0.0
20100326,0.0,0.0
20100329,0.0,0.0
20100330,0.0,0.0
20100331,0.0,0.0
20100401,0.0,0.0
20100402,0.0,0.0
20100406,-2.0705388428622533,-2.8861924819240836
20100407,-3.6950146617926234,-5.689490740877036
20100408,-4.973727805252118,-9.124265160068502
20100409,-6.043399817522636,-12.121937415593615
20100412,-6.96242834861152,-13.45846669391241
20100413,-7.378568197176242,-14.951034901632761
20100414,-7.806950617366515,-16.29888898622921
20100415,-7.695718370627519,-18.915205591753544
20100416,-7.0968145185746865,-20.927553842453566
20100419,-7.080972688821416,-21.525860327815035
20100420,-7.138927953538906,-22.078638720836594
20100421,-8.246497411107237,-22.610390574527536
20100422,-8.969342205731879,-23.535125864354956
20100423,-9.549980548552309,-24.30500415418897
20100426,-9.911877019187704,-21.16563770800602
20100427,-10.317357135283666,-18.363227307575464
20100428,-11.458149961033246,-17.04789316215638
20100429,-12.392390190387863,-16.02044109213675
20100430,-12.518508020298574,-13.796754935683534
20100504,-12.548447556131979,-12.088460924439332
20100505,-12.392850069656612,-11.141551426761044
20100506,-12.623235103768529,-10.285593462208617
20100507,-13.01900525380979,-10.022233211336653
20100510,-13.288302661146357,-10.398413201985049
20100511,-13.803389639463665,-11.032987938687711
20100512,-14.123835246795325,-11.36854629069793
20100513,-14.616156449218785,-11.724758284892653
20100514,-14.937013318645283,-11.782460824788993
20100517,-14.629140837060064,-16.6154588800645
20100518,-14.222793827887013,-21.070573500884528
20100519,-13.757334159418201,-24.91643535867899
20100520,-13.450923362141644,-28.03877581723914
20100521,-13.158153932663515,-30.69432346225388
20100524,-12.969511973727998,-32.31824299885154
