,Kurtosis_{'N': 30},Kurtosis_{'N': 10},Kurtosis_{'N': 20},OvernightVsIntraday_{'N': 20},OvernightVsIntraday_{'N': 30},OvernightVsIntraday_{'N': 40},Skewness_{'N': 60},Skewness_{'N': 50},Skewness_{'N': 40},NoiseFader_{'N': 10},NoiseFader_{'N': 60},NoiseFader_{'N': 20},ShortTermReversal_{'N': 10},ShortTermReversal_{'N': 20},ShortTermReversal_{'N': 60},AmihudIlliquidity_{'N': 60},AmihudIlliquidity_{'N': 30},AmihudIlliquidity_{'N': 50},BuyingSellingPressure_{'N': 30},BuyingSellingPressure_{'N': 40},BuyingSellingPressure_{'N': 50},BollingerBands_{'N': 60},BollingerBands_{'N': 50},BollingerBands_{'N': 40},DonchianChannel_{'N': 50},DonchianChannel_{'N': 60},DonchianChannel_{'N': 40},"DualMACrossover_{'fast_n': 20, 'slow_n': 40}","DualMACrossover_{'fast_n': 30, 'slow_n': 60}","DualMACrossover_{'fast_n': 20, 'slow_n': 60}","MACD_{'fast_n': 24, 'slow_n': 52, 'signal_n': 18}","MACD_{'fast_n': 19, 'slow_n': 39, 'signal_n': 9}","MACD_{'fast_n': 12, 'slow_n': 26, 'signal_n': 9}",MovingAverageBias_{'N': 60},MovingAverageBias_{'N': 50},MovingAverageBias_{'N': 40},RSI_{'N': 40},RSI_{'N': 50},RSI_{'N': 30},TimeSeriesMomentum_{'N': 40},TimeSeriesMomentum_{'N': 50},TimeSeriesMomentum_{'N': 30},ATR_{'N': 20},ATR_{'N': 10},ATR_{'N': 60},DownsideUpsideVolatility_{'N': 50},DownsideUpsideVolatility_{'N': 40},DownsideUpsideVolatility_{'N': 60},HistoricalVolatility_{'N': 10},HistoricalVolatility_{'N': 20},HistoricalVolatility_{'N': 60},IntradayAmplitude_{'N': 10},IntradayAmplitude_{'N': 20},IntradayAmplitude_{'N': 60},VIXFix_{'N': 10},VIXFix_{'N': 20},VIXFix_{'N': 30},CMF_{'N': 40},CMF_{'N': 30},CMF_{'N': 20},OBV_{'N': 50},OBV_{'N': 30},OBV_{'N': 20},OpenInterestROC_{'N': 50},OpenInterestROC_{'N': 60},OpenInterestROC_{'N': 20},PriceOiDivergence_{'N': 30},PriceOiDivergence_{'N': 40},PriceOiDivergence_{'N': 60},PriceVolumeCorrelation_{'N': 40},PriceVolumeCorrelation_{'N': 30},PriceVolumeCorrelation_{'N': 50},VolumeMomentum_{'N': 60},VolumeMomentum_{'N': 10},VolumeMomentum_{'N': 20}
Kurtosis_{'N': 30},1.0,0.3525776852716951,0.762987382693864,-0.06479378960799077,-0.09331520915520762,-0.09261469852132258,-0.011207627830278167,-0.04528265271104624,-0.033670372752626035,0.04016204991632891,0.08857529962339895,0.11236449977399876,0.04016204991632891,0.11236449977399876,0.08857529962339895,-0.5963313159536269,-0.6000420132295878,-0.5989190145299921,-0.10306973873819181,-0.10208711114803397,-0.12864355346137343,-0.07847771555405057,-0.07006128078664549,-0.07230090699041386,-0.0640938000864091,-0.07544207910801827,-0.06649952991933068,-0.0581551505794982,-0.060656828573132114,-0.07083263556976326,-0.09919804177266724,-0.08522432380707064,-0.04103454507967238,-0.09296120784509374,-0.0774882232732933,-0.07757893887616371,-0.08729132811975411,-0.08033218426757126,-0.09113171334791888,-0.0872434964251876,-0.08020266830468951,-0.09102719898354585,-0.5994530922172598,-0.5993445020711148,-0.5975349441796178,-0.12087408616620601,-0.07621454449640669,-0.12908214966881412,-0.5999495274680101,-0.6002729549472606,-0.5963313159536269,-0.5993445020711148,-0.5994530922172598,-0.5975349441796178,-0.5911812271204069,-0.5911812271204069,-0.5911812271204069,-0.0946397922015645,-0.10540136077306722,-0.10106367105255766,-0.2262043051169643,-0.20230926735874794,-0.15634176469270575,0.16677449205851858,0.15965826819716947,0.41675081215965815,-0.26183870147895316,-0.3584556594192699,0.37844494247425786,-0.20904392331244986,-0.19424297843226146,-0.2128587037066499,0.35238728866068203,0.29970987031373864,0.3987958854682793
Kurtosis_{'N': 10},0.3525776852716951,1.0,0.5996443536058449,-0.01666225672034932,-0.032464790016348326,-0.03440609785340138,0.04417480799762868,0.04361020350604865,0.05558705008189808,-0.012779618475080683,-0.03522852400031381,0.007899704796984392,-0.012779618475080683,0.007899704796984392,-0.03522852400031381,-0.03136629562714939,-0.02830126344952906,-0.028282628776517136,-0.0068078304959831235,-0.014536906498334771,-0.022710494828193407,0.020811200582549552,0.010105174932824267,0.014523980780032688,0.008713999746044776,0.01197275517706881,-0.0005393923134858738,0.03782990496265499,0.03751417918555519,0.03047641964215719,-0.014753937611199645,-0.03750498599032038,-0.032968005466583856,0.014158520864874674,0.016393828294556746,0.010893939909719028,0.013075193665510831,0.021814092763028498,0.02257212309997174,0.013142163349040635,0.021446289984647107,0.02273768129874464,-0.03149026459105815,-0.03436685228400249,-0.03194785934006753,0.042015630897512334,0.026973289709434828,0.04211763896857715,-0.03464118874873573,-0.03178478531327466,-0.03136629562714939,-0.03436685228400249,-0.03149026459105815,-0.03194785934006753,-0.034970175619599454,-0.034970175619599454,-0.034970175619599454,-0.038279964939727504,-0.00451278441846035,-0.01984765535687968,-0.02367508383918026,-0.006974969390194993,0.02699687398961364,-0.029026942767563235,-0.04251943573114298,0.05168274663961432,-0.08216317771835469,-0.03893915634214156,0.01841180460876124,0.04266799554085036,0.025040183360288973,0.06204059231900356,-0.0066805385749949845,0.0730626179354376,0.08800382875012067
Kurtosis_{'N': 20},0.762987382693864,0.5996443536058449,1.0,-0.0858224311456827,-0.09717890525856177,-0.11091717801236546,-0.014702048383854843,-0.022980417427261278,0.006415883511093725,0.047705010596627566,0.06281854789890362,0.08373688817101992,0.047705010596627566,0.08373688817101992,0.06281854789890362,-0.39318399392211306,-0.3939001289038696,-0.39222695037711813,-0.10306025337117088,-0.10909380850664983,-0.12636502380124412,-0.08888850104741493,-0.0933204460141069,-0.0844689760648563,-0.05589446705452196,-0.06267895848354238,-0.06253795330169434,-0.03400679922947681,-0.03823697673712079,-0.0474278635581528,-0.0877473693481296,-0.09702984635532602,-0.07875557060053343,-0.0706047795439203,-0.05970616068135849,-0.06562011442648677,-0.06938701758027989,-0.05378135386211532,-0.06198874577976694,-0.06916986036328895,-0.05380365955327931,-0.06173227903398944,-0.3966120160290882,-0.39798098852374086,-0.3945663015435731,-0.07218926393589174,-0.04730888869514158,-0.0736485824036274,-0.398363529545561,-0.39699380600280937,-0.39318399392211306,-0.39798098852374086,-0.3966120160290882,-0.3945663015435731,-0.39360384270374454,-0.39360384270374454,-0.39360384270374454,-0.09495743003375141,-0.0840689078971952,-0.10543678213222712,-0.15962307857177283,-0.11992387277738001,-0.06423647988874787,0.0834075698930663,0.07971301439348517,0.26699271515618467,-0.17646422304443057,-0.21039050993870573,0.2621696453744072,-0.1294421100512556,-0.12612048575523632,-0.10627007086813867,0.22779995421356827,0.19917831668558614,0.2769839243889257
OvernightVsIntraday_{'N': 20},-0.06479378960799077,-0.01666225672034932,-0.0858224311456827,1.0,0.8255581321066581,0.670785306947699,0.04050002254597664,0.014988113257864248,0.011277711489244916,-0.41968138477819267,-0.24262912080549062,-0.46435763265659924,-0.41968138477819267,-0.46435763265659924,-0.24262912080549062,0.07392494217614262,0.07803653078659184,0.07573484935302713,0.548227169812293,0.48387296126948903,0.4534900627613454,0.41123458465344853,0.4147936540758159,0.4044856055420805,0.40897852658492734,0.3876708348411516,0.4349629828422422,0.3344647591768991,0.19175696122289157,0.2524917122822296,0.46549361338712286,0.4428231914629021,0.3572756235942812,0.3562888424489795,0.38905320248420877,0.4233389632686561,0.3263398457332902,0.27919536787711347,0.3948365347219546,0.3261731591758811,0.27888137470647634,0.39456819425013506,0.08000908564076857,0.08110758421292973,0.07337262816565461,0.18768673715712914,0.23918240829861825,0.19374387499034848,0.08084078582482906,0.07976266267760265,0.07392494217614262,0.08110758421292973,0.08000908564076857,0.07337262816565461,0.08026085527230277,0.08026085527230277,0.08026085527230277,0.4270719481401079,0.48732793362118926,0.5361778708252989,0.29676551656468647,0.28968312861395296,0.263201558976919,-0.03145070226720319,-0.04882682611806363,0.0014394307177891328,0.09508482768874112,0.05566649302731274,-0.02375036620895806,0.10682756787739928,0.19492056862293017,0.06418185088818755,0.014606010794649951,0.0718137031678515,0.047266356615106156
OvernightVsIntraday_{'N': 30},-0.09331520915520762,-0.032464790016348326,-0.09717890525856177,0.8255581321066581,1.0,0.8622770977199391,0.006744711761311809,0.011693554045991948,0.017196464030652427,-0.3165825234526625,-0.21729193321324675,-0.3839612116450962,-0.3165825234526625,-0.3839612116450962,-0.21729193321324675,0.13860209956092207,0.14195498258973302,0.1400007489699096,0.5555747489057077,0.511032521441041,0.4940919157048489,0.3432873815981365,0.34525815426519,0.3383150375468791,0.3846983417364994,0.3600504628264546,0.3956599016334059,0.35427169637005684,0.20232444119245208,0.2610186457229118,0.40167465900624627,0.3257689969796815,0.21772849643649822,0.32317554715634284,0.35307554455827517,0.3729636285407477,0.32445888525341626,0.2599739560866293,0.3927361205758544,0.3241501365946245,0.2596310246890665,0.39260502804285413,0.14260706749329208,0.14310457329191315,0.13749507600512217,0.1824245008883822,0.2536020021880498,0.1728415703025004,0.14313873676618702,0.14262693149575403,0.13860209956092207,0.14310457329191315,0.14260706749329208,0.13749507600512217,0.14357993550496242,0.14357993550496242,0.14357993550496242,0.5093971533568901,0.5516160425137419,0.4509592659422628,0.2670562279160625,0.24267604843702453,0.20570055115567532,-0.0783895475431395,-0.09668809187794998,-0.06784495523330082,0.10498335902756481,0.11784285147856881,-0.0708007550999806,0.10223167637313155,0.19801580557579898,0.052841448633504234,-0.0158232917641206,-0.008824094636473783,-0.007754479767479188
OvernightVsIntraday_{'N': 40},-0.09261469852132258,-0.03440609785340138,-0.11091717801236546,0.670785306947699,0.8622770977199391,1.0,0.007718580562810576,0.007320810069684603,0.004666954716845509,-0.24261679289270588,-0.20923297709434255,-0.292368618933376,-0.24261679289270588,-0.292368618933376,-0.20923297709434255,0.12491166882491914,0.12656052998125716,0.12504471683759041,0.44783750454941573,0.48357416272998177,0.4733499705922387,0.29768171836388935,0.3051006668912965,0.2978080509481678,0.328151572694154,0.3081617114844042,0.3280690717078373,0.3200569052114921,0.2378390719414603,0.2614855223256197,0.29857075977815456,0.22406925247769122,0.13300518070582049,0.2683251836521782,0.2935714264507025,0.29257450934502954,0.31673045937521377,0.24380234133358916,0.32662027189288073,0.3161546077460358,0.2434834152974078,0.32645640336123755,0.1262760207125973,0.1259917272879958,0.12315080386792497,0.18216263627345744,0.24512082091080314,0.17898673895699657,0.12630342077830214,0.12660416105142516,0.12491166882491914,0.1259917272879958,0.1262760207125973,0.12315080386792497,0.12546546058223942,0.12546546058223942,0.12546546058223942,0.5222981742599886,0.4742544552338099,0.33717741442804067,0.20852665386091399,0.1864633855351104,0.14721515455492784,-0.12505444911747116,-0.11781014073704683,-0.0804793076942347,0.10267434825828273,0.09293367958152382,-0.07902194471012773,0.09543955236526139,0.15479798062993458,0.04392339036068495,-0.00876467851009767,-0.04740218513317568,-0.009415935998192805
Skewness_{'N': 60},-0.011207627830278167,0.04417480799762868,-0.014702048383854843,0.04050002254597664,0.006744711761311809,0.007718580562810576,1.0,0.872047446617305,0.6938005820705472,-0.16677916492765305,-0.2770869264653689,-0.14133215675159555,-0.16677916492765305,-0.14133215675159555,-0.2770869264653689,0.0690334178759422,0.07195783468195849,0.07094224009110561,0.0709815306908015,0.042608118659709156,0.06878037438784065,0.2512403820205756,0.21407703967424374,0.2251657852287597,0.18671078503124683,0.2045502679583332,0.16411435219366213,0.17964347522474983,0.23733620556403354,0.21472610507358808,0.0830182310777822,0.06436516111880916,0.06184409931390826,0.20853089640084757,0.18773640035476533,0.17055008672368752,0.20286162474073388,0.23593546029816126,0.20062201924435794,0.20253692510071314,0.23590952989250966,0.20060613298071583,0.07084986229783577,0.07003251706525543,0.06898545860323191,0.6108309998573941,0.4943103182010068,0.6882593992008182,0.07043669102972486,0.07139731832154007,0.0690334178759422,0.07003251706525543,0.07084986229783577,0.06898545860323191,0.06780766626251739,0.06780766626251739,0.06780766626251739,0.03532880388652805,0.059895799809754985,0.09726583529142727,0.14561021325778145,0.16254608419810365,0.14230190504332382,-0.022751330332090716,-0.0050544141756731055,-0.05625839567510449,0.13435390862273236,0.05870090730396712,0.007191375348332918,0.3338096235177788,0.3111811463961071,0.3938044628134972,-0.048213052154309155,0.03631402770391473,-0.013364391254692437
Skewness_{'N': 50},-0.04528265271104624,0.04361020350604865,-0.022980417427261278,0.014988113257864248,0.011693554045991948,0.007320810069684603,0.872047446617305,1.0,0.8423618524660127,-0.1879188053678272,-0.29717242224144635,-0.16676539738673504,-0.1879188053678272,-0.16676539738673504,-0.29717242224144635,0.11688329730922022,0.12127849376491541,0.11984187317117069,0.08168449324814404,0.06594740665984021,0.09109203908457553,0.24509628296012215,0.19825167019187248,0.21018076403864988,0.233193410768221,0.24406427473235023,0.20234728854420164,0.2196709908894514,0.2856443993158562,0.2528296544281415,0.1121970947567361,0.04892299963222655,0.029545524254805066,0.24899419210340698,0.23261666728833275,0.20709207053956077,0.2593839753645677,0.2914033920863151,0.23818927337313806,0.25902298180158945,0.2912189827794818,0.23822304090237456,0.11944161247331378,0.11841837490568202,0.11701745449588358,0.7088839488312169,0.6036208754882246,0.660917848940105,0.11883384519624017,0.12009739557423056,0.11688329730922022,0.11841837490568202,0.11944161247331378,0.11701745449588358,0.11684618073017791,0.11684618073017791,0.11684618073017791,0.06705783326821375,0.07913228161052933,0.10701930208624207,0.1866285508978888,0.21199884713634778,0.19670893211598706,-0.03803001018682249,-0.018404606065245455,-0.08448443562383873,0.15538007330078657,0.0901871305646273,-0.02195568075136836,0.4264878131146924,0.38545940999165373,0.46431846199656146,-0.0363467261417911,-0.0037918743829859908,-0.029831412875583278
Skewness_{'N': 40},-0.033670372752626035,0.05558705008189808,0.006415883511093725,0.011277711489244916,0.017196464030652427,0.004666954716845509,0.6938005820705472,0.8423618524660127,1.0,-0.20493607782693188,-0.28618513408110346,-0.20643561258535512,-0.20493607782693188,-0.20643561258535512,-0.28618513408110346,0.1099318274147915,0.11484518931019776,0.11253226834430893,0.09483265214363026,0.08524503145491248,0.08644998553830402,0.22657613165670276,0.17858526831802907,0.19316417181933235,0.2832068401408281,0.2811888834044411,0.2623615921346761,0.29562325342242535,0.3054479126871081,0.2811130937701643,0.16798387373500392,0.06341161890096278,0.021185256654354303,0.2880295626213685,0.28519202299863394,0.26387877157336614,0.3236012966061477,0.29659552660094163,0.3019796162177372,0.3232035267740663,0.2964144306882396,0.3019494006049095,0.11406623834581466,0.11383624057268374,0.11050175798530688,0.6465736079130501,0.7019564101155906,0.584848349130327,0.1141952917768865,0.11440528018141415,0.1099318274147915,0.11383624057268374,0.11406623834581466,0.11050175798530688,0.11413006888963272,0.11413006888963272,0.11413006888963272,0.09756289724721506,0.09830948839514644,0.116165591157852,0.16479449357171483,0.18877159693794468,0.1796967293142781,-0.01693596963081871,0.0008709452666770764,-0.08547969547911494,0.14823643829684152,0.08397245238445877,-0.014026525554902518,0.45890028765554314,0.4524571707079674,0.42865871073241824,-0.02268984752481777,-0.029088380333232643,-0.02754291092690968
NoiseFader_{'N': 10},0.04016204991632891,-0.012779618475080683,0.047705010596627566,-0.41968138477819267,-0.3165825234526625,-0.24261679289270588,-0.16677916492765305,-0.1879188053678272,-0.20493607782693188,1.0,0.5629620190851949,0.8338769909803343,1.0,0.8338769909803343,0.5629620190851949,-0.10645454637963102,-0.1040465081747606,-0.10390658182211561,-0.575764081084955,-0.5206782261756662,-0.47924678268457405,-0.7596243949514478,-0.7602253424277667,-0.7787354462608499,-0.7605365078596181,-0.7288758758296049,-0.8021619364740187,-0.559361725241304,-0.43299187372541437,-0.5056720859338513,-0.713497959654858,-0.7757261566060556,-0.7588910215056605,-0.738878176986146,-0.7791795504972007,-0.8301107820870574,-0.6577333167800257,-0.6128826930669277,-0.7238335913117168,-0.6582019974953747,-0.6128057087830926,-0.7236765417605117,-0.10486005976950394,-0.10562731495186163,-0.10668331965574362,-0.47953105018061687,-0.5226163937797675,-0.4249243436303597,-0.10579798255942323,-0.10497847049048244,-0.10645454637963102,-0.10562731495186163,-0.10486005976950394,-0.10668331965574362,-0.10099207424710484,-0.10099207424710484,-0.10099207424710484,-0.4518321255810216,-0.5202433122324164,-0.6197122036868632,-0.48871593444850714,-0.5537789380700897,-0.5759608701404991,0.0558214376414248,0.09821857874019074,0.09527619340963589,-0.0864121432670898,-0.0706658863404459,-0.04061187043149288,-0.30278706143448836,-0.35930339833082714,-0.25448070092746833,-0.0020891283353258626,0.0035267268644806875,0.032394095257683886
