Factor,Parameters,Mode,SharpRatio,POT
BollingerBands,{'N': 10},RAW,-0.0046,-0.1031
BollingerBands,{'N': 10},STATE_MACHINE,-0.0046,-0.1031
BollingerBands,{'N': 20},RAW,-0.0277,-0.7389
BollingerBands,{'N': 20},STATE_MACHINE,-0.0277,-0.7389
BollingerBands,{'N': 30},RAW,0.0607,1.9345
BollingerBands,{'N': 30},STATE_MACHINE,0.0607,1.9345
BollingerBands,{'N': 40},RAW,0.1047,3.7576
BollingerBands,{'N': 40},STATE_MACHINE,0.1047,3.7576
BollingerBands,{'N': 50},RAW,0.1874,7.5579
BollingerBands,{'N': 50},STATE_MACHINE,0.1874,7.5579
BollingerBands,{'N': 60},RAW,0.2138,9.4115
BollingerBands,{'N': 60},STATE_MACHINE,0.2138,9.4115
