trade_date,ZN.SHF,PB.SHF,NI.SHF,SN.SHF,AO.SHF,AD.SHF
20100104,0.0,,,,,
20100105,0.0,,,,,
20100106,0.0,,,,,
20100107,0.0,,,,,
20100108,0.0,,,,,
20100111,0.0,,,,,
20100112,0.0,,,,,
20100113,0.0,,,,,
20100114,0.0,,,,,
20100115,0.0,,,,,
20100118,0.0,,,,,
20100119,0.0,,,,,
20100120,0.0,,,,,
20100121,0.0,,,,,
20100122,0.0,,,,,
20100125,0.0,,,,,
20100126,0.0,,,,,
20100127,0.0,,,,,
20100128,0.0,,,,,
20100129,0.0,,,,,
20100201,0.0,,,,,
20100202,0.0,,,,,
20100203,0.0,,,,,
20100204,0.0,,,,,
20100205,0.0,,,,,
20100208,0.0,,,,,
20100209,0.0,,,,,
20100210,0.0,,,,,
20100211,0.0,,,,,
20100212,-6.873468574779339,,,,,
20100222,-12.258919814344857,,,,,
20100223,-16.802396294473617,,,,,
20100224,-20.462840615196264,,,,,
20100225,-23.461491026311172,,,,,
20100226,-26.38536392863897,,,,,
20100301,-28.652344737766185,,,,,
20100302,-30.396634975689242,,,,,
20100303,-31.78075068882001,,,,,
20100304,-33.53341196897127,,,,,
20100305,-35.96879381548267,,,,,
20100308,-21.262683383965005,,,,,
20100309,-9.230783462474019,,,,,
20100310,1.6369263363063227,,,,,
20100311,10.576827803936721,,,,,
20100312,18.702048696024356,,,,,
20100315,24.548016794890657,,,,,
20100316,29.324478730314034,,,,,
20100317,33.304519877692165,,,,,
20100318,36.62044231020547,,,,,
20100319,39.359777865493115,,,,,
20100322,41.77257079011156,,,,,
20100323,43.74942791764306,,,,,
20100324,25.954292658885556,,,,,
20100325,11.373005679800986,,,,,
20100326,19.075576030758995,,,,,
20100329,25.417115416265332,,,,,
20100330,32.041502072859494,,,,,
20100331,37.475924765288106,,,,,
20100401,41.42260136671352,,,,,
20100402,44.76806047154827,,,,,
20100406,48.748876554461056,,,,,
20100407,52.09753725105911,,,,,
20100408,54.25380706085271,,,,,
20100409,56.77562599188057,,,,,
20100412,58.90817469938472,,,,,
20100413,62.1751268901529,,,,,
20100414,64.92228686405836,,,,,
20100415,67.85054861895033,,,,,
20100416,70.84043842893337,,,,,
