trade_date,{'N': 10},{'N': 20},{'N': 30},{'N': 40},{'N': 50},{'N': 60}
20100104,0.0,0.0,0.0,0.0,0.0,0.0
20100105,0.0,0.0,0.0,0.0,0.0,0.0
20100106,0.0,0.0,0.0,0.0,0.0,0.0
20100107,0.0,0.0,0.0,0.0,0.0,0.0
20100108,0.0,0.0,0.0,0.0,0.0,0.0
20100111,0.0,0.0,0.0,0.0,0.0,0.0
20100112,0.0,0.0,0.0,0.0,0.0,0.0
20100113,0.0,0.0,0.0,0.0,0.0,0.0
20100114,0.0,0.0,0.0,0.0,0.0,0.0
20100115,0.0,0.0,0.0,0.0,0.0,0.0
20100118,0.0,0.0,0.0,0.0,0.0,0.0
20100119,-0.03391275066667135,0.0,0.0,0.0,0.0,0.0
20100120,0.004281624691510074,0.0,0.0,0.0,0.0,0.0
20100121,-0.0008723648845523533,0.0,0.0,0.0,0.0,0.0
20100122,-0.07445316180975153,0.0,0.0,0.0,0.0,0.0
20100125,0.008342533765068362,0.0,0.0,0.0,0.0,0.0
20100126,-0.1303465253780956,0.0,0.0,0.0,0.0,0.0
20100127,0.01435098867724549,0.0,0.0,0.0,0.0,0.0
20100128,-0.13708439844916998,0.0,0.0,0.0,0.0,0.0
20100129,-0.2048927548325461,0.0,0.0,0.0,0.0,0.0
20100201,-0.01872055360153911,0.0,0.0,0.0,0.0,0.0
20100202,-0.00793481427006988,0.010054084039051052,0.0,0.0,0.0,0.0
20100203,-0.11953408035487231,-0.13896726560249373,0.0,0.0,0.0,0.0
20100204,0.08720544420799459,0.07809780714776866,0.0,0.0,0.0,0.0
20100205,0.11725596791355995,0.09436877516689741,0.0,0.0,0.0,0.0
20100208,-0.007949622079511533,-0.00593455501524914,0.0,0.0,0.0,0.0
20100209,-0.029711116516288102,-0.016344478452795488,0.0,0.0,0.0,0.0
20100210,-0.07351899979911514,-0.03221998519666716,0.0,0.0,0.0,0.0
20100211,-0.06981972393913545,-0.037124982842089864,0.0,0.0,0.0,0.0
20100212,-0.07345966540357278,-0.030195529666749866,0.0,0.0,0.0,0.0
20100222,-0.07214698323475761,-0.07185747506198534,0.0,0.0,0.0,0.0
20100223,0.0006632608907408242,0.010969774276581164,0.003511927820875068,0.0,0.0,0.0
