trade_date,AU.SHF,AG.SHF
20100104,0.0,
20100105,0.0,
20100106,0.0,
20100107,0.0,
20100108,0.0,
20100111,0.0,
20100112,0.0,
20100113,0.0,
20100114,0.0,
20100115,0.0,
20100118,0.0,
20100119,0.0,
20100120,0.0,
20100121,0.0,
20100122,0.0,
20100125,0.0,
20100126,0.0,
20100127,0.0,
20100128,0.0,
20100129,0.0,
20100201,0.0,
20100202,0.0,
20100203,0.0,
20100204,0.0,
20100205,0.0,
20100208,0.0,
20100209,0.0,
20100210,0.0,
20100211,0.0,
20100212,0.0,
20100222,0.0,
20100223,0.0,
20100224,0.0,
20100225,0.0,
20100226,0.0,
20100301,0.0,
20100302,0.0,
20100303,0.0,
20100304,0.0,
20100305,0.0,
20100308,4.36851716657768e-06,
20100309,8.09799083272265e-06,
20100310,1.1237097431178501e-05,
20100311,1.391100718967698e-05,
20100312,1.7651734034652442e-05,
20100315,2.0515829447885727e-05,
20100316,2.299433060411086e-05,
20100317,2.4880756458523516e-05,
20100318,2.6371986742998754e-05,
20100319,2.761556131553771e-05,
20100322,2.9536372182320624e-05,
20100323,3.112877936195893e-05,
20100324,3.2549603634155975e-05,
20100325,3.385107955543616e-05,
20100326,3.534656613683822e-05,
20100329,3.652861978250534e-05,
20100330,3.742949988262785e-05,
20100331,3.924673488364049e-05,
20100401,4.0649688120110084e-05,
20100402,4.1604471290148356e-05,
20100406,4.2502196817697266e-05,
20100407,4.365613936062116e-05,
20100408,4.450880353585435e-05,
20100409,4.595640019233516e-05,
20100412,4.6788070444436295e-05,
20100413,4.756183833748083e-05,
20100414,4.800994678702022e-05,
20100415,4.9180075296502506e-05,
20100416,5.036081446382783e-05,
20100419,4.984044989334614e-05,
20100420,4.965203087245642e-05,
20100421,4.9500099002998356e-05,
20100422,4.9100230128393766e-05,
20100423,4.8975676560356544e-05,
20100426,4.834006171568511e-05,
20100427,4.786102264106339e-05,
20100428,4.745891044916179e-05,
20100429,4.7004299555887825e-05,
20100430,4.669596445143725e-05,
20100504,4.656962188931909e-05,
20100505,4.633595251712621e-05,
20100506,4.599171437777963e-05,
20100507,4.443727667809009e-05,
20100510,4.2837815738674136e-05,
20100511,4.144933647871165e-05,
