,Kurtosis_{'N': 30},Kurtosis_{'N': 40},Kurtosis_{'N': 50},OvernightVsIntraday_{'N': 30},OvernightVsIntraday_{'N': 20},OvernightVsIntraday_{'N': 10},Skewness_{'N': 30},Skewness_{'N': 50},Skewness_{'N': 40},NoiseFader_{'N': 20},NoiseFader_{'N': 60},NoiseFader_{'N': 50},ShortTermReversal_{'N': 10},ShortTermReversal_{'N': 20},ShortTermReversal_{'N': 60},AmihudIlliquidity_{'N': 10},AmihudIlliquidity_{'N': 20},AmihudIlliquidity_{'N': 30},BuyingSellingPressure_{'N': 50},BuyingSellingPressure_{'N': 40},BuyingSellingPressure_{'N': 60},BollingerBands_{'N': 40},BollingerBands_{'N': 60},BollingerBands_{'N': 30},DonchianChannel_{'N': 50},DonchianChannel_{'N': 40},DonchianChannel_{'N': 60},"DualMACrossover_{'fast_n': 20, 'slow_n': 40}","DualMACrossover_{'fast_n': 20, 'slow_n': 60}","DualMACrossover_{'fast_n': 30, 'slow_n': 60}","MACD_{'fast_n': 24, 'slow_n': 52, 'signal_n': 18}","MACD_{'fast_n': 19, 'slow_n': 39, 'signal_n': 9}","MACD_{'fast_n': 12, 'slow_n': 26, 'signal_n': 9}",MovingAverageBias_{'N': 60},MovingAverageBias_{'N': 50},MovingAverageBias_{'N': 40},RSI_{'N': 40},RSI_{'N': 50},RSI_{'N': 30},TimeSeriesMomentum_{'N': 30},TimeSeriesMomentum_{'N': 40},TimeSeriesMomentum_{'N': 50},ATR_{'N': 10},ATR_{'N': 20},ATR_{'N': 30},DownsideUpsideVolatility_{'N': 30},DownsideUpsideVolatility_{'N': 40},DownsideUpsideVolatility_{'N': 50},HistoricalVolatility_{'N': 10},HistoricalVolatility_{'N': 20},HistoricalVolatility_{'N': 50},IntradayAmplitude_{'N': 10},IntradayAmplitude_{'N': 20},IntradayAmplitude_{'N': 50},VIXFix_{'N': 10},VIXFix_{'N': 20},VIXFix_{'N': 30},CMF_{'N': 40},CMF_{'N': 30},CMF_{'N': 50},OBV_{'N': 60},OBV_{'N': 20},OBV_{'N': 40},OpenInterestROC_{'N': 10},OpenInterestROC_{'N': 20},OpenInterestROC_{'N': 40},PriceOiDivergence_{'N': 10},PriceOiDivergence_{'N': 50},PriceOiDivergence_{'N': 20},PriceVolumeCorrelation_{'N': 20},PriceVolumeCorrelation_{'N': 10},PriceVolumeCorrelation_{'N': 30},VolumeMomentum_{'N': 10},VolumeMomentum_{'N': 20},VolumeMomentum_{'N': 40}
Kurtosis_{'N': 30},1.0,0.8877384571451048,0.8124788691857149,-0.04674641569184005,-0.08048014890957354,-0.06879644597402905,0.11729703912695791,0.16998731194530983,0.1490160975977918,0.025370258921583393,-0.05255956824482355,-0.06619911615817263,0.05933813547269442,0.025370258921583393,-0.05255956824482355,-0.6750610088943215,-0.6754102811671245,-0.6755942543893507,-0.26680380171583495,-0.2120338359835024,-0.2669352190507978,-0.0998353445863906,-0.14063504627428475,-0.0473399021100177,0.06910736894830546,0.07709110537887241,0.05276964492670713,0.12991065244628078,0.0922790695932795,0.09688556737234076,-0.008635760772994336,-0.11139594159282816,-0.15324984290215074,0.060034045287384215,0.06212442250308624,0.04637292654350225,0.08562116320982416,0.06654263049401603,0.08501505103458931,0.08317213160407683,0.08509646132700711,0.06619911615817263,-0.6750437647021429,-0.6753788450326216,-0.6755888626493451,0.10755038677316073,0.15759282511866193,0.16264474212353836,-0.6750610088943215,-0.6754102811671245,-0.675303833316894,-0.6750437647021429,-0.6753788450326216,-0.6753325647401471,-0.6751383851584998,-0.6751723494326015,-0.6751723494326015,-0.11791546949151664,-0.09142004556776974,-0.17966874984268819,-0.11761429454061137,-0.11785501418560795,-0.16179562917279397,0.06367344452593465,0.1772164820144359,0.30666676856723213,-0.18835442514187942,-0.30414498562763925,-0.13324433924433204,0.009592745447561325,-0.06629579113567417,0.03339981966729307,0.056295461332226876,0.16927739679140294,0.3821576056745859
Kurtosis_{'N': 40},0.8877384571451048,1.0,0.9327150697834536,-0.0782102378943049,-0.11435248618204708,-0.09452267670977119,0.07891658254445079,0.08019165463365391,0.0809280763648235,0.02724765266877591,-0.02975462569769393,-0.02822535769305554,0.0680466473153119,0.02724765266877591,-0.02975462569769393,-0.753838736735505,-0.7546965948789595,-0.7550121886257567,-0.2890993798904568,-0.24513678761970628,-0.2847394802827673,-0.1413086492466243,-0.1842384299516902,-0.08757095045808763,0.05255381198043118,0.06824322825491234,0.03432017084224504,0.09698591198334948,0.051772088906668824,0.03731629695519302,-0.02207646973363772,-0.10832457875672677,-0.1353399811941173,0.039783342599750485,0.044352500351127026,0.033608745058959076,0.050282662479781366,0.028646630916308945,0.06644122660095428,0.06478165833817291,0.050074926935473926,0.02822535769305554,-0.7537778769687499,-0.7546325552926523,-0.7549966609461906,0.09780377732891474,0.0996241558378288,0.07935016184759114,-0.753838736735505,-0.7546965948789595,-0.7548096062710943,-0.7537778769687499,-0.7546325552926523,-0.7548613931521921,-0.7535376183715046,-0.7535467265697973,-0.7535467265697973,-0.15468828632961062,-0.12207150543441425,-0.2106952908048998,-0.18012485500058809,-0.15038440273153572,-0.2117026003856343,0.055441373082901126,0.15353252106553011,0.29394560364052325,-0.23147204410667005,-0.36486880256032966,-0.16342678555530074,0.003077114200262865,-0.04791832179469276,0.010076872365031768,0.08542295162224076,0.1996678694505329,0.4228797891493866
Kurtosis_{'N': 50},0.8124788691857149,0.9327150697834536,1.0,-0.09706635034965848,-0.13720695672697003,-0.10735281482200396,0.07635869398084633,0.07337111577748243,0.08554874824284471,0.08308070923450221,0.030675847570131407,0.02065296904787338,0.11762920556892227,0.08308070923450221,0.030675847570131407,-0.8131725448895567,-0.8144242299898798,-0.8148475909432852,-0.3371182870921285,-0.28737347856905393,-0.34217484626024625,-0.17958444227938158,-0.2170411837652094,-0.12149404861409017,-0.003369355413808572,0.012810655483268974,-0.01939696161251496,0.0426904772026769,0.001784751314008086,-0.008348665421682892,-0.05129280250995943,-0.12659353686547276,-0.1524346446486212,-0.021849256639425413,-0.01821641113745855,-0.02805169357985255,-0.005746565261307549,-0.020269962289414276,0.006063976301188357,0.004513830590861862,-0.005819622041774051,-0.02065296904787338,-0.8130744920393563,-0.8143367752047836,-0.8148213571015941,0.05755718997020683,0.0719938165929889,0.052254764528764854,-0.8131725448895567,-0.8144242299898798,-0.8151350233934276,-0.8130744920393563,-0.8143367752047836,-0.8151245910773045,-0.8122523475613795,-0.8122541285409542,-0.8122541285409542,-0.2047407038391328,-0.1692130495748967,-0.26552739504635825,-0.18963195000359537,-0.1439418758413391,-0.2051530768530991,0.07150454061274915,0.15390774771905807,0.3083994706367058,-0.25492973216270104,-0.3847073940107203,-0.194102461171034,-0.036138523816923424,-0.07177586169233116,-0.020242878183929763,0.13396880184009882,0.24261045770338574,0.48769443513642396
OvernightVsIntraday_{'N': 30},-0.04674641569184005,-0.0782102378943049,-0.09706635034965848,1.0,0.8253085031856938,0.6443794594307615,0.10709826788164777,0.04883462368089442,0.08576161787890604,-0.23542335997466315,-0.11545481354659422,-0.1667961481545478,-0.24659248509824186,-0.23542335997466315,-0.11545481354659422,0.12445218477807049,0.12481712673522694,0.1251296886925953,0.3787408042856689,0.39437059537278585,0.3142566604099196,0.2808190937523825,0.29578685128643545,0.2422104474096591,0.20303563942214786,0.24194094030696092,0.17077967253536472,0.2411417929710934,0.13727698144706527,0.12090078344107244,0.24626479085708225,0.24866781670431648,0.22971086555713177,0.1888456860419872,0.22020716978836255,0.2475748789201185,0.19304834761290024,0.1668376585979758,0.24582012858360067,0.24474953732573093,0.19172174431086378,0.1667961481545478,0.1244211706647875,0.12476585440415194,0.12509635591105173,0.18693039115169197,0.16438369794797636,0.14290298347369795,0.12445218477807049,0.12481712673522694,0.12444666425567093,0.1244211706647875,0.12476585440415194,0.12454328365613451,0.12369615061649161,0.12372378045945329,0.12372378045945329,0.47388396100532393,0.49368069190764474,0.4396017858595312,-0.03866460364001243,0.05996523986533192,-0.0018267046809150385,0.009484805609642972,-0.02006788024937672,0.12630441498248562,0.09213671000226033,0.09216877919062147,-0.017126094057746705,0.23078473627358112,0.1754997402584906,0.22953516082914122,-0.06958127733457815,-0.12919787114731324,-0.04881553312310225
OvernightVsIntraday_{'N': 20},-0.08048014890957354,-0.11435248618204708,-0.13720695672697003,0.8253085031856938,1.0,0.7848809917737617,0.1755725803632426,0.14843494567951313,0.16124511174916747,-0.24777879134685354,-0.13425133925913796,-0.1671717882680691,-0.29317944902278487,-0.24777879134685354,-0.13425133925913796,0.1700100255518841,0.17037672800448367,0.17015819447077762,0.31562328103462167,0.3515793544952166,0.2586912685143914,0.3050794870290664,0.3228867147460037,0.3017558146372634,0.2117044914916616,0.2540575672593541,0.18300473092504893,0.2293424631850414,0.12773322283592628,0.1263900121001492,0.22142190479086626,0.2546588900773764,0.2800217271253429,0.18852537481674556,0.22107447625703147,0.2573726870157674,0.2112147663724068,0.16726861843168928,0.23565912213274948,0.23471846922069362,0.20994099397666266,0.1671717882680691,0.16996551322590026,0.17034271598282344,0.17025634716310697,0.22183530838550558,0.22482937070832112,0.20979139947512135,0.1700100255518841,0.17037672800448367,0.1695635293086696,0.16996551322590026,0.17034271598282344,0.16962378520549606,0.16836998548226303,0.16839519227524086,0.16839519227524086,0.4283175935122686,0.46854310999656545,0.3605833224424016,-0.01104799849561065,0.05889539476573946,0.013999672756817298,0.07355640637398679,0.05560697456852552,0.06855354634477907,0.08475946963660169,0.13050144235723804,-0.05484354037296141,0.29991574664533366,0.3167119081112672,0.23418439353751946,-0.03446332605605724,-0.08133414137493022,-0.059427578046845606
OvernightVsIntraday_{'N': 10},-0.06879644597402905,-0.09452267670977119,-0.10735281482200396,0.6443794594307615,0.7848809917737617,1.0,0.11554517962496266,0.0697606861177465,0.07861785934135368,-0.20452919204179185,-0.12239447475772738,-0.13829388949714258,-0.3071860060002576,-0.20452919204179185,-0.12239447475772738,0.13764003903281277,0.13705439114106582,0.13691923381130552,0.3173539355267219,0.3514280950692662,0.26638020664251727,0.31312335610202846,0.322016421325218,0.3064651172758106,0.19230408687315967,0.23483897232965645,0.17669823239323648,0.20371801990862604,0.10435369400445813,0.08917496496198019,0.17229527806689426,0.2271192278236427,0.2931978105328557,0.169252947694618,0.19450284256800968,0.23629158742021103,0.1728774954323849,0.1384349476492643,0.2188793097334009,0.2190825608049609,0.17131460116169528,0.13829388949714258,0.13763336137502316,0.1371319149776659,0.13693575195389318,0.17035714700582413,0.16597125829486017,0.15550106051379328,0.13764003903281277,0.13705439114106582,0.13626653119576687,0.13763336137502316,0.1371319149776659,0.13631429685112803,0.13617544604934012,0.1361590345733046,0.1361590345733046,0.3914522589542431,0.4498718218135657,0.3302886884825412,-0.07439287955556842,0.025710096417469155,-0.04447412105972952,0.08221327172164682,0.06327146933998326,0.015843909331717407,0.058530035862049704,0.12755394326888284,-0.06499029508972241,0.2451333431029817,0.3180042754393609,0.1480096505176219,0.015928366273819376,-0.05217508687108927,-0.07264752750003226
Skewness_{'N': 30},0.11729703912695791,0.07891658254445079,0.07635869398084633,0.10709826788164777,0.1755725803632426,0.11554517962496266,1.0,0.7024654606109326,0.836284090770325,-0.32065312440008964,-0.3427968775318307,-0.365671958127086,-0.27624545283657814,-0.32065312440008964,-0.3427968775318307,-0.0656005381724021,-0.06519292961994998,-0.06529451137563956,-0.07062230679314306,0.02602374986121171,-0.06462119404695164,0.3185111614294791,0.3417337592191633,0.3631858109355442,0.42869715981361106,0.4442237616577986,0.4285118997315932,0.465025728632776,0.3888389036220514,0.3532074759365831,0.3553053859999946,0.19653619145539128,0.10182370479513554,0.4169038068248869,0.4164877002494597,0.40974447799709085,0.41225096816864704,0.36573191089266266,0.4561926213457093,0.4555584085415302,0.4124239439878703,0.365671958127086,-0.06564856670304961,-0.06518219926518778,-0.06528745600346368,0.7852111369525039,0.6978136257169332,0.6082992354964855,-0.0656005381724021,-0.06519292961994998,-0.06432243648208164,-0.06564856670304961,-0.06518219926518778,-0.06442116893131639,-0.0671189576714463,-0.06713570455825899,-0.06713570455825899,0.11397249755835216,0.15346127361840248,0.037926011868263075,-0.037525532077854855,-0.022318233765328443,-0.0436320400877703,0.1968932002594286,0.18499334924564104,0.040187065557860155,0.1480482430063483,0.033368521472130826,0.01155678669582402,0.34487594864201687,0.22041495405347106,0.40702177706413345,0.11420421116776584,0.17391263729785958,0.07050229540291757
Skewness_{'N': 50},0.16998731194530983,0.08019165463365391,0.07337111577748243,0.04883462368089442,0.14843494567951313,0.0697606861177465,0.7024654606109326,1.0,0.8891366695520483,-0.257376599992301,-0.39314907049692205,-0.4164512114237426,-0.23958727320861056,-0.257376599992301,-0.39314907049692205,-0.0400523293698114,-0.0396666575451607,-0.0399349409229901,-0.03392400231212148,0.02479618322439164,-0.044183495210493924,0.29910102993078,0.3033919707117274,0.35134401966607415,0.38474221282003934,0.3599171434065098,0.41092662183026324,0.37755735640539406,0.41426266425067043,0.44129250105029205,0.199842043109572,0.07083580732045269,0.02678735926077655,0.39753332962054583,0.36846568974043215,0.33475510067792147,0.4254160948724422,0.4166507151967279,0.36050643888303047,0.3593934239305987,0.425410692922902,0.4164512114237426,-0.04009865724479647,-0.039654328962516944,-0.039888347188197754,0.5884881164897819,0.746986186921741,0.8073911546410072,-0.0400523293698114,-0.0396666575451607,-0.040210890936943126,-0.04009865724479647,-0.039654328962516944,-0.04021998466728652,-0.041600133344850736,-0.04153445263461236,-0.04153445263461236,0.10124988421340743,0.09347538546389511,0.06563373949950899,-0.021365301269635505,-0.04748589281643692,-0.046839616160823896,0.19965812845051986,0.19434904760451774,0.045041289414591616,0.15871775419644787,0.055538012156248165,0.041517299229592346,0.31229744312294383,0.19902909155828125,0.3544397755714239,0.0920935364076774,0.1276063576906255,0.038765264330101475
Skewness_{'N': 40},0.1490160975977918,0.0809280763648235,0.08554874824284471,0.08576161787890604,0.16124511174916747,0.07861785934135368,0.836284090770325,0.8891366695520483,1.0,-0.25293289664900026,-0.3536158609428836,-0.39590787646380954,-0.25001265916501103,-0.25293289664900026,-0.3536158609428836,-0.06168387065281012,-0.06131844695290637,-0.06159181704821975,-0.06321330703568828,0.013980228543294842,-0.0749932589658952,0.3035798905851764,0.33197417292772696,0.344293220918041,0.39956542770213915,0.3938710731413985,0.4070903151343867,0.41892111689814737,0.41093591882712854,0.4207177050710631,0.27488946873745035,0.12187177612430104,0.04909589613211637,0.39886383485811433,0.38204125544783807,0.35295579501778823,0.4370349431780709,0.3960978442429174,0.3920552128799316,0.39095537752767867,0.43700280897966837,0.39590787646380954,-0.06172884663602939,-0.061303659421475865,-0.06154622380167956,0.6728709066445261,0.8001607050570124,0.7291539966173208,-0.06168387065281012,-0.06131844695290637,-0.061390971872175834,-0.06172884663602939,-0.061303659421475865,-0.06144480397613906,-0.06315525720404104,-0.06313837250476911,-0.06313837250476911,0.11221544090638631,0.11576705007691891,0.05113424514361295,-7.650633182136057e-05,0.005820220664052267,-0.015241354687800168,0.2297903942819347,0.21516395757252793,0.05500462985245773,0.15266612387529332,0.05024140880543821,0.02919906745744625,0.29499988420447393,0.1787598897611905,0.37008780527525825,0.10736174277444684,0.1475705508587603,0.06592315122160639
NoiseFader_{'N': 20},0.025370258921583393,0.02724765266877591,0.08308070923450221,-0.23542335997466315,-0.24777879134685354,-0.20452919204179185,-0.32065312440008964,-0.257376599992301,-0.25293289664900026,1.0,0.5962785347489158,0.6380445275897754,0.7967208347805503,1.0,0.5962785347489158,-0.15885112337866292,-0.15974020939165767,-0.15998705947279793,-0.41143863954895366,-0.48311412212752824,-0.4256442496233623,-0.7333990251056585,-0.7055196911470477,-0.7196332150476449,-0.8214059374408691,-0.8762906960802153,-0.7767520474887141,-0.7061683319495339,-0.581301198547386,-0.4782502446664263,-0.7988192149674908,-0.7512170922289041,-0.6405828641998084,-0.7917536671915503,-0.8396915560626568,-0.9064307217601579,-0.6828592847859811,-0.6380983235142753,-0.819552250472778,-0.8200516887188841,-0.6830311415990538,-0.6380445275897754,-0.15878012095042138,-0.1596747885869486,-0.15999771370535418,-0.6626689500813394,-0.5308730381839065,-0.47523954519447414,-0.15885112337866292,-0.15974020939165767,-0.1601093842756607,-0.15878012095042138,-0.1596747885869486,-0.160096785232186,-0.15702082434982736,-0.1569979311158459,-0.1569979311158459,-0.5436760386908833,-0.5788710817641939,-0.48896811165191273,-0.034995143418143734,-0.06244529143192159,-0.061637666432749066,-0.0854956463646807,-0.027257022877551135,0.05089985207141575,-0.24918754447222108,-0.06442349745367718,-0.007300008737641836,-0.6096280771633569,-0.5113230080097015,-0.5184784130123438,-0.10370083683890244,-0.0465874966317935,0.13353929876376536
