trade_date,AU.SHF,AG.SHF
20100104,0.0,
20100105,0.0,
20100106,37.24655395226701,
20100107,-11.805268036989839,
20100108,-28.692601263414957,
20100111,-35.95529896138654,
20100112,-41.66583980373023,
20100113,-43.5354267746815,
20100114,-45.68239607642842,
20100115,-47.94655503934508,
20100118,-50.30798800493901,
20100119,-52.75993276218487,
20100120,-55.16489401408508,
20100121,-57.16025306571173,
20100122,-33.49446887233156,
20100125,-14.428949961582054,
20100126,1.0570481309190467,
20100127,-12.141707574648468,
20100128,3.2810658231835714,
20100129,-10.66288137111684,
20100201,-22.299139888252988,
20100202,-32.63724633478916,
20100203,-12.369994965983246,
20100204,-24.252642981984867,
20100205,-7.770206273395821,
20100208,-19.984739645704735,
20100209,-2.8792228670004922,
20100210,11.943111290039349,
20100211,24.30316698649869,
20100212,34.15691952014534,
20100222,40.81371583836869,
20100223,46.24644098108401,
20100224,50.602898301712536,
20100225,54.1965301984462,
20100226,57.301437017101314,
20100301,59.9013013428015,
20100302,62.195533319430815,
20100303,63.582348433703714,
20100304,39.135194015071214,
20100305,18.934376798414956,
20100308,28.57629253953259,
20100309,36.70778769491033,
20100310,43.50836962499458,
20100311,48.8291864370146,
20100312,57.49577440543948,
20100315,64.24076588297,
20100316,69.80557703513895,
20100317,73.71669598683643,
20100318,76.66841889875587,
20100319,79.22279203330511,
20100322,82.89472884960405,
20100323,85.96125609369352,
20100324,88.79178648461198,
20100325,91.3835397237784,
20100326,94.7718594487605,
20100329,97.25170845332615,
20100330,99.26707221374187,
20100331,103.41708796396559,
20100401,106.735594707752,
20100402,108.7452696830224,
20100406,110.40046885570314,
20100407,112.97496708021893,
20100408,115.07274748130732,
20100409,118.73259687931106,
20100412,121.46675023284968,
20100413,123.64046764218823,
20100414,76.74266021165657,
20100415,35.65348825797062,
20100416,1.174156236597693,
20100419,-22.53933912739349,
20100420,-44.55888965323584,
20100421,-62.419464167485856,
20100422,-77.21172296906636,
20100423,-90.24956131258816,
20100426,-98.60121621234245,
20100427,-105.59839319453516,
20100428,-110.61309886640034,
20100429,-115.25176297033777,
20100430,-118.89382838688908,
20100504,-122.33094231479677,
20100505,-124.61059703960204,
20100506,-126.94368494647149,
