trade_date,AU.SHF,AG.SHF
20100104,0.0,
20100105,0.0,
20100106,0.0,
20100107,0.0,
20100108,0.0,
20100111,0.0,
20100112,0.0,
20100113,0.0,
20100114,0.0,
20100115,0.0,
20100118,0.0,
20100119,0.0,
20100120,0.0,
20100121,0.0,
20100122,0.0,
20100125,0.0,
20100126,0.0,
20100127,0.0,
20100128,0.0,
20100129,0.0,
20100201,0.0,
20100202,0.0,
20100203,0.0,
20100204,0.0,
20100205,0.0,
20100208,0.0,
20100209,0.0,
20100210,0.0,
20100211,0.0,
20100212,0.0,
20100222,-12.885640237440686,
20100223,-23.408563312051832,
20100224,-31.92563195449295,
20100225,-38.92066207368841,
20100226,-44.8067000052694,
20100301,-49.680810587717154,
20100302,-53.834970295647345,
20100303,-56.74299639895037,
20100304,-59.29976279559656,
20100305,-61.594579554194,
20100308,-63.47699754071547,
20100309,-65.26083693502191,
20100310,-66.86856781684261,
20100311,-67.94114711118448,
20100312,-73.13221146487503,
20100315,-77.03379825430767,
20100316,-80.2723249696596,
20100317,-82.28021238327092,
20100318,-83.67480749924538,
20100319,-84.95520824635577,
20100322,-87.58483164002945,
20100323,-89.79857548273093,
20100324,-91.9313863769228,
20100325,-93.95228649499649,
20100326,-56.86573351745185,
20100329,-66.23774101427215,
20100330,-73.89209871534719,
20100331,-82.65580677367475,
20100401,-89.74913259149788,
20100402,-94.84728245340638,
20100406,-99.0294066228129,
20100407,-103.67138290983584,
20100408,-107.46073223742492,
20100409,-112.50458987503454,
20100412,-116.37111179882635,
20100413,-119.47131137377887,
20100414,-122.16688151551605,
20100415,-127.09061821628656,
20100416,-131.9800698339967,
20100419,-131.48367721910333,
20100420,-133.69514706580864,
20100421,-135.34911646503986,
20100422,-136.88142987770274,
20100423,-139.07022483939897,
20100426,-138.54539160429633,
20100427,-138.2799886603685,
20100428,-137.3525843371862,
20100429,-137.1295226529551,
20100430,-136.7938128071592,
20100504,-136.9763835946667,
20100505,-136.59323046692404,
20100506,-136.74765751827647,
20100507,-132.1744921190812,
20100510,-128.11151974748373,
20100511,-124.41454639534594,
20100512,-120.76134526399944,
20100513,-117.81254677456178,
20100514,-115.46944808040293,
20100517,-113.59635797699292,
