trade_date,AU.SHF,AG.SHF
20100104,0.0,
20100105,0.0,
20100106,0.0,
20100107,0.0,
20100108,0.0,
20100111,0.0,
20100112,0.0,
20100113,0.0,
20100114,0.0,
20100115,0.0,
20100118,0.0,
20100119,0.0,
20100120,0.0,
20100121,0.0,
20100122,0.0,
20100125,0.0,
20100126,0.0,
20100127,0.0,
20100128,0.0,
20100129,-13.330838384903359,
20100201,-24.47105753664752,
20100202,-34.40700215968648,
20100203,-42.301447709095285,
20100204,-48.67537154009285,
20100205,-27.708047467302077,
20100208,-36.26792215093837,
20100209,-43.07746201122067,
20100210,-49.49849012079331,
20100211,-54.999873291593865,
20100212,-59.25207810066249,
20100222,-61.33253006107989,
20100223,-63.02547638001085,
20100224,-64.32512405914926,
20100225,-39.80145006193013,
20100226,-19.583230577879814,
20100301,-29.04842465997276,
20100302,-10.567096970559422,
20100303,4.0589357027456,
20100304,16.200337263477547,
20100305,0.1715293492629554,
20100308,13.22623413606328,
20100309,24.149560764594938,
20100310,6.281048993289737,
20100311,18.371949641560427,
20100312,-2.515212623761255,
20100315,-19.258133075139643,
20100316,-33.002584174312695,
20100317,-43.60581199754111,
20100318,-52.03267996082388,
20100319,-59.06657213730644,
20100322,-66.40347286518525,
20100323,-72.4685419323372,
20100324,-40.83155897950537,
20100325,-14.671232080396578,
20100326,-32.00757949678432,
20100329,-6.4764699029609245,
20100330,-24.99668816653944,
20100331,-42.650587955111995,
20100401,-57.01766830056735,
20100402,-25.234410283405335,
20100406,-42.07351160166144,
20100407,-57.071166283099366,
20100408,-69.33332318359423,
20100409,-32.144964835391306,
20100412,-50.6223749052209,
20100413,-65.67692189557165,
20100414,-78.15331128903819,
20100415,-91.0795294718616,
20100416,-102.51646125483214,
20100419,-107.37709473069987,
20100420,-113.97158382551517,
20100421,-119.21165847725894,
20100422,-123.67805706505577,
20100423,-128.2674665404139,
20100426,-129.70677203136538,
20100427,-131.04839139932923,
20100428,-131.43582332427022,
20100429,-132.28853662570037,
20100430,-132.8330062289859,
20100504,-133.73572378180836,
20100505,-133.94178160593893,
20100506,-134.5782903197965,
20100507,-130.3995553547445,
20100510,-126.65929878152221,
20100511,-123.22636562043809,
