ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg
A.DCE,20170801,3811.0,3802.0,3805.0,3832.0,3773.0,3791.0,3804.0,-11.0,2.0,193362.0,735554.94,136750.0,
A1709.DCE,20170801,3811.0,3802.0,3805.0,3832.0,3773.0,3791.0,3804.0,-11.0,2.0,193362.0,735554.94,136750.0,-4034.0
A1711.DCE,20170801,3838.0,3838.0,3854.0,3854.0,3850.0,3850.0,3853.0,12.0,15.0,12.0,46.24,14.0,8.0
A1801.DCE,20170801,3866.0,3859.0,3865.0,3887.0,3833.0,3840.0,3858.0,-19.0,-1.0,109564.0,422736.92,124726.0,13098.0
A1803.DCE,20170801,3846.0,3846.0,,,,3846.0,3846.0,0.0,0.0,0.0,0.0,28.0,0.0
A1805.DCE,20170801,3918.0,3910.0,3918.0,3933.0,3881.0,3889.0,3905.0,-21.0,-5.0,1012.0,3952.33,2434.0,154.0
A1807.DCE,20170801,3903.0,3903.0,3882.0,3882.0,3882.0,3882.0,3882.0,-21.0,-21.0,2.0,7.76,2.0,0.0
A1809.DCE,20170801,3940.0,3940.0,3940.0,3953.0,3940.0,3945.0,3945.0,5.0,5.0,30.0,118.37,114.0,24.0
A1811.DCE,20170801,3962.0,3962.0,3980.0,3980.0,3928.0,3935.0,3942.0,-27.0,-20.0,8.0,31.54,10.0,2.0
A1901.DCE,20170801,3979.0,3979.0,3966.0,3966.0,3966.0,3966.0,3966.0,-13.0,-13.0,2.0,7.93,8.0,2.0
AG.SHF,20170801,3916.0,3916.0,3930.0,3939.0,3917.0,3922.0,3927.0,6.0,11.0,351678.0,2071855.011,602186.0,
AG1708.SHF,20170801,3839.0,3838.0,3845.0,3856.0,3842.0,3842.0,3849.0,4.0,11.0,512.0,2956.578,2120.0,444.0
AG1709.SHF,20170801,3856.0,3860.0,3871.0,3882.0,3859.0,3867.0,3873.0,7.0,13.0,448.0,2602.731,1586.0,234.0
AG1710.SHF,20170801,3882.0,3882.0,3892.0,3902.0,3884.0,3901.0,3893.0,19.0,11.0,56.0,327.024,290.0,-12.0
AG1711.SHF,20170801,3900.0,3904.0,3907.0,3922.0,3900.0,3922.0,3909.0,18.0,5.0,6.0,35.187,164.0,-2.0
AG1712.SHF,20170801,3916.0,3916.0,3930.0,3939.0,3917.0,3922.0,3927.0,6.0,11.0,351678.0,2071855.011,602186.0,-4434.0
AG1801.SHF,20170801,3929.0,3929.0,3943.0,3951.0,3935.0,3938.0,3943.0,9.0,14.0,38.0,224.781,1708.0,-4.0
AG1802.SHF,20170801,3939.0,3939.0,3957.0,3957.0,3947.0,3947.0,3952.0,8.0,13.0,4.0,23.712,508.0,2.0
AG1803.SHF,20170801,3958.0,3962.0,,,,3962.0,3962.0,0.0,0.0,0.0,0.0,206.0,0.0
AG1804.SHF,20170801,3986.0,3986.0,3992.0,3992.0,3992.0,3992.0,3992.0,6.0,6.0,10.0,59.88,108.0,-10.0
AG1805.SHF,20170801,3993.0,3993.0,4013.0,4014.0,4013.0,4014.0,4013.0,21.0,20.0,8.0,48.165,120.0,2.0
AG1806.SHF,20170801,4017.0,4019.0,4030.0,4041.0,4021.0,4028.0,4030.0,9.0,11.0,1190.0,7195.278,7552.0,76.0
AG1807.SHF,20170801,4026.0,4026.0,,,,4026.0,4026.0,0.0,0.0,0.0,0.0,8.0,0.0
AGL.SHF,20170801,3839.0,3838.0,3845.0,3856.0,3842.0,3842.0,3849.0,4.0,11.0,512.0,2956.578,2120.0,
AL.DCE,20170801,3811.0,3802.0,3805.0,3832.0,3773.0,3791.0,3804.0,-11.0,2.0,193362.0,735554.94,136750.0,
AL.SHF,20170801,14545.0,14390.0,14545.0,14560.0,14390.0,14425.0,14460.0,35.0,70.0,146254.0,1057767.03,222484.0,
AL1708.SHF,20170801,14445.0,14285.0,14425.0,14450.0,14310.0,14310.0,14370.0,25.0,85.0,8494.0,61031.945,74370.0,-3274.0
AL1709.SHF,20170801,14545.0,14390.0,14545.0,14560.0,14390.0,14425.0,14460.0,35.0,70.0,146254.0,1057767.03,222484.0,-15914.0
AL1710.SHF,20170801,14635.0,14495.0,14630.0,14650.0,14495.0,14520.0,14560.0,25.0,65.0,94386.0,687177.98,186112.0,7822.0
AL1711.SHF,20170801,14725.0,14575.0,14760.0,14765.0,14575.0,14600.0,14640.0,25.0,65.0,27752.0,203169.105,84370.0,2798.0
AL1712.SHF,20170801,14800.0,14640.0,14850.0,14850.0,14665.0,14670.0,14710.0,30.0,70.0,3260.0,23983.86,24654.0,468.0
AL1801.SHF,20170801,14880.0,14775.0,14865.0,14890.0,14750.0,14760.0,14800.0,-15.0,25.0,928.0,6868.57,6652.0,246.0
AL1802.SHF,20170801,14920.0,14785.0,14940.0,14940.0,14840.0,14845.0,14870.0,60.0,85.0,408.0,3033.91,1634.0,84.0
AL1803.SHF,20170801,15030.0,14925.0,15030.0,15030.0,14895.0,14910.0,14945.0,-15.0,20.0,202.0,1509.445,2238.0,44.0
AL1804.SHF,20170801,15055.0,14940.0,14975.0,15000.0,14975.0,15000.0,14985.0,60.0,45.0,4.0,29.975,460.0,2.0
AL1805.SHF,20170801,15075.0,14980.0,14995.0,15055.0,14955.0,15055.0,14985.0,75.0,5.0,60.0,449.555,420.0,0.0
AL1806.SHF,20170801,15100.0,14980.0,15130.0,15130.0,15000.0,15080.0,15065.0,100.0,85.0,8.0,60.275,430.0,2.0
AL1807.SHF,20170801,15125.0,15060.0,15145.0,15145.0,15040.0,15130.0,15120.0,70.0,60.0,38.0,287.305,104.0,16.0
ALL.SHF,20170801,14445.0,14285.0,14425.0,14450.0,14310.0,14310.0,14370.0,25.0,85.0,8494.0,61031.945,74370.0,
AU.SHF,20170801,278.05,278.35,278.3,278.5,277.75,278.0,278.15,-0.35,-0.2,92472.0,2572266.46,345998.0,
AU1708.SHF,20170801,275.5,274.95,271.1,271.1,271.1,271.1,271.1,-3.85,-3.85,6.0,162.66,12.0,0.0
AU1709.SHF,20170801,274.3,274.3,,,,270.45,270.45,-3.85,-3.85,0.0,0.0,6.0,0.0
AU1710.SHF,20170801,277.25,277.25,,,,277.25,277.25,0.0,0.0,0.0,0.0,56.0,0.0
AU1712.SHF,20170801,278.05,278.35,278.3,278.5,277.75,278.0,278.15,-0.35,-0.2,92472.0,2572266.46,345998.0,6780.0
AU1802.SHF,20170801,278.9,279.85,278.85,279.25,278.85,279.25,278.95,-0.6,-0.9,16.0,446.39,142.0,0.0
AU1804.SHF,20170801,279.95,279.95,,,,279.95,279.95,0.0,0.0,0.0,0.0,84.0,0.0
