trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,mapping_ts_code,sub_mapping_ts_code,sub_pre_close,sub_pre_settle,sub_open,sub_high,sub_low,sub_close,sub_settle,sub_change1,sub_change2,sub_vol,sub_amount,sub_oi,sub_oi_chg,ts_code,pre_main_close,roll_factor,adj_close,adj_open,adj_high,adj_low,adj_settle
20100104,1873.0,1870.0,1878.0,1900.0,1875.0,1892.0,1890.0,22.0,20.0,176352.0,333469.83,217210.0,52356.0,C1009.DCE,C1011.DCE,1884.0,1878.0,1883.0,1898.0,1883.0,1893.0,1892.0,15.0,14.0,82.0,155.17,148.0,32.0,C.DCE,,1.0,1892.0,1878.0,1900.0,1875.0,1890.0
20100105,1892.0,1890.0,1893.0,1904.0,1889.0,1891.0,1895.0,1.0,5.0,103552.0,196235.77,226796.0,9586.0,C1009.DCE,C1011.DCE,1893.0,1892.0,1898.0,1899.0,1892.0,1892.0,1896.0,0.0,4.0,34.0,64.48,152.0,4.0,C.DCE,,1.0,1891.0,1893.0,1904.0,1889.0,1895.0
20100106,1891.0,1895.0,1895.0,1918.0,1890.0,1908.0,1905.0,13.0,10.0,160396.0,305623.92,241304.0,14508.0,C1009.DCE,C1011.DCE,1892.0,1896.0,1888.0,1915.0,1888.0,1914.0,1904.0,18.0,8.0,76.0,144.74,168.0,16.0,C.DCE,,1.0,1908.0,1895.0,1918.0,1890.0,1905.0
20100107,1908.0,1905.0,1910.0,1921.0,1881.0,1898.0,1903.0,-7.0,-2.0,162554.0,309434.15,228008.0,-13296.0,C1009.DCE,C1011.DCE,1914.0,1904.0,1918.0,1922.0,1897.0,1901.0,1908.0,-3.0,4.0,110.0,209.98,182.0,14.0,C.DCE,,1.0,1898.0,1910.0,1921.0,1881.0,1903.0
20100108,1898.0,1903.0,1898.0,1927.0,1895.0,1925.0,1915.0,22.0,12.0,605112.0,1159226.48,298488.0,70480.0,C1009.DCE,C1011.DCE,1901.0,1908.0,1898.0,1926.0,1898.0,1921.0,1913.0,13.0,5.0,204.0,390.33,194.0,12.0,C.DCE,,1.0,1925.0,1898.0,1927.0,1895.0,1915.0
20100111,1925.0,1915.0,1932.0,1936.0,1918.0,1921.0,1925.0,6.0,10.0,242470.0,466800.53,305364.0,6876.0,C1009.DCE,C1011.DCE,1921.0,1913.0,1918.0,1927.0,1917.0,1923.0,1923.0,10.0,10.0,138.0,265.49,220.0,26.0,C.DCE,,1.0,1921.0,1932.0,1936.0,1918.0,1925.0
20100112,1921.0,1925.0,1915.0,1922.0,1905.0,1908.0,1913.0,-17.0,-12.0,195492.0,374111.21,288226.0,-17138.0,C1009.DCE,C1011.DCE,1923.0,1923.0,1914.0,1920.0,1913.0,1914.0,1916.0,-9.0,-7.0,70.0,134.14,238.0,18.0,C.DCE,,1.0,1908.0,1915.0,1922.0,1905.0,1913.0
20100113,1908.0,1913.0,1885.0,1896.0,1879.0,1887.0,1889.0,-26.0,-24.0,217122.0,410203.99,230980.0,-57246.0,C1009.DCE,C1011.DCE,1914.0,1916.0,1920.0,1920.0,1888.0,1897.0,1896.0,-19.0,-20.0,184.0,348.0,210.0,-28.0,C.DCE,,1.0,1887.0,1885.0,1896.0,1879.0,1889.0
20100114,1887.0,1889.0,1898.0,1903.0,1892.0,1896.0,1897.0,7.0,8.0,108336.0,205608.9,225416.0,-5564.0,C1009.DCE,C1011.DCE,1897.0,1896.0,1901.0,1910.0,1901.0,1905.0,1905.0,9.0,9.0,74.0,141.03,214.0,4.0,C.DCE,,1.0,1896.0,1898.0,1903.0,1892.0,1897.0
20100115,1896.0,1897.0,1894.0,1897.0,1890.0,1891.0,1893.0,-6.0,-4.0,78334.0,148288.75,223028.0,-2388.0,C1009.DCE,C1011.DCE,1905.0,1905.0,1902.0,1908.0,1900.0,1902.0,1904.0,-3.0,-1.0,84.0,159.97,188.0,-26.0,C.DCE,,1.0,1891.0,1894.0,1897.0,1890.0,1893.0
20100118,1891.0,1893.0,1888.0,1897.0,1888.0,1896.0,1894.0,3.0,1.0,65240.0,123589.98,227506.0,4478.0,C1009.DCE,C1101.DCE,,1897.0,1938.0,1938.0,1897.0,1907.0,1907.0,10.0,10.0,344.0,656.2,234.0,234.0,C.DCE,,1.0,1896.0,1888.0,1897.0,1888.0,1894.0
20100119,1896.0,1894.0,1898.0,1903.0,1894.0,1896.0,1898.0,2.0,4.0,56094.0,106475.12,231082.0,3576.0,C1009.DCE,C1101.DCE,1907.0,1907.0,1910.0,1910.0,1890.0,1897.0,1900.0,-10.0,-7.0,3470.0,6594.81,2948.0,2714.0,C.DCE,,1.0,1896.0,1898.0,1903.0,1894.0,1898.0
20100120,1896.0,1898.0,1896.0,1898.0,1888.0,1890.0,1892.0,-8.0,-6.0,52456.0,99249.01,224912.0,-6170.0,C1009.DCE,C1101.DCE,1897.0,1900.0,1898.0,1898.0,1882.0,1886.0,1885.0,-14.0,-15.0,1164.0,2195.23,2982.0,34.0,C.DCE,,1.0,1890.0,1896.0,1898.0,1888.0,1892.0
