ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,pre_main_close,roll_factor,adj_close,adj_open,adj_high,adj_low,adj_settle
IF1005.CFX,20100416,,3399.0,3450.0,3488.0,3413.2,3415.6,3431.2,16.6,32.2,48988.0,5053880.532,2702.0,,,1.0,3415.6,3450.0,3488.0,3413.2,3431.2
IF1005.CFX,20100419,3415.6,3431.2,3396.0,3398.0,3166.2,3197.4,3201.2,-233.8,-230.0,109733.0,10820641.224,3954.0,1252.0,,1.0,3197.4,3396.0,3398.0,3166.2,3201.2
IF1005.CFX,20100420,3197.4,3201.2,3209.2,3240.0,3168.8,3214.6,3216.6,13.4,15.4,141862.0,13634209.026,4496.0,542.0,,1.0,3214.6,3209.2,3240.0,3168.8,3216.6
IF1005.CFX,20100421,3214.6,3216.6,3215.0,3281.2,3208.0,3267.2,3266.0,50.6,49.4,114531.0,11126789.49,5062.0,566.0,,1.0,3267.2,3215.0,3281.2,3208.0,3266.0
IF1005.CFX,20100422,3267.2,3266.0,3260.2,3274.4,3211.0,3236.2,3240.0,-29.8,-26.0,133247.0,12962980.758,5383.0,321.0,,1.0,3236.2,3260.2,3274.4,3211.0,3240.0
IF1005.CFX,20100423,3236.2,3240.0,3241.0,3266.0,3221.0,3221.2,3235.6,-18.8,-4.4,116981.0,11388681.534,5808.0,425.0,,1.0,3221.2,3241.0,3266.0,3221.0,3235.6
IF1005.CFX,20100426,3221.2,3235.6,3243.0,3252.0,3211.8,3219.6,3224.8,-16.0,-10.8,112229.0,10894972.776,7079.0,1271.0,,1.0,3219.6,3243.0,3252.0,3211.8,3224.8
IF1005.CFX,20100427,3219.6,3224.8,3201.2,3205.0,3107.6,3138.8,3121.8,-86.0,-103.0,139961.0,13200716.022,7386.0,307.0,,1.0,3138.8,3201.2,3205.0,3107.6,3121.8
IF1005.CFX,20100428,3138.8,3121.8,3101.6,3142.6,3094.2,3129.0,3132.8,7.2,11.0,128530.0,12047029.896,7092.0,-294.0,,1.0,3129.0,3101.6,3142.6,3094.2,3132.8
IF1005.CFX,20100429,3129.0,3132.8,3141.0,3157.6,3082.2,3083.8,3114.4,-49.0,-18.4,116254.0,10941565.38,8705.0,1613.0,,1.0,3083.8,3141.0,3157.6,3082.2,3114.4
IF1005.CFX,20100430,3083.8,3114.4,3103.0,3119.6,3043.0,3107.0,3089.8,-7.4,-24.6,184157.0,17031030.156,8297.0,-408.0,,1.0,3107.0,3103.0,3119.6,3043.0,3089.8
IF1005.CFX,20100504,3107.0,3089.8,3079.8,3094.4,3060.8,3076.4,3069.4,-13.4,-20.4,150123.0,13859134.764,8261.0,-36.0,,1.0,3076.4,3079.8,3094.4,3060.8,3069.4
IF1005.CFX,20100505,3076.4,3069.4,3046.4,3087.0,3031.0,3076.4,3078.6,7.0,9.2,145542.0,13349319.84,9600.0,1339.0,,1.0,3076.4,3046.4,3087.0,3031.0,3078.6
IF1005.CFX,20100506,3076.4,3078.6,3078.6,3083.4,2953.6,2967.4,2972.6,-111.2,-106.0,170221.0,15450680.862,10150.0,550.0,,1.0,2967.4,3078.6,3083.4,2953.6,2972.6
IF1005.CFX,20100507,2967.4,2972.6,2928.0,2959.8,2862.2,2897.6,2896.0,-75.0,-76.6,240106.0,20959790.502,8282.0,-1868.0,,1.0,2897.6,2928.0,2959.8,2862.2,2896.0
