trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,mapping_ts_code,ts_code,pre_main_close,roll_factor,adj_close,adj_open,adj_high,adj_low,adj_settle
20220722,,7018.8,7050.0,7085.2,6857.0,6956.6,6934.2,-62.2,-84.6,22153.0,3091913.32,17517.0,,IM2208.CFX,IM.CFX,,1.0,6956.6,7050.0,7085.2,6857.0,6934.2
20220725,6956.6,6934.2,6974.2,7015.8,6850.0,6878.6,6885.8,-55.6,-48.4,22883.0,3169970.476,18747.0,1230.0,IM2208.CFX,IM.CFX,,1.0,6878.6,6974.2,7015.8,6850.0,6885.8
20220726,6878.6,6885.8,6898.0,6994.0,6844.8,6991.0,6964.4,105.2,78.6,19269.0,2671200.584,20386.0,1639.0,IM2208.CFX,IM.CFX,,1.0,6991.0,6898.0,6994.0,6844.8,6964.4
20220727,6991.0,6964.4,6982.0,7074.4,6965.2,7066.2,7059.4,101.8,95.0,19290.0,2711399.276,21390.0,1004.0,IM2208.CFX,IM.CFX,,1.0,7066.2,6982.0,7074.4,6965.2,7059.4
20220728,7066.2,7059.4,7110.0,7171.4,7072.4,7119.0,7112.4,59.6,53.0,22464.0,3199380.992,24584.0,3194.0,IM2208.CFX,IM.CFX,,1.0,7119.0,7110.0,7171.4,7072.4,7112.4
20220729,7119.0,7112.4,7130.0,7152.0,7068.0,7087.0,7090.2,-25.4,-22.2,25025.0,3556014.512,25557.0,973.0,IM2208.CFX,IM.CFX,,1.0,7087.0,7130.0,7152.0,7068.0,7090.2
20220801,7044.8,7047.2,7032.0,7089.6,6960.2,7087.4,7079.2,40.2,32.0,6742.0,950076.628,10961.0,-868.0,IM2209.CFX,IM.CFX,7136.6,1.0069418968874342,7136.6,7080.815418912437,7138.815272173154,7008.516990715919,7128.343076445524
20220802,7087.4,7079.2,7015.2,7015.4,6774.0,6905.0,6925.2,-174.2,-154.0,14493.0,1999776.404,14621.0,3660.0,IM2209.CFX,IM.CFX,,1.0069418968874342,6952.9337980077335,7063.898795044728,7064.100183424105,6821.024409515479,6973.274024324859
20220803,6905.0,6925.2,6935.0,7009.6,6816.0,6841.8,6868.8,-83.4,-56.4,12043.0,1673380.684,15381.0,760.0,IM2209.CFX,IM.CFX,,1.0069418968874342,6889.295070124447,6983.142054914356,7058.259920422159,6863.315969184751,6916.482501340408
20220804,6841.8,6868.8,6891.0,6895.0,6729.0,6843.0,6822.6,-25.8,-46.2,12415.0,1693649.072,17634.0,2253.0,IM2209.CFX,IM.CFX,,1.0069418968874342,6890.503400400712,6938.836611451309,6942.864379038859,6775.712024155545,6869.9617857042085
