ts_code,mapping_ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,pre_main_close,roll_factor,adj_close,adj_open,adj_high,adj_low,adj_settle
LU.INE,LU2101.INE,20200622,,2368.0,2570.0,2763.0,2570.0,2599.0,2638.0,231.0,270.0,130439.0,344132.152,24859.0,,,1.0,2599.0,2570.0,2763.0,2570.0,2638.0
LU.INE,LU2101.INE,20200623,2599.0,2638.0,2611.0,2679.0,2602.0,2649.0,2650.0,11.0,12.0,144505.0,383037.893,33377.0,8518.0,,1.0,2649.0,2611.0,2679.0,2602.0,2650.0
LU.INE,LU2101.INE,20200624,2649.0,2650.0,2660.0,2672.0,2588.0,2603.0,2628.0,-47.0,-22.0,79323.0,208489.911,34207.0,830.0,,1.0,2603.0,2660.0,2672.0,2588.0,2628.0
LU.INE,LU2101.INE,20200629,2603.0,2628.0,2577.0,2577.0,2486.0,2514.0,2518.0,-114.0,-110.0,63816.0,160717.159,42496.0,8289.0,,1.0,2514.0,2577.0,2577.0,2486.0,2518.0
LU.INE,LU2101.INE,20200630,2514.0,2518.0,2540.0,2568.0,2522.0,2534.0,2542.0,16.0,24.0,42512.0,108105.373,40329.0,-2167.0,,1.0,2534.0,2540.0,2568.0,2522.0,2542.0
LU.INE,LU2101.INE,20200701,2534.0,2542.0,2526.0,2568.0,2516.0,2553.0,2542.0,11.0,0.0,28865.0,73396.618,39329.0,-1000.0,,1.0,2553.0,2526.0,2568.0,2516.0,2542.0
LU.INE,LU2101.INE,20200702,2553.0,2542.0,2526.0,2575.0,2526.0,2553.0,2551.0,11.0,9.0,39078.0,99704.505,41683.0,2354.0,,1.0,2553.0,2526.0,2575.0,2526.0,2551.0
LU.INE,LU2101.INE,20200703,2553.0,2551.0,2560.0,2613.0,2560.0,2589.0,2587.0,38.0,36.0,43286.0,112011.11,39595.0,-2088.0,,1.0,2589.0,2560.0,2613.0,2560.0,2587.0
LU.INE,LU2101.INE,20200706,2589.0,2587.0,2576.0,2612.0,2565.0,2601.0,2590.0,14.0,3.0,30837.0,79894.252,37478.0,-2117.0,,1.0,2601.0,2576.0,2612.0,2565.0,2590.0
LU.INE,LU2101.INE,20200707,2601.0,2590.0,2600.0,2609.0,2555.0,2574.0,2578.0,-16.0,-12.0,26882.0,69314.859,37095.0,-383.0,,1.0,2574.0,2600.0,2609.0,2555.0,2578.0
LU.INE,LU2101.INE,20200708,2574.0,2578.0,2575.0,2591.0,2564.0,2570.0,2577.0,-8.0,-1.0,13873.0,35758.701,37052.0,-43.0,,1.0,2570.0,2575.0,2591.0,2564.0,2577.0
LU.INE,LU2101.INE,20200709,2570.0,2577.0,2579.0,2583.0,2533.0,2563.0,2567.0,-14.0,-10.0,14556.0,37370.266,36747.0,-305.0,,1.0,2563.0,2579.0,2583.0,2533.0,2567.0
LU.INE,LU2101.INE,20200710,2563.0,2567.0,2568.0,2575.0,2480.0,2493.0,2524.0,-74.0,-43.0,21575.0,54462.245,37502.0,755.0,,1.0,2493.0,2568.0,2575.0,2480.0,2524.0
LU.INE,LU2101.INE,20200713,2493.0,2524.0,2511.0,2557.0,2507.0,2542.0,2534.0,18.0,10.0,15256.0,38662.863,36363.0,-1139.0,,1.0,2542.0,2511.0,2557.0,2507.0,2534.0
LU.INE,LU2101.INE,20200714,2542.0,2534.0,2549.0,2560.0,2485.0,2519.0,2521.0,-15.0,-13.0,18192.0,45871.198,38243.0,1880.0,,1.0,2519.0,2549.0,2560.0,2485.0,2521.0
LU.INE,LU2101.INE,20200715,2519.0,2521.0,2518.0,2539.0,2506.0,2520.0,2524.0,-1.0,3.0,13821.0,34894.465,38565.0,322.0,,1.0,2520.0,2518.0,2539.0,2506.0,2524.0
LU.INE,LU2101.INE,20200716,2520.0,2524.0,2529.0,2540.0,2503.0,2510.0,2518.0,-14.0,-6.0,16460.0,41450.776,38007.0,-558.0,,1.0,2510.0,2529.0,2540.0,2503.0,2518.0
LU.INE,LU2101.INE,20200717,2510.0,2518.0,2510.0,2535.0,2484.0,2491.0,2507.0,-27.0,-11.0,19137.0,47988.939,38953.0,946.0,,1.0,2491.0,2510.0,2535.0,2484.0,2507.0
LU.INE,LU2101.INE,20200720,2491.0,2507.0,2485.0,2518.0,2436.0,2452.0,2467.0,-55.0,-40.0,29044.0,71665.764,39974.0,1021.0,,1.0,2452.0,2485.0,2518.0,2436.0,2467.0
LU.INE,LU2101.INE,20200721,2452.0,2467.0,2456.0,2487.0,2436.0,2487.0,2464.0,20.0,-3.0,18480.0,45550.577,37574.0,-2400.0,,1.0,2487.0,2456.0,2487.0,2436.0,2464.0
LU.INE,LU2101.INE,20200722,2487.0,2464.0,2530.0,2598.0,2516.0,2528.0,2550.0,64.0,86.0,37610.0,95928.297,36752.0,-822.0,,1.0,2528.0,2530.0,2598.0,2516.0,2550.0
LU.INE,LU2101.INE,20200723,2528.0,2550.0,2526.0,2588.0,2514.0,2588.0,2545.0,38.0,-5.0,16297.0,41479.308,36810.0,58.0,,1.0,2588.0,2526.0,2588.0,2514.0,2545.0
LU.INE,LU2101.INE,20200724,2588.0,2545.0,2568.0,2573.0,2486.0,2506.0,2530.0,-39.0,-15.0,30403.0,76936.225,38900.0,2090.0,,1.0,2506.0,2568.0,2573.0,2486.0,2530.0
LU.INE,LU2101.INE,20200727,2506.0,2530.0,2518.0,2521.0,2484.0,2486.0,2503.0,-44.0,-27.0,22374.0,56006.186,44380.0,5480.0,,1.0,2486.0,2518.0,2521.0,2484.0,2503.0
LU.INE,LU2101.INE,20200728,2486.0,2503.0,2495.0,2510.0,2462.0,2492.0,2487.0,-11.0,-16.0,29191.0,72603.959,50929.0,6549.0,,1.0,2492.0,2495.0,2510.0,2462.0,2487.0
