ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,pre_main_close,roll_factor,adj_close,adj_open,adj_high,adj_low,adj_settle
M1009.DCE,20100104,3020.0,3009.0,3050.0,3055.0,3024.0,3033.0,3038.0,24.0,29.0,996272.0,3026953.2,1064048.0,28254.0,,1.0,3033.0,3050.0,3055.0,3024.0,3038.0
M1009.DCE,20100105,3033.0,3038.0,3035.0,3051.0,3032.0,3032.0,3040.0,-6.0,2.0,966822.0,2939707.32,1072058.0,8010.0,,1.0,3032.0,3035.0,3051.0,3032.0,3040.0
M1009.DCE,20100106,3032.0,3040.0,3035.0,3082.0,3030.0,3058.0,3058.0,18.0,18.0,1301166.0,3979190.94,1101624.0,29566.0,,1.0,3058.0,3035.0,3082.0,3030.0,3058.0
M1009.DCE,20100107,3058.0,3058.0,3065.0,3080.0,2936.0,2988.0,3016.0,-70.0,-42.0,1524266.0,4598260.44,1053354.0,-48270.0,,1.0,2988.0,3065.0,3080.0,2936.0,3016.0
M1009.DCE,20100108,2988.0,3016.0,2980.0,2986.0,2930.0,2962.0,2960.0,-54.0,-56.0,1081884.0,3203426.74,1041282.0,-12072.0,,1.0,2962.0,2980.0,2986.0,2930.0,2960.0
M1009.DCE,20100111,2962.0,2960.0,2984.0,2998.0,2980.0,2985.0,2989.0,25.0,29.0,579852.0,1733245.17,1036886.0,-4396.0,,1.0,2985.0,2984.0,2998.0,2980.0,2989.0
M1009.DCE,20100112,2985.0,2989.0,2958.0,2967.0,2941.0,2955.0,2956.0,-34.0,-33.0,640288.0,1892810.49,1069506.0,32620.0,,1.0,2955.0,2958.0,2967.0,2941.0,2956.0
M1009.DCE,20100113,2955.0,2956.0,2890.0,2898.0,2860.0,2869.0,2878.0,-87.0,-78.0,843484.0,2428126.14,1047434.0,-22072.0,,1.0,2869.0,2890.0,2898.0,2860.0,2878.0
M1009.DCE,20100114,2869.0,2878.0,2889.0,2898.0,2880.0,2881.0,2888.0,3.0,10.0,620724.0,1792735.69,1065782.0,18348.0,,1.0,2881.0,2889.0,2898.0,2880.0,2888.0
M1009.DCE,20100115,2881.0,2888.0,2875.0,2905.0,2870.0,2886.0,2892.0,-2.0,4.0,1040630.0,3010231.09,1035494.0,-30288.0,,1.0,2886.0,2875.0,2905.0,2870.0,2892.0
M1009.DCE,20100118,2886.0,2892.0,2892.0,2909.0,2888.0,2904.0,2900.0,12.0,8.0,732728.0,2125286.51,1032604.0,-2890.0,,1.0,2904.0,2892.0,2909.0,2888.0,2900.0
M1009.DCE,20100119,2904.0,2900.0,2912.0,2923.0,2906.0,2910.0,2913.0,10.0,13.0,455936.0,1328422.69,1029274.0,-3330.0,,1.0,2910.0,2912.0,2923.0,2906.0,2913.0
M1009.DCE,20100120,2910.0,2913.0,2906.0,2913.0,2863.0,2870.0,2882.0,-43.0,-31.0,744150.0,2144944.14,1057972.0,28698.0,,1.0,2870.0,2906.0,2913.0,2863.0,2882.0
