ts_code,mapping_ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,pre_main_close,roll_factor,adj_close,adj_open,adj_high,adj_low,adj_settle
NI.SHF,NI1507.SHF,20150327,,102070.0,101870.0,102710.0,100650.0,101080.0,101180.0,-990.0,-890.0,28860.0,292013.136,14364.0,14364.0,,1.0,101080.0,101870.0,102710.0,100650.0,101180.0
NI.SHF,NI1507.SHF,20150330,101080.0,101180.0,99010.0,100000.0,96820.0,98430.0,98390.0,-2750.0,-2790.0,66684.0,656151.758,34186.0,19822.0,,1.0,98430.0,99010.0,100000.0,96820.0,98390.0
NI.SHF,NI1507.SHF,20150331,98430.0,98390.0,98000.0,98200.0,93840.0,95040.0,95950.0,-3350.0,-2440.0,105600.0,1013274.91,54888.0,20702.0,,1.0,95040.0,98000.0,98200.0,93840.0,95950.0
NI.SHF,NI1507.SHF,20150401,95040.0,95950.0,93940.0,94130.0,91270.0,92500.0,92870.0,-3450.0,-3080.0,158952.0,1476338.488,70960.0,16072.0,,1.0,92500.0,93940.0,94130.0,91270.0,92870.0
NI.SHF,NI1507.SHF,20150402,92500.0,92870.0,92870.0,96600.0,92550.0,96160.0,94320.0,3290.0,1450.0,202848.0,1913386.812,80724.0,9764.0,,1.0,96160.0,92870.0,96600.0,92550.0,94320.0
NI.SHF,NI1507.SHF,20150403,96160.0,94320.0,96000.0,97800.0,95660.0,97300.0,96530.0,2980.0,2210.0,150282.0,1450703.286,80998.0,274.0,,1.0,97300.0,96000.0,97800.0,95660.0,96530.0
NI.SHF,NI1507.SHF,20150407,97300.0,96530.0,97500.0,97980.0,95950.0,96420.0,96790.0,-110.0,260.0,75688.0,732658.128,83542.0,2544.0,,1.0,96420.0,97500.0,97980.0,95950.0,96790.0
NI.SHF,NI1507.SHF,20150408,96420.0,96790.0,94500.0,95630.0,93300.0,93950.0,94450.0,-2840.0,-2340.0,183088.0,1729307.818,95102.0,11560.0,,1.0,93950.0,94500.0,95630.0,93300.0,94450.0
NI.SHF,NI1507.SHF,20150409,93950.0,94450.0,94450.0,95260.0,93880.0,94300.0,94500.0,-150.0,50.0,160974.0,1521333.544,99084.0,3982.0,,1.0,94300.0,94450.0,95260.0,93880.0,94500.0
NI.SHF,NI1507.SHF,20150410,94300.0,94500.0,94500.0,94970.0,93180.0,94540.0,94080.0,40.0,-420.0,137722.0,1295809.032,105628.0,6544.0,,1.0,94540.0,94500.0,94970.0,93180.0,94080.0
NI.SHF,NI1507.SHF,20150413,94540.0,94080.0,94280.0,95670.0,93700.0,95230.0,94720.0,1150.0,640.0,180214.0,1707095.116,112858.0,7230.0,,1.0,95230.0,94280.0,95670.0,93700.0,94720.0
NI.SHF,NI1507.SHF,20150414,95230.0,94720.0,94780.0,95070.0,92810.0,93100.0,93740.0,-1620.0,-980.0,199150.0,1866881.88,127690.0,14832.0,,1.0,93100.0,94780.0,95070.0,92810.0,93740.0
NI.SHF,NI1507.SHF,20150415,93100.0,93740.0,92700.0,95000.0,92640.0,94730.0,93970.0,990.0,230.0,220106.0,2068449.082,132258.0,4568.0,,1.0,94730.0,92700.0,95000.0,92640.0,93970.0
NI.SHF,NI1507.SHF,20150416,94730.0,93970.0,94610.0,95900.0,94260.0,95400.0,95090.0,1430.0,1120.0,195920.0,1863068.586,131624.0,-634.0,,1.0,95400.0,94610.0,95900.0,94260.0,95090.0
NI.SHF,NI1507.SHF,20150417,95400.0,95090.0,96280.0,96660.0,95010.0,95850.0,95900.0,760.0,810.0,168702.0,1617969.57,127284.0,-4340.0,,1.0,95850.0,96280.0,96660.0,95010.0,95900.0
NI.SHF,NI1507.SHF,20150420,95850.0,95900.0,95980.0,96550.0,95200.0,95410.0,95910.0,-490.0,10.0,148104.0,1420552.792,116410.0,-10874.0,,1.0,95410.0,95980.0,96550.0,95200.0,95910.0
NI.SHF,NI1507.SHF,20150421,95410.0,95910.0,95330.0,96800.0,94900.0,95880.0,95910.0,-30.0,0.0,140930.0,1351681.212,110552.0,-5858.0,,1.0,95880.0,95330.0,96800.0,94900.0,95910.0
NI.SHF,NI1507.SHF,20150422,95880.0,95910.0,95910.0,96720.0,95750.0,96330.0,96260.0,420.0,350.0,123902.0,1192744.71,110516.0,-36.0,,1.0,96330.0,95910.0,96720.0,95750.0,96260.0
NI.SHF,NI1507.SHF,20150423,96330.0,96260.0,96120.0,96500.0,95600.0,95860.0,96140.0,-400.0,-120.0,101066.0,971708.27,110646.0,130.0,,1.0,95860.0,96120.0,96500.0,95600.0,96140.0
NI.SHF,NI1507.SHF,20150424,95860.0,96140.0,95840.0,97900.0,95700.0,97830.0,96660.0,1690.0,520.0,118180.0,1142342.824,113816.0,3170.0,,1.0,97830.0,95840.0,97900.0,95700.0,96660.0
NI.SHF,NI1507.SHF,20150427,97830.0,96660.0,98000.0,101490.0,97990.0,101490.0,100090.0,4830.0,3430.0,241904.0,2421304.806,116290.0,2474.0,,1.0,101490.0,98000.0,101490.0,97990.0,100090.0
NI.SHF,NI1507.SHF,20150428,101490.0,100090.0,102490.0,104530.0,101420.0,102650.0,103110.0,2560.0,3020.0,285722.0,2946180.494,111958.0,-4332.0,,1.0,102650.0,102490.0,104530.0,101420.0,103110.0
NI.SHF,NI1507.SHF,20150429,102650.0,103110.0,102350.0,104400.0,100500.0,101020.0,102440.0,-2090.0,-670.0,317634.0,3253921.328,111334.0,-624.0,,1.0,101020.0,102350.0,104400.0,100500.0,102440.0
NI.SHF,NI1507.SHF,20150430,101020.0,102440.0,101190.0,106980.0,101160.0,106010.0,104070.0,3570.0,1630.0,552750.0,5752803.94,125970.0,14636.0,,1.0,106010.0,101190.0,106980.0,101160.0,104070.0
NI.SHF,NI1507.SHF,20150504,106010.0,104070.0,106010.0,108900.0,105450.0,107580.0,107000.0,3510.0,2930.0,278844.0,2983881.22,128702.0,2732.0,,1.0,107580.0,106010.0,108900.0,105450.0,107000.0
NI.SHF,NI1507.SHF,20150505,107580.0,107000.0,107850.0,109230.0,106160.0,107960.0,107990.0,960.0,990.0,518266.0,5597104.464,133626.0,4924.0,,1.0,107960.0,107850.0,109230.0,106160.0,107990.0
NI.SHF,NI1507.SHF,20150506,107960.0,107990.0,110000.0,113380.0,109690.0,113380.0,112100.0,5390.0,4110.0,609024.0,6827214.754,134182.0,556.0,,1.0,113380.0,110000.0,113380.0,109690.0,112100.0
NI.SHF,NI1507.SHF,20150507,113380.0,112100.0,114580.0,115300.0,111050.0,112500.0,112960.0,400.0,860.0,969052.0,10947348.872,123678.0,-10504.0,,1.0,112500.0,114580.0,115300.0,111050.0,112960.0
NI.SHF,NI1507.SHF,20150508,112500.0,112960.0,113700.0,114100.0,110000.0,112300.0,111810.0,-660.0,-1150.0,878416.0,9822370.566,118556.0,-5122.0,,1.0,112300.0,113700.0,114100.0,110000.0,111810.0
NI.SHF,NI1507.SHF,20150511,112300.0,111810.0,111810.0,114430.0,111060.0,113880.0,112550.0,2070.0,740.0,728054.0,8194966.614,128054.0,9498.0,,1.0,113880.0,111810.0,114430.0,111060.0,112550.0
NI.SHF,NI1507.SHF,20150512,113880.0,112550.0,113300.0,115060.0,111270.0,111600.0,113270.0,-950.0,720.0,871696.0,9873932.486,126536.0,-1518.0,,1.0,111600.0,113300.0,115060.0,111270.0,113270.0
NI.SHF,NI1507.SHF,20150513,111600.0,113270.0,112280.0,113650.0,110780.0,111750.0,112190.0,-1520.0,-1080.0,752614.0,8444303.1,123868.0,-2668.0,,1.0,111750.0,112280.0,113650.0,110780.0,112190.0
NI.SHF,NI1507.SHF,20150514,111750.0,112190.0,112100.0,112100.0,107060.0,109400.0,109780.0,-2790.0,-2410.0,760542.0,8349435.512,121384.0,-2484.0,,1.0,109400.0,112100.0,112100.0,107060.0,109780.0
NI.SHF,NI1507.SHF,20150515,109400.0,109780.0,108980.0,110960.0,108540.0,110210.0,109450.0,430.0,-330.0,609290.0,6668774.8,130696.0,9312.0,,1.0,110210.0,108980.0,110960.0,108540.0,109450.0
NI.SHF,NI1507.SHF,20150518,110210.0,109450.0,109390.0,109690.0,108200.0,108610.0,109160.0,-840.0,-290.0,544094.0,5939837.438,121292.0,-9404.0,,1.0,108610.0,109390.0,109690.0,108200.0,109160.0
NI.SHF,NI1507.SHF,20150519,108610.0,109160.0,108300.0,108890.0,106160.0,106430.0,107730.0,-2730.0,-1430.0,467078.0,5032237.566,116362.0,-4930.0,,1.0,106430.0,108300.0,108890.0,106160.0,107730.0
NI.SHF,NI1507.SHF,20150520,106430.0,107730.0,105500.0,105990.0,102340.0,102340.0,103570.0,-5390.0,-4160.0,318956.0,3303443.584,107676.0,-8686.0,,1.0,102340.0,105500.0,105990.0,102340.0,103570.0
NI.SHF,NI1507.SHF,20150521,102340.0,103570.0,100490.0,102550.0,100170.0,101070.0,101470.0,-2500.0,-2100.0,480198.0,4872888.854,106184.0,-1492.0,,1.0,101070.0,100490.0,102550.0,100170.0,101470.0
NI.SHF,NI1507.SHF,20150522,101070.0,101470.0,100960.0,103370.0,96710.0,100070.0,101630.0,-1400.0,160.0,741862.0,7540259.54,109808.0,3624.0,,1.0,100070.0,100960.0,103370.0,96710.0,101630.0
NI.SHF,NI1507.SHF,20150525,100070.0,101630.0,98900.0,100580.0,98110.0,99480.0,99660.0,-2150.0,-1970.0,610232.0,6082019.48,114898.0,5090.0,,1.0,99480.0,98900.0,100580.0,98110.0,99660.0
NI.SHF,NI1507.SHF,20150526,99480.0,99660.0,99670.0,101900.0,99660.0,100010.0,101060.0,350.0,1400.0,550278.0,5561465.516,115194.0,296.0,,1.0,100010.0,99670.0,101900.0,99660.0,101060.0
NI.SHF,NI1509.SHF,20150527,98060.0,98960.0,97290.0,98380.0,97280.0,98110.0,97890.0,-850.0,-1070.0,86754.0,849253.356,121918.0,10634.0,100670.0,1.026093160737947,100670.0,99828.60360819488,100947.04515339925,99818.34267658748,100444.25950463764
NI.SHF,NI1509.SHF,20150528,98110.0,97890.0,97780.0,100100.0,97740.0,99470.0,99140.0,1580.0,1250.0,211690.0,2098876.28,144198.0,22280.0,,1.026093160737947,102065.4866986036,100331.38925695646,102711.9253898685,100290.34553052696,101726.87595556008
NI.SHF,NI1509.SHF,20150529,99470.0,99140.0,99140.0,99670.0,96250.0,97600.0,97970.0,-1540.0,-1170.0,196314.0,1923482.754,144488.0,290.0,,1.026093160737947,100146.69248802363,101726.87595556008,102270.70533075118,98761.4667210274,100526.34695749667
NI.SHF,NI1509.SHF,20150601,97600.0,97970.0,97500.0,97800.0,96360.0,96810.0,97110.0,-1160.0,-860.0,171826.0,1668695.072,156872.0,12384.0,,1.026093160737947,99336.07889104066,100044.08317194984,100351.91112017122,98874.33696870858,99643.90683926204
NI.SHF,NI1509.SHF,20150602,96810.0,97110.0,97190.0,100500.0,97020.0,100280.0,99080.0,3170.0,1970.0,428588.0,4246705.392,179364.0,22492.0,,1.026093160737947,102896.62215880131,99725.99429212107,103122.36265416368,99551.55845479562,101665.3103659158
