trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,mapping_ts_code,sub_mapping_ts_code,sub_pre_close,sub_pre_settle,sub_open,sub_high,sub_low,sub_close,sub_settle,sub_change1,sub_change2,sub_vol,sub_amount,sub_oi,sub_oi_chg,ts_code,pre_main_close,roll_factor,adj_close,adj_open,adj_high,adj_low,adj_settle
20201012,,5400.0,5798.0,5832.0,5750.0,5832.0,5808.0,432.0,408.0,51327.0,149061.29,19362.0,,PF2105.ZCE,PF2109.ZCE,,5400.0,5750.0,5832.0,5744.0,5832.0,5794.0,432.0,394.0,1973.0,5714.47,1169.0,,PF.ZCE,,1.0,5832.0,5798.0,5832.0,5750.0,5808.0
20201013,5832.0,5808.0,5932.0,6042.0,5900.0,6042.0,6008.0,234.0,200.0,538024.0,1616111.39,77665.0,58303.0,PF2105.ZCE,PF2109.ZCE,5832.0,5794.0,5900.0,6026.0,5900.0,6026.0,5996.0,232.0,202.0,11827.0,35451.88,4301.0,3132.0,PF.ZCE,,1.0,6042.0,5932.0,6042.0,5900.0,6008.0
20201014,6042.0,6008.0,6054.0,6138.0,5992.0,6104.0,6064.0,96.0,56.0,309822.0,939230.03,89404.0,11739.0,PF2105.ZCE,PF2109.ZCE,6026.0,5996.0,6022.0,6044.0,5944.0,6030.0,6000.0,34.0,4.0,5754.0,17262.36,3900.0,-401.0,PF.ZCE,,1.0,6104.0,6054.0,6138.0,5992.0,6064.0
20201015,6104.0,6064.0,6126.0,6270.0,6112.0,6266.0,6204.0,202.0,140.0,559919.0,1736478.01,167776.0,78372.0,PF2105.ZCE,PF2109.ZCE,6030.0,6000.0,6022.0,6172.0,6022.0,6168.0,6116.0,168.0,116.0,2686.0,8213.31,4117.0,217.0,PF.ZCE,,1.0,6266.0,6126.0,6270.0,6112.0,6204.0
20201016,6266.0,6204.0,6224.0,6454.0,6224.0,6454.0,6342.0,250.0,138.0,1300979.0,4124979.79,251716.0,83940.0,PF2105.ZCE,PF2109.ZCE,6168.0,6116.0,6120.0,6332.0,6120.0,6324.0,6244.0,208.0,128.0,5181.0,16173.36,4344.0,227.0,PF.ZCE,,1.0,6454.0,6224.0,6454.0,6224.0,6342.0
20201019,6454.0,6342.0,6462.0,6596.0,6432.0,6596.0,6536.0,254.0,194.0,1458246.0,4765713.15,316768.0,65052.0,PF2105.ZCE,PF2109.ZCE,6324.0,6244.0,6326.0,6494.0,6316.0,6446.0,6424.0,202.0,180.0,14504.0,46579.05,7279.0,2935.0,PF.ZCE,,1.0,6596.0,6462.0,6596.0,6432.0,6536.0
20201020,6596.0,6536.0,6602.0,6618.0,6482.0,6564.0,6546.0,28.0,10.0,1388290.0,4543772.14,306556.0,-10212.0,PF2105.ZCE,PF2109.ZCE,6446.0,6424.0,6446.0,6500.0,6362.0,6414.0,6410.0,-10.0,-14.0,7914.0,25364.74,6139.0,-1140.0,PF.ZCE,,1.0,6564.0,6602.0,6618.0,6482.0,6546.0
20201021,6564.0,6546.0,6536.0,6586.0,6488.0,6500.0,6536.0,-46.0,-10.0,794840.0,2597013.23,288029.0,-18527.0,PF2105.ZCE,PF2109.ZCE,6414.0,6410.0,6394.0,6430.0,6356.0,6370.0,6392.0,-40.0,-18.0,2028.0,6481.91,5910.0,-229.0,PF.ZCE,,1.0,6500.0,6536.0,6586.0,6488.0,6536.0
20201022,6500.0,6536.0,6530.0,6546.0,6274.0,6274.0,6372.0,-262.0,-164.0,1221706.0,3891460.09,224512.0,-63517.0,PF2105.ZCE,PF2109.ZCE,6370.0,6392.0,6376.0,6404.0,6142.0,6162.0,6200.0,-230.0,-192.0,9243.0,28649.04,7359.0,1449.0,PF.ZCE,,1.0,6274.0,6530.0,6546.0,6274.0,6372.0
20201023,6274.0,6372.0,6252.0,6314.0,6214.0,6238.0,6270.0,-134.0,-102.0,646077.0,2025494.23,174759.0,-49753.0,PF2105.ZCE,PF2109.ZCE,6162.0,6200.0,6164.0,6206.0,6112.0,6132.0,6166.0,-68.0,-34.0,6965.0,21469.02,4617.0,-2742.0,PF.ZCE,,1.0,6238.0,6252.0,6314.0,6214.0,6270.0
20201026,6238.0,6270.0,6236.0,6326.0,6228.0,6254.0,6274.0,-16.0,4.0,479646.0,1504593.52,172231.0,-2528.0,PF2105.ZCE,PF2109.ZCE,6132.0,6166.0,6134.0,6208.0,6126.0,6144.0,6164.0,-22.0,-2.0,1686.0,5196.6,4209.0,-408.0,PF.ZCE,,1.0,6254.0,6236.0,6326.0,6228.0,6274.0
20201027,6254.0,6274.0,6218.0,6286.0,6136.0,6144.0,6212.0,-130.0,-62.0,453060.0,1407140.59,170317.0,-1914.0,PF2105.ZCE,PF2109.ZCE,6144.0,6164.0,6114.0,6176.0,6046.0,6050.0,6116.0,-114.0,-48.0,1353.0,4137.34,4078.0,-131.0,PF.ZCE,,1.0,6144.0,6218.0,6286.0,6136.0,6212.0
20201028,6144.0,6212.0,6150.0,6206.0,6126.0,6178.0,6162.0,-34.0,-50.0,356361.0,1097950.29,163360.0,-6957.0,PF2105.ZCE,PF2109.ZCE,6050.0,6116.0,6056.0,6122.0,6050.0,6094.0,6080.0,-22.0,-36.0,1760.0,5350.42,4055.0,-23.0,PF.ZCE,,1.0,6178.0,6150.0,6206.0,6126.0,6162.0
20201029,6178.0,6162.0,6130.0,6176.0,6052.0,6058.0,6116.0,-104.0,-46.0,315482.0,964537.84,152349.0,-11011.0,PF2105.ZCE,PF2109.ZCE,6094.0,6080.0,6080.0,6094.0,6000.0,6002.0,6038.0,-78.0,-42.0,1914.0,5778.0,3958.0,-97.0,PF.ZCE,,1.0,6058.0,6130.0,6176.0,6052.0,6116.0
20201030,6058.0,6116.0,6008.0,6102.0,5990.0,6016.0,6044.0,-100.0,-72.0,237954.0,719049.32,138240.0,-14109.0,PF2105.ZCE,PF2109.ZCE,6002.0,6038.0,5956.0,6030.0,5956.0,5974.0,5988.0,-64.0,-50.0,2757.0,8254.32,4199.0,241.0,PF.ZCE,,1.0,6016.0,6008.0,6102.0,5990.0,6044.0
20201102,6016.0,6044.0,6010.0,6172.0,6008.0,6094.0,6116.0,50.0,72.0,380653.0,1163881.19,142514.0,4274.0,PF2105.ZCE,PF2109.ZCE,5974.0,5988.0,5992.0,6084.0,5992.0,6040.0,6046.0,52.0,58.0,1763.0,5328.4,4042.0,-157.0,PF.ZCE,,1.0,6094.0,6010.0,6172.0,6008.0,6116.0
20201103,6094.0,6116.0,6118.0,6162.0,6074.0,6076.0,6126.0,-40.0,10.0,195213.0,597845.72,145515.0,3001.0,PF2105.ZCE,PF2109.ZCE,6040.0,6046.0,6044.0,6098.0,6038.0,6042.0,6070.0,-4.0,24.0,786.0,2385.42,4055.0,13.0,PF.ZCE,,1.0,6076.0,6118.0,6162.0,6074.0,6126.0
20201104,6076.0,6126.0,6110.0,6114.0,6026.0,6066.0,6080.0,-60.0,-46.0,157732.0,479543.84,139596.0,-5919.0,PF2105.ZCE,PF2109.ZCE,6042.0,6070.0,6072.0,6078.0,6000.0,6030.0,6038.0,-40.0,-32.0,1189.0,3589.46,4240.0,185.0,PF.ZCE,,1.0,6066.0,6110.0,6114.0,6026.0,6080.0
20201105,6066.0,6080.0,6080.0,6100.0,5966.0,5982.0,6034.0,-98.0,-46.0,159705.0,481779.12,147914.0,8318.0,PF2105.ZCE,PF2109.ZCE,6030.0,6038.0,6042.0,6050.0,5954.0,5970.0,6004.0,-68.0,-34.0,854.0,2563.13,4426.0,186.0,PF.ZCE,,1.0,5982.0,6080.0,6100.0,5966.0,6034.0
20201106,5982.0,6034.0,5990.0,6004.0,5854.0,5888.0,5924.0,-146.0,-110.0,263988.0,781762.76,149173.0,1259.0,PF2105.ZCE,PF2109.ZCE,5970.0,6004.0,5974.0,5992.0,5844.0,5860.0,5910.0,-144.0,-94.0,1762.0,5207.1,4799.0,373.0,PF.ZCE,,1.0,5888.0,5990.0,6004.0,5854.0,5924.0
20201109,5888.0,5924.0,5880.0,5926.0,5858.0,5902.0,5894.0,-22.0,-30.0,153150.0,451362.23,145719.0,-3454.0,PF2105.ZCE,PF2109.ZCE,5860.0,5910.0,5860.0,5914.0,5838.0,5898.0,5890.0,-12.0,-20.0,852.0,2509.11,5084.0,285.0,PF.ZCE,,1.0,5902.0,5880.0,5926.0,5858.0,5894.0
20201110,5902.0,5894.0,6038.0,6124.0,5944.0,6006.0,6026.0,112.0,132.0,334924.0,1009108.47,137063.0,-8656.0,PF2105.ZCE,PF2109.ZCE,5898.0,5890.0,6000.0,6088.0,5942.0,5968.0,6004.0,78.0,114.0,2095.0,6288.56,4700.0,-384.0,PF.ZCE,,1.0,6006.0,6038.0,6124.0,5944.0,6026.0
20201111,6006.0,6026.0,6022.0,6112.0,6002.0,6066.0,6072.0,40.0,46.0,217347.0,659908.12,140201.0,3138.0,PF2105.ZCE,PF2109.ZCE,5968.0,6004.0,5990.0,6064.0,5974.0,6034.0,6034.0,30.0,30.0,786.0,2370.94,4642.0,-58.0,PF.ZCE,,1.0,6066.0,6022.0,6112.0,6002.0,6072.0
20201112,6066.0,6072.0,6080.0,6136.0,6038.0,6048.0,6088.0,-24.0,16.0,194634.0,592339.3,148000.0,7799.0,PF2105.ZCE,PF2109.ZCE,6034.0,6034.0,6046.0,6070.0,5994.0,6010.0,6036.0,-24.0,2.0,783.0,2362.72,4567.0,-75.0,PF.ZCE,,1.0,6048.0,6080.0,6136.0,6038.0,6088.0
20201113,6048.0,6088.0,6040.0,6070.0,5934.0,5956.0,5992.0,-132.0,-96.0,168873.0,505966.12,145772.0,-2228.0,PF2105.ZCE,PF2109.ZCE,6010.0,6036.0,6020.0,6030.0,5930.0,5944.0,5964.0,-92.0,-72.0,729.0,2173.46,4670.0,103.0,PF.ZCE,,1.0,5956.0,6040.0,6070.0,5934.0,5992.0
20201116,5956.0,5992.0,5904.0,5990.0,5894.0,5964.0,5938.0,-28.0,-54.0,175421.0,520838.88,145686.0,-86.0,PF2105.ZCE,PF2109.ZCE,5944.0,5964.0,5904.0,6002.0,5902.0,5980.0,5936.0,16.0,-28.0,899.0,2668.43,4948.0,278.0,PF.ZCE,,1.0,5964.0,5904.0,5990.0,5894.0,5938.0
