ts_code,mapping_ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,pre_main_close,roll_factor,adj_close,adj_open,adj_high,adj_low,adj_settle
PL.ZCE,PL2601.ZCE,20250722,,6350.0,6550.0,6708.0,6501.0,6613.0,6597.0,263.0,247.0,43897.0,579139.98,7983.0,,,1.0,6613.0,6550.0,6708.0,6501.0,6597.0
PL.ZCE,PL2601.ZCE,20250723,6613.0,6597.0,6600.0,6661.0,6540.0,6578.0,6595.0,-19.0,-2.0,20996.0,276942.96,6668.0,-1315.0,,1.0,6578.0,6600.0,6661.0,6540.0,6595.0
PL.ZCE,PL2601.ZCE,20250724,6578.0,6595.0,6594.0,6622.0,6564.0,6601.0,6590.0,6.0,-5.0,7405.0,97602.87,6140.0,-528.0,,1.0,6601.0,6594.0,6622.0,6564.0,6590.0
PL.ZCE,PL2601.ZCE,20250725,6601.0,6590.0,6630.0,6694.0,6598.0,6657.0,6643.0,67.0,53.0,9663.0,128389.27,5838.0,-302.0,,1.0,6657.0,6630.0,6694.0,6598.0,6643.0
PL.ZCE,PL2601.ZCE,20250728,6657.0,6643.0,6648.0,6674.0,6550.0,6570.0,6595.0,-73.0,-48.0,6292.0,82997.43,5580.0,-258.0,,1.0,6570.0,6648.0,6674.0,6550.0,6595.0
PL.ZCE,PL2601.ZCE,20250729,6570.0,6595.0,6569.0,6594.0,6548.0,6573.0,6575.0,-22.0,-20.0,3081.0,40517.36,5230.0,-350.0,,1.0,6573.0,6569.0,6594.0,6548.0,6575.0
PL.ZCE,PL2601.ZCE,20250730,6573.0,6575.0,6598.0,6605.0,6562.0,6570.0,6587.0,-5.0,12.0,2669.0,35160.73,4992.0,-238.0,,1.0,6570.0,6598.0,6605.0,6562.0,6587.0
PL.ZCE,PL2601.ZCE,20250731,6570.0,6587.0,6574.0,6588.0,6530.0,6545.0,6561.0,-42.0,-26.0,2343.0,30744.27,4700.0,-292.0,,1.0,6545.0,6574.0,6588.0,6530.0,6561.0
PL.ZCE,PL2601.ZCE,20250801,6545.0,6561.0,6555.0,6555.0,6462.0,6474.0,6504.0,-87.0,-57.0,3454.0,44929.98,4575.0,-125.0,,1.0,6474.0,6555.0,6555.0,6462.0,6504.0
PL.ZCE,PL2601.ZCE,20250804,6474.0,6504.0,6480.0,6494.0,6416.0,6481.0,6468.0,-23.0,-36.0,2137.0,27644.28,4486.0,-89.0,,1.0,6481.0,6480.0,6494.0,6416.0,6468.0
PL.ZCE,PL2601.ZCE,20250805,6481.0,6468.0,6464.0,6520.0,6454.0,6512.0,6485.0,44.0,17.0,1971.0,25561.9,4461.0,-25.0,,1.0,6512.0,6464.0,6520.0,6454.0,6485.0
PL.ZCE,PL2601.ZCE,20250806,6512.0,6485.0,6510.0,6555.0,6473.0,6494.0,6499.0,9.0,14.0,1922.0,24983.14,4426.0,-35.0,,1.0,6494.0,6510.0,6555.0,6473.0,6499.0
PL.ZCE,PL2601.ZCE,20250807,6494.0,6499.0,6501.0,6511.0,6470.0,6480.0,6488.0,-19.0,-11.0,1118.0,14506.91,4534.0,108.0,,1.0,6480.0,6501.0,6511.0,6470.0,6488.0
PL.ZCE,PL2601.ZCE,20250808,6480.0,6488.0,6462.0,6496.0,6443.0,6451.0,6461.0,-37.0,-27.0,1187.0,15337.96,4747.0,213.0,,1.0,6451.0,6462.0,6496.0,6443.0,6461.0
