trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,mapping_ts_code,sub_mapping_ts_code,sub_pre_close,sub_pre_settle,sub_open,sub_high,sub_low,sub_close,sub_settle,sub_change1,sub_change2,sub_vol,sub_amount,sub_oi,sub_oi_chg,ts_code,pre_main_close,roll_factor,adj_close,adj_open,adj_high,adj_low,adj_settle
20100104,24460.0,24355.0,24595.0,24750.0,24330.0,24350.0,24585.0,-5.0,230.0,488932.0,6011080.74,138342.0,9478.0,RU1005.SHF,RU1003.SHF,23800.0,23725.0,23910.0,24150.0,23735.0,23750.0,23975.0,25.0,250.0,46970.0,563075.04,58526.0,-9586.0,RU.SHF,,1.0,24350.0,24595.0,24750.0,24330.0,24585.0
20100105,24350.0,24585.0,24545.0,24880.0,24465.0,24705.0,24730.0,120.0,145.0,647784.0,8010806.16,142610.0,4268.0,RU1005.SHF,RU1009.SHF,24630.0,24800.0,24900.0,25085.0,24770.0,24960.0,24975.0,160.0,175.0,1992.0,24875.4,10770.0,300.0,RU.SHF,,1.0,24705.0,24545.0,24880.0,24465.0,24730.0
20100106,24705.0,24730.0,24680.0,25145.0,24635.0,25050.0,24925.0,320.0,195.0,534648.0,6664322.47,149612.0,7002.0,RU1005.SHF,RU1009.SHF,24960.0,24975.0,24860.0,25300.0,24860.0,25170.0,25130.0,195.0,155.0,2712.0,34082.58,11288.0,518.0,RU.SHF,,1.0,25050.0,24680.0,25145.0,24635.0,24925.0
20100107,25050.0,24925.0,25465.0,25740.0,24400.0,24855.0,25100.0,-70.0,175.0,861896.0,10818617.42,153272.0,3660.0,RU1005.SHF,RU1009.SHF,25170.0,25130.0,25310.0,25755.0,24500.0,24880.0,25160.0,-250.0,30.0,6880.0,86567.52,12758.0,1470.0,RU.SHF,,1.0,24855.0,25465.0,25740.0,24400.0,25100.0
20100108,24855.0,25100.0,25030.0,25380.0,24500.0,25355.0,25015.0,255.0,-85.0,1479472.0,18507268.99,192540.0,39268.0,RU1005.SHF,RU1009.SHF,24880.0,25160.0,25100.0,25450.0,24550.0,25445.0,25020.0,285.0,-140.0,8690.0,108730.58,13716.0,958.0,RU.SHF,,1.0,25355.0,25030.0,25380.0,24500.0,25015.0
20100111,25355.0,25015.0,25760.0,26170.0,25480.0,26040.0,25710.0,1025.0,695.0,953166.0,12253476.86,193384.0,844.0,RU1005.SHF,RU1009.SHF,25445.0,25020.0,25650.0,26205.0,25650.0,26135.0,25860.0,1115.0,840.0,7836.0,101325.44,14970.0,1254.0,RU.SHF,,1.0,26040.0,25760.0,26170.0,25480.0,25710.0
20100112,26040.0,25710.0,25980.0,26100.0,25660.0,25860.0,25890.0,150.0,180.0,1097928.0,14213216.22,198120.0,4736.0,RU1005.SHF,RU1009.SHF,26135.0,25860.0,26100.0,26180.0,25785.0,25880.0,25955.0,20.0,95.0,8596.0,111560.84,15128.0,158.0,RU.SHF,,1.0,25860.0,25980.0,26100.0,25660.0,25890.0
20100113,25860.0,25890.0,25100.0,25780.0,24910.0,25305.0,25445.0,-585.0,-445.0,1219774.0,15518708.7,206094.0,7974.0,RU1005.SHF,RU1009.SHF,25880.0,25955.0,25400.0,25760.0,25020.0,25300.0,25435.0,-655.0,-520.0,17364.0,220868.68,17270.0,2142.0,RU.SHF,,1.0,25305.0,25100.0,25780.0,24910.0,25445.0
20100114,25305.0,25445.0,25890.0,25960.0,25555.0,25680.0,25775.0,235.0,330.0,794178.0,10236698.16,195920.0,-10174.0,RU1005.SHF,RU1009.SHF,25300.0,25435.0,25960.0,25990.0,25615.0,25710.0,25845.0,275.0,410.0,13898.0,179613.06,18290.0,1020.0,RU.SHF,,1.0,25680.0,25890.0,25960.0,25555.0,25775.0
20100115,25680.0,25775.0,25500.0,25590.0,24820.0,25050.0,25290.0,-725.0,-485.0,1053678.0,13324235.28,203798.0,7878.0,RU1005.SHF,RU1009.SHF,25710.0,25845.0,25620.0,25650.0,24905.0,25100.0,25300.0,-745.0,-545.0,24160.0,305644.94,20130.0,1840.0,RU.SHF,,1.0,25050.0,25500.0,25590.0,24820.0,25290.0
20100118,25050.0,25290.0,24790.0,24920.0,24575.0,24740.0,24775.0,-550.0,-515.0,674758.0,8359456.08,174026.0,-29772.0,RU1005.SHF,RU1009.SHF,25100.0,25300.0,24900.0,25050.0,24680.0,24905.0,24895.0,-395.0,-405.0,18520.0,230559.15,21576.0,1446.0,RU.SHF,,1.0,24740.0,24790.0,24920.0,24575.0,24775.0
20100119,24740.0,24775.0,25005.0,25405.0,24800.0,25360.0,25045.0,585.0,270.0,920174.0,11524998.95,174766.0,740.0,RU1005.SHF,RU1009.SHF,24905.0,24895.0,25115.0,25745.0,25115.0,25715.0,25375.0,820.0,480.0,44394.0,563348.89,24936.0,3360.0,RU.SHF,,1.0,25360.0,25005.0,25405.0,24800.0,25045.0
20100120,25360.0,25045.0,25540.0,25605.0,25235.0,25270.0,25445.0,225.0,400.0,1042078.0,13257847.39,181660.0,6894.0,RU1005.SHF,RU1009.SHF,25715.0,25375.0,25960.0,26070.0,25600.0,25620.0,25845.0,245.0,470.0,87802.0,1134668.63,30974.0,6038.0,RU.SHF,,1.0,25270.0,25540.0,25605.0,25235.0,25445.0
20100121,25270.0,25445.0,25170.0,25750.0,24955.0,25730.0,25350.0,285.0,-95.0,1028470.0,13036606.61,190406.0,8746.0,RU1005.SHF,RU1009.SHF,25620.0,25845.0,25400.0,26180.0,25255.0,26105.0,25725.0,260.0,-120.0,99122.0,1274968.41,32884.0,1910.0,RU.SHF,,1.0,25730.0,25170.0,25750.0,24955.0,25350.0
