trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,mapping_ts_code,sub_mapping_ts_code,sub_pre_close,sub_pre_settle,sub_open,sub_high,sub_low,sub_close,sub_settle,sub_change1,sub_change2,sub_vol,sub_amount,sub_oi,sub_oi_chg,ts_code,pre_main_close,roll_factor,adj_close,adj_open,adj_high,adj_low,adj_settle
20140808,5804.0,6000.0,5892.0,5898.0,5744.0,5804.0,5796.0,-196.0,-204.0,148816.0,431177.0,31108.0,31108.0,SF1501.ZCE,SF1505.ZCE,5820.0,6000.0,6030.0,6218.0,5790.0,5820.0,5846.0,-180.0,-154.0,452.0,1321.23,142.0,142.0,SF.ZCE,,1.0,5804.0,5892.0,5898.0,5744.0,5796.0
20140811,5832.0,5796.0,5768.0,5882.0,5768.0,5832.0,5838.0,36.0,42.0,106956.0,312177.62,33658.0,2550.0,SF1501.ZCE,SF1505.ZCE,5844.0,5846.0,5812.0,5880.0,5788.0,5844.0,5836.0,-2.0,-10.0,376.0,1097.23,388.0,246.0,SF.ZCE,,1.0,5832.0,5768.0,5882.0,5768.0,5838.0
20140812,5912.0,5838.0,5810.0,5956.0,5808.0,5912.0,5906.0,74.0,68.0,233812.0,690489.88,46588.0,12930.0,SF1501.ZCE,SF1505.ZCE,5888.0,5836.0,5832.0,5930.0,5832.0,5888.0,5894.0,52.0,58.0,560.0,1650.06,724.0,336.0,SF.ZCE,,1.0,5912.0,5810.0,5956.0,5808.0,5906.0
20140813,5926.0,5906.0,5920.0,5946.0,5880.0,5926.0,5910.0,20.0,4.0,119328.0,352601.6,46610.0,22.0,SF1501.ZCE,SF1505.ZCE,5876.0,5894.0,5882.0,5910.0,5854.0,5876.0,5878.0,-18.0,-16.0,98.0,287.99,772.0,48.0,SF.ZCE,,1.0,5926.0,5920.0,5946.0,5880.0,5910.0
20140814,5740.0,5910.0,5918.0,5936.0,5710.0,5740.0,5784.0,-170.0,-126.0,142708.0,412681.57,35404.0,-11206.0,SF1501.ZCE,SF1505.ZCE,5760.0,5878.0,5874.0,5884.0,5732.0,5760.0,5806.0,-118.0,-72.0,678.0,1967.74,588.0,-184.0,SF.ZCE,,1.0,5740.0,5918.0,5936.0,5710.0,5784.0
20140815,5774.0,5784.0,5740.0,5780.0,5730.0,5774.0,5754.0,-10.0,-30.0,63946.0,183984.3,33498.0,-1906.0,SF1501.ZCE,SF1505.ZCE,5760.0,5806.0,5750.0,5768.0,5742.0,5760.0,5756.0,-46.0,-50.0,88.0,253.26,588.0,0.0,SF.ZCE,,1.0,5774.0,5740.0,5780.0,5730.0,5754.0
20140818,5748.0,5754.0,5776.0,5796.0,5730.0,5748.0,5756.0,-6.0,2.0,48440.0,139388.31,33734.0,236.0,SF1501.ZCE,SF1505.ZCE,5760.0,5756.0,5774.0,5776.0,5744.0,5760.0,5758.0,4.0,2.0,64.0,184.25,572.0,-16.0,SF.ZCE,,1.0,5748.0,5776.0,5796.0,5730.0,5756.0
20140819,5776.0,5756.0,5740.0,5780.0,5690.0,5776.0,5744.0,20.0,-12.0,39674.0,113953.13,32334.0,-1400.0,SF1501.ZCE,SF1505.ZCE,5776.0,5758.0,5822.0,5822.0,5730.0,5776.0,5760.0,18.0,2.0,64.0,184.3,574.0,2.0,SF.ZCE,,1.0,5776.0,5740.0,5780.0,5690.0,5744.0
20140820,5730.0,5744.0,5778.0,5778.0,5514.0,5730.0,5730.0,-14.0,-14.0,47588.0,136330.83,33542.0,1208.0,SF1501.ZCE,SF1505.ZCE,5740.0,5760.0,5772.0,5772.0,5736.0,5740.0,5750.0,-20.0,-10.0,24.0,68.98,576.0,2.0,SF.ZCE,,1.0,5730.0,5778.0,5778.0,5514.0,5730.0
20140821,5742.0,5730.0,5746.0,5778.0,5722.0,5742.0,5742.0,12.0,12.0,15598.0,44776.52,33038.0,-504.0,SF1501.ZCE,SF1505.ZCE,5738.0,5750.0,5760.0,5760.0,5738.0,5738.0,5758.0,-12.0,8.0,16.0,46.06,574.0,-2.0,SF.ZCE,,1.0,5742.0,5746.0,5778.0,5722.0,5742.0
20140822,5716.0,5742.0,5736.0,5754.0,5706.0,5716.0,5726.0,-26.0,-16.0,27818.0,79644.16,33512.0,474.0,SF1501.ZCE,SF1505.ZCE,5746.0,5758.0,5752.0,5766.0,5740.0,5746.0,5760.0,-12.0,2.0,66.0,190.04,576.0,2.0,SF.ZCE,,1.0,5716.0,5736.0,5754.0,5706.0,5726.0
20140825,5738.0,5726.0,5710.0,5742.0,5676.0,5738.0,5722.0,12.0,-4.0,40176.0,114936.42,29610.0,-3902.0,SF1501.ZCE,SF1505.ZCE,5760.0,5760.0,5728.0,5766.0,5706.0,5760.0,5748.0,0.0,-12.0,42.0,120.72,570.0,-6.0,SF.ZCE,,1.0,5738.0,5710.0,5742.0,5676.0,5722.0
20140826,5752.0,5722.0,5742.0,5770.0,5726.0,5752.0,5742.0,30.0,20.0,15454.0,44371.16,24442.0,-5168.0,SF1501.ZCE,SF1505.ZCE,5764.0,5748.0,5750.0,5774.0,5750.0,5764.0,5764.0,16.0,16.0,12.0,34.58,570.0,0.0,SF.ZCE,,1.0,5752.0,5742.0,5770.0,5726.0,5742.0
20140827,5766.0,5742.0,5744.0,5788.0,5744.0,5766.0,5770.0,24.0,28.0,16096.0,46428.36,21552.0,-2890.0,SF1501.ZCE,SF1505.ZCE,5786.0,5764.0,5792.0,5798.0,5786.0,5786.0,5792.0,22.0,28.0,10.0,28.96,570.0,0.0,SF.ZCE,,1.0,5766.0,5744.0,5788.0,5744.0,5770.0
20140828,5780.0,5770.0,5760.0,5780.0,5734.0,5780.0,5756.0,10.0,-14.0,11954.0,34400.06,20416.0,-1136.0,SF1501.ZCE,SF1505.ZCE,5808.0,5792.0,5778.0,5808.0,5764.0,5808.0,5778.0,16.0,-14.0,76.0,219.56,570.0,0.0,SF.ZCE,,1.0,5780.0,5760.0,5780.0,5734.0,5756.0
