trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,mapping_ts_code,sub_mapping_ts_code,sub_pre_close,sub_pre_settle,sub_open,sub_high,sub_low,sub_close,sub_settle,sub_change1,sub_change2,sub_vol,sub_amount,sub_oi,sub_oi_chg,ts_code,pre_main_close,roll_factor,adj_close,adj_open,adj_high,adj_low,adj_settle
20190925,,15585.0,15575.0,15760.0,15280.0,15575.0,15555.0,-10.0,-30.0,186460.0,1450449.215,21358.0,21358.0,SS2002.SHF,SS2005.SHF,,15585.0,15090.0,15435.0,14980.0,15200.0,15220.0,-385.0,-365.0,7784.0,59254.02,1710.0,1710.0,SS.SHF,,1.0,15575.0,15575.0,15760.0,15280.0,15555.0
20190926,15575.0,15555.0,15565.0,15935.0,15550.0,15705.0,15715.0,150.0,160.0,106728.0,838712.16,19368.0,-1990.0,SS2002.SHF,SS2005.SHF,15200.0,15220.0,15180.0,15500.0,15175.0,15380.0,15340.0,160.0,120.0,2836.0,21753.665,1830.0,120.0,SS.SHF,,1.0,15705.0,15565.0,15935.0,15550.0,15715.0
20190927,15705.0,15715.0,15715.0,15800.0,15580.0,15725.0,15675.0,10.0,-40.0,28334.0,222107.245,15904.0,-3464.0,SS2002.SHF,SS2005.SHF,15380.0,15340.0,15400.0,15440.0,15260.0,15425.0,15365.0,85.0,25.0,1526.0,11725.69,1722.0,-108.0,SS.SHF,,1.0,15725.0,15715.0,15800.0,15580.0,15675.0
20190930,15725.0,15675.0,15735.0,15790.0,15635.0,15700.0,15695.0,25.0,20.0,15514.0,121751.24,14590.0,-1314.0,SS2002.SHF,SS2005.SHF,15425.0,15365.0,15430.0,15470.0,15335.0,15395.0,15390.0,30.0,25.0,434.0,3340.285,1686.0,-36.0,SS.SHF,,1.0,15700.0,15735.0,15790.0,15635.0,15695.0
20191008,15700.0,15695.0,15630.0,15800.0,15545.0,15675.0,15645.0,-20.0,-50.0,7400.0,57897.42,14614.0,24.0,SS2002.SHF,SS2005.SHF,15395.0,15390.0,15495.0,15505.0,15235.0,15390.0,15330.0,0.0,-60.0,748.0,5735.07,1540.0,-146.0,SS.SHF,,1.0,15675.0,15630.0,15800.0,15545.0,15645.0
20191009,15675.0,15645.0,15630.0,15695.0,15630.0,15675.0,15665.0,30.0,20.0,4898.0,38366.265,14500.0,-114.0,SS2002.SHF,SS2005.SHF,15390.0,15330.0,15365.0,15465.0,15365.0,15395.0,15390.0,65.0,60.0,190.0,1462.24,1504.0,-36.0,SS.SHF,,1.0,15675.0,15630.0,15695.0,15630.0,15665.0
20191010,15675.0,15665.0,15685.0,15895.0,15600.0,15765.0,15690.0,100.0,25.0,11566.0,90758.42,15286.0,786.0,SS2002.SHF,SS2005.SHF,15395.0,15390.0,15435.0,15495.0,15345.0,15485.0,15430.0,95.0,40.0,492.0,3795.79,1536.0,32.0,SS.SHF,,1.0,15765.0,15685.0,15895.0,15600.0,15690.0
20191011,15765.0,15690.0,15800.0,15800.0,15705.0,15745.0,15745.0,55.0,55.0,7914.0,62306.545,14654.0,-632.0,SS2002.SHF,SS2005.SHF,15485.0,15430.0,15485.0,15525.0,15445.0,15450.0,15480.0,20.0,50.0,304.0,2353.075,1542.0,6.0,SS.SHF,,1.0,15745.0,15800.0,15800.0,15705.0,15745.0
20191014,15745.0,15745.0,15775.0,15830.0,15735.0,15765.0,15775.0,20.0,30.0,9842.0,77642.905,14774.0,120.0,SS2002.SHF,SS2005.SHF,15450.0,15480.0,15400.0,15565.0,15400.0,15515.0,15485.0,35.0,5.0,252.0,1951.4,1554.0,12.0,SS.SHF,,1.0,15765.0,15775.0,15830.0,15735.0,15775.0
20191015,15765.0,15775.0,15735.0,15820.0,15165.0,15440.0,15530.0,-335.0,-245.0,23070.0,179176.4,14770.0,-4.0,SS2002.SHF,SS2005.SHF,15515.0,15485.0,15470.0,15530.0,14960.0,15225.0,15290.0,-260.0,-195.0,782.0,5978.745,1656.0,102.0,SS.SHF,,1.0,15440.0,15735.0,15820.0,15165.0,15530.0
20191016,15440.0,15530.0,15405.0,15585.0,15405.0,15490.0,15500.0,-40.0,-30.0,9800.0,75971.62,14062.0,-708.0,SS2002.SHF,SS2005.SHF,15225.0,15290.0,15250.0,15340.0,15220.0,15275.0,15275.0,-15.0,-15.0,228.0,1741.705,1678.0,22.0,SS.SHF,,1.0,15490.0,15405.0,15585.0,15405.0,15500.0
20191017,15490.0,15500.0,15465.0,15510.0,15115.0,15180.0,15275.0,-320.0,-225.0,21976.0,167858.425,14866.0,804.0,SS2002.SHF,SS2005.SHF,15275.0,15275.0,15270.0,15285.0,14975.0,15035.0,15160.0,-240.0,-115.0,634.0,4805.855,1692.0,14.0,SS.SHF,,1.0,15180.0,15465.0,15510.0,15115.0,15275.0
20191018,15180.0,15275.0,15175.0,15245.0,14790.0,15020.0,15030.0,-255.0,-245.0,26950.0,202560.445,16168.0,1302.0,SS2002.SHF,SS2005.SHF,15035.0,15160.0,15035.0,15085.0,14665.0,14900.0,14925.0,-260.0,-235.0,412.0,3075.45,1728.0,36.0,SS.SHF,,1.0,15020.0,15175.0,15245.0,14790.0,15030.0
20191021,15020.0,15030.0,15180.0,15200.0,14680.0,14850.0,14900.0,-180.0,-130.0,24926.0,185729.395,17612.0,1444.0,SS2002.SHF,SS2005.SHF,14900.0,14925.0,15050.0,15050.0,14600.0,14720.0,14755.0,-205.0,-170.0,328.0,2420.06,1754.0,26.0,SS.SHF,,1.0,14850.0,15180.0,15200.0,14680.0,14900.0
20191022,14850.0,14900.0,14850.0,14980.0,14770.0,14895.0,14855.0,-5.0,-45.0,10304.0,76545.3,18188.0,576.0,SS2002.SHF,SS2005.SHF,14720.0,14755.0,14750.0,14820.0,14650.0,14745.0,14730.0,-10.0,-25.0,170.0,1252.43,1754.0,0.0,SS.SHF,,1.0,14895.0,14850.0,14980.0,14770.0,14855.0
20191023,14895.0,14855.0,14940.0,15150.0,14840.0,14975.0,14955.0,120.0,100.0,17532.0,131129.635,17306.0,-882.0,SS2002.SHF,SS2005.SHF,14745.0,14730.0,14740.0,15000.0,14730.0,14840.0,14820.0,110.0,90.0,308.0,2282.815,1720.0,-34.0,SS.SHF,,1.0,14975.0,14940.0,15150.0,14840.0,14955.0
20191024,14975.0,14955.0,14975.0,15130.0,14940.0,15005.0,15050.0,50.0,95.0,11796.0,88770.79,17000.0,-306.0,SS2002.SHF,SS2005.SHF,14840.0,14820.0,14865.0,14995.0,14845.0,14930.0,14915.0,110.0,95.0,88.0,656.335,1698.0,-22.0,SS.SHF,,1.0,15005.0,14975.0,15130.0,14940.0,15050.0
20191025,15005.0,15050.0,15060.0,15080.0,14815.0,14960.0,14930.0,-90.0,-120.0,13594.0,101484.495,17124.0,124.0,SS2002.SHF,SS2005.SHF,14930.0,14915.0,14850.0,14885.0,14700.0,14810.0,14795.0,-105.0,-120.0,140.0,1035.815,1718.0,20.0,SS.SHF,,1.0,14960.0,15060.0,15080.0,14815.0,14930.0
20191028,14960.0,14930.0,14960.0,15065.0,14855.0,15005.0,14945.0,75.0,15.0,9592.0,71691.39,16402.0,-722.0,SS2002.SHF,SS2005.SHF,14810.0,14795.0,14735.0,14900.0,14730.0,14860.0,14790.0,65.0,-5.0,72.0,532.6,1700.0,-18.0,SS.SHF,,1.0,15005.0,14960.0,15065.0,14855.0,14945.0
20191029,15005.0,14945.0,15065.0,15225.0,14965.0,15025.0,15080.0,80.0,135.0,13946.0,105166.44,15906.0,-496.0,SS2002.SHF,SS2005.SHF,14860.0,14790.0,14900.0,15040.0,14810.0,14810.0,14905.0,20.0,115.0,252.0,1878.23,1684.0,-16.0,SS.SHF,,1.0,15025.0,15065.0,15225.0,14965.0,15080.0
20191030,15025.0,15080.0,15020.0,15065.0,14965.0,15065.0,15020.0,-15.0,-60.0,5464.0,41038.525,15738.0,-168.0,SS2002.SHF,SS2005.SHF,14810.0,14905.0,14860.0,14920.0,14810.0,14875.0,14840.0,-30.0,-65.0,80.0,593.735,1642.0,-42.0,SS.SHF,,1.0,15065.0,15020.0,15065.0,14965.0,15020.0
20191031,15065.0,15020.0,15115.0,15115.0,14925.0,14985.0,15015.0,-35.0,-5.0,6612.0,49648.765,15984.0,246.0,SS2002.SHF,SS2005.SHF,14875.0,14840.0,14805.0,14805.0,14805.0,14805.0,14805.0,-35.0,-35.0,2.0,14.805,1642.0,0.0,SS.SHF,,1.0,14985.0,15115.0,15115.0,14925.0,15015.0
20191101,14985.0,15015.0,14990.0,15000.0,14850.0,15000.0,14920.0,-15.0,-95.0,8370.0,62459.735,16230.0,246.0,SS2002.SHF,SS2005.SHF,14805.0,14805.0,14825.0,14830.0,14715.0,14805.0,14770.0,0.0,-35.0,40.0,295.425,1642.0,0.0,SS.SHF,,1.0,15000.0,14990.0,15000.0,14850.0,14920.0
20191104,15000.0,14920.0,14955.0,15005.0,14950.0,14975.0,14970.0,55.0,50.0,4632.0,34680.035,16166.0,-64.0,SS2002.SHF,SS2005.SHF,14805.0,14770.0,14790.0,14835.0,14785.0,14815.0,14805.0,45.0,35.0,16.0,118.455,1638.0,-4.0,SS.SHF,,1.0,14975.0,14955.0,15005.0,14950.0,14970.0
