trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,mapping_ts_code,sub_mapping_ts_code,sub_pre_close,sub_pre_settle,sub_open,sub_high,sub_low,sub_close,sub_settle,sub_change1,sub_change2,sub_vol,sub_amount,sub_oi,sub_oi_chg,ts_code,pre_main_close,roll_factor,adj_close,adj_open,adj_high,adj_low,adj_settle
20130906,,94.168,94.22,94.54,94.14,94.17,94.192,0.002,0.024,34248.0,3231067.288,2625.0,,TF1312.CFX,TF1403.CFX,,94.188,94.694,94.694,94.2,94.288,94.312,0.1,0.124,1840.0,173856.172,218.0,,TF.CFX,,1.0,94.17,94.22,94.54,94.14,94.192
20130909,94.17,94.192,94.156,94.156,93.858,93.906,93.916,-0.286,-0.276,11831.0,1111516.426,2797.0,172.0,TF1312.CFX,TF1403.CFX,94.288,94.312,94.26,94.26,93.982,94.0,94.022,-0.312,-0.29,855.0,80425.426,234.0,16.0,TF.CFX,,1.0,93.906,94.156,94.156,93.858,93.916
20130910,93.906,93.916,93.87,93.916,93.806,93.842,93.846,-0.074,-0.07,5375.0,504553.84,2708.0,-89.0,TF1312.CFX,TF1403.CFX,94.0,94.022,94.0,94.0,93.9,93.93,93.926,-0.092,-0.096,311.0,29222.472,154.0,-80.0,TF.CFX,,1.0,93.842,93.87,93.916,93.806,93.846
20130911,93.842,93.846,93.718,93.78,93.494,93.598,93.556,-0.248,-0.29,8830.0,826583.424,3293.0,585.0,TF1312.CFX,TF1403.CFX,93.93,93.926,93.792,93.86,93.596,93.688,93.63,-0.238,-0.296,348.0,32607.62,221.0,67.0,TF.CFX,,1.0,93.598,93.718,93.78,93.494,93.556
20130912,93.598,93.556,93.59,93.83,93.59,93.728,93.752,0.172,0.196,8379.0,785382.346,2871.0,-422.0,TF1312.CFX,TF1403.CFX,93.688,93.63,93.706,93.942,93.706,93.842,93.868,0.212,0.238,328.0,30779.412,202.0,-19.0,TF.CFX,,1.0,93.728,93.59,93.83,93.59,93.752
20130913,93.728,93.752,93.7,93.846,93.678,93.764,93.768,0.012,0.016,6901.0,647037.948,3000.0,129.0,TF1312.CFX,TF1403.CFX,93.842,93.868,93.828,93.956,93.79,93.892,93.884,0.024,0.016,159.0,14924.2,182.0,-20.0,TF.CFX,,1.0,93.764,93.7,93.846,93.678,93.768
20130916,93.764,93.768,93.764,93.938,93.74,93.854,93.86,0.086,0.092,3850.0,361328.69,3189.0,189.0,TF1312.CFX,TF1403.CFX,93.892,93.884,93.9,94.042,93.898,93.966,93.98,0.082,0.096,91.0,8550.938,169.0,-13.0,TF.CFX,,1.0,93.854,93.764,93.938,93.74,93.86
20130917,93.854,93.86,93.87,94.558,93.842,94.234,94.244,0.374,0.384,22275.0,2098985.08,5022.0,1833.0,TF1312.CFX,TF1403.CFX,93.966,93.98,94.002,94.648,93.98,94.044,94.298,0.064,0.318,528.0,49819.438,166.0,-3.0,TF.CFX,,1.0,94.234,93.87,94.558,93.842,94.244
20130918,94.234,94.244,94.25,94.378,94.1,94.206,94.218,-0.038,-0.026,10692.0,1007516.842,4465.0,-557.0,TF1312.CFX,TF1403.CFX,94.044,94.298,94.294,94.45,94.2,94.31,94.284,0.012,-0.014,220.0,20747.102,172.0,6.0,TF.CFX,,1.0,94.206,94.25,94.378,94.1,94.218
20130923,94.206,94.218,94.55,94.592,94.27,94.35,94.36,0.132,0.142,7345.0,693197.146,4527.0,62.0,TF1312.CFX,TF1403.CFX,94.31,94.284,94.6,94.6,94.37,94.438,94.458,0.154,0.174,212.0,20025.27,194.0,22.0,TF.CFX,,1.0,94.35,94.55,94.592,94.27,94.36
