trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,mapping_ts_code,sub_mapping_ts_code,sub_pre_close,sub_pre_settle,sub_open,sub_high,sub_low,sub_close,sub_settle,sub_change1,sub_change2,sub_vol,sub_amount,sub_oi,sub_oi_chg,ts_code,pre_main_close,roll_factor,adj_close,adj_open,adj_high,adj_low,adj_settle
20180817,,99.36,99.4,99.405,99.075,99.16,99.14,-0.2,-0.22,8559.0,1699130.2,2973.0,,TS1812.CFX,TS1903.CFX,,99.08,99.21,99.235,99.14,99.175,99.17,0.095,0.09,8.0,1586.91,5.0,,TS.CFX,,1.0,99.16,99.4,99.405,99.075,99.14
20180820,99.16,99.14,99.1,99.26,99.1,99.215,99.21,0.075,0.07,1865.0,370047.77,3172.0,199.0,TS1812.CFX,TS1903.CFX,99.175,99.17,99.1,99.1,99.1,99.1,99.1,-0.07,-0.07,1.0,198.2,4.0,-1.0,TS.CFX,,1.0,99.215,99.1,99.26,99.1,99.21
20180821,99.215,99.21,99.185,99.235,99.12,99.185,99.195,-0.025,-0.015,1339.0,265587.44,3265.0,93.0,TS1812.CFX,TS1903.CFX,99.1,99.1,,,,99.1,99.085,0.0,-0.015,0.0,0.0,4.0,0.0,TS.CFX,,1.0,99.185,99.185,99.235,99.12,99.195
20180822,99.185,99.195,99.235,99.29,99.19,99.2,99.195,0.005,0.0,1225.0,243145.64,3554.0,289.0,TS1812.CFX,TS1903.CFX,99.1,99.085,,,,99.1,99.085,0.015,0.0,0.0,0.0,4.0,0.0,TS.CFX,,1.0,99.2,99.235,99.29,99.19,99.195
20180823,99.2,99.195,99.28,99.28,99.225,99.275,99.245,0.08,0.05,819.0,162581.43,3480.0,-74.0,TS1812.CFX,TS1903.CFX,99.1,99.085,99.115,99.115,99.115,99.115,99.115,0.03,0.03,1.0,198.23,4.0,0.0,TS.CFX,,1.0,99.275,99.28,99.28,99.225,99.245
20180824,99.275,99.245,99.305,99.38,99.29,99.31,99.325,0.065,0.08,464.0,92189.72,3359.0,-121.0,TS1812.CFX,TS1903.CFX,99.115,99.115,98.985,99.2,98.985,99.2,99.09,0.085,-0.025,2.0,396.37,4.0,0.0,TS.CFX,,1.0,99.31,99.305,99.38,99.29,99.325
20180827,99.31,99.325,99.27,99.3,99.205,99.27,99.275,-0.055,-0.05,671.0,133198.71,3559.0,200.0,TS1812.CFX,TS1903.CFX,99.2,99.09,,,,99.2,99.04,0.11,-0.05,0.0,0.0,4.0,0.0,TS.CFX,,1.0,99.27,99.27,99.3,99.205,99.275
20180828,99.27,99.275,99.215,99.315,99.185,99.275,99.29,0.0,0.015,574.0,113935.08,3537.0,-22.0,TS1812.CFX,TS1903.CFX,99.2,99.04,99.2,99.22,99.17,99.2,99.2,0.16,0.16,16.0,3174.52,15.0,11.0,TS.CFX,,1.0,99.275,99.215,99.315,99.185,99.29
20180829,99.275,99.29,99.27,99.32,99.225,99.31,99.31,0.02,0.02,210.0,41703.52,3525.0,-12.0,TS1812.CFX,TS1903.CFX,99.2,99.2,,,,99.2,99.22,0.0,0.02,0.0,0.0,15.0,0.0,TS.CFX,,1.0,99.31,99.27,99.32,99.225,99.31
20180830,99.31,99.31,99.335,99.435,99.3,99.365,99.345,0.055,0.035,533.0,105885.02,3425.0,-100.0,TS1812.CFX,TS1903.CFX,99.2,99.22,99.25,99.25,99.25,99.25,99.25,0.03,0.03,4.0,794.0,19.0,4.0,TS.CFX,,1.0,99.365,99.335,99.435,99.3,99.345
20180831,99.365,99.345,99.36,99.4,99.315,99.375,99.385,0.03,0.04,239.0,47504.63,3338.0,-87.0,TS1812.CFX,TS1903.CFX,99.25,99.25,99.28,99.3,99.28,99.3,99.29,0.05,0.04,2.0,397.16,19.0,0.0,TS.CFX,,1.0,99.375,99.36,99.4,99.315,99.385
20180903,99.375,99.385,99.35,99.365,99.31,99.33,99.315,-0.055,-0.07,108.0,21457.62,3310.0,-28.0,TS1812.CFX,TS1903.CFX,99.3,99.29,,,,99.3,99.22,0.01,-0.07,0.0,0.0,19.0,0.0,TS.CFX,,1.0,99.33,99.35,99.365,99.31,99.315
20180904,99.33,99.315,99.315,99.315,99.265,99.28,99.275,-0.035,-0.04,90.0,17871.11,3307.0,-3.0,TS1812.CFX,TS1903.CFX,99.3,99.22,,,,99.3,99.18,0.08,-0.04,0.0,0.0,19.0,0.0,TS.CFX,,1.0,99.28,99.315,99.315,99.265,99.275
20180905,99.28,99.275,99.29,99.315,99.275,99.275,99.28,0.0,0.005,109.0,21645.77,3311.0,4.0,TS1812.CFX,TS1903.CFX,99.3,99.18,,,,99.3,99.185,0.12,0.005,0.0,0.0,19.0,0.0,TS.CFX,,1.0,99.275,99.29,99.315,99.275,99.28
20180906,99.275,99.28,99.29,99.305,99.265,99.27,99.28,-0.01,0.0,204.0,40506.74,3267.0,-44.0,TS1812.CFX,TS1903.CFX,99.3,99.185,,,,99.3,99.185,0.115,0.0,0.0,0.0,19.0,0.0,TS.CFX,,1.0,99.27,99.29,99.305,99.265,99.28
20180907,99.27,99.28,99.26,99.28,99.245,99.255,99.265,-0.025,-0.015,360.0,71471.57,3257.0,-10.0,TS1812.CFX,TS1903.CFX,99.3,99.185,,,,99.3,99.17,0.115,-0.015,0.0,0.0,19.0,0.0,TS.CFX,,1.0,99.255,99.26,99.28,99.245,99.265
20180910,99.255,99.265,99.25,99.275,99.22,99.25,99.24,-0.015,-0.025,393.0,78009.43,3233.0,-24.0,TS1812.CFX,TS1903.CFX,99.3,99.17,,,,99.3,99.145,0.13,-0.025,0.0,0.0,19.0,0.0,TS.CFX,,1.0,99.25,99.25,99.275,99.22,99.24
20180911,99.25,99.24,99.26,99.265,99.205,99.24,99.225,0.0,-0.015,383.0,76006.83,3261.0,28.0,TS1812.CFX,TS1903.CFX,99.3,99.145,,,,99.3,99.13,0.155,-0.015,0.0,0.0,19.0,0.0,TS.CFX,,1.0,99.24,99.26,99.265,99.205,99.225
20180912,99.24,99.225,99.25,99.255,99.22,99.24,99.24,0.015,0.015,365.0,72444.01,3188.0,-73.0,TS1812.CFX,TS1903.CFX,99.3,99.13,,,,99.3,99.145,0.17,0.015,0.0,0.0,19.0,0.0,TS.CFX,,1.0,99.24,99.25,99.255,99.22,99.24
20180913,99.24,99.24,99.225,99.31,99.22,99.27,99.28,0.03,0.04,267.0,53007.13,3121.0,-67.0,TS1812.CFX,TS1903.CFX,99.3,99.145,99.18,99.25,99.18,99.25,99.235,0.105,0.09,8.0,1587.76,27.0,8.0,TS.CFX,,1.0,99.27,99.225,99.31,99.22,99.28
20180914,99.27,99.28,99.295,99.305,99.275,99.3,99.3,0.02,0.02,129.0,25617.76,3080.0,-41.0,TS1812.CFX,TS1903.CFX,99.25,99.235,,,,99.25,99.255,0.015,0.02,0.0,0.0,27.0,0.0,TS.CFX,,1.0,99.3,99.295,99.305,99.275,99.3
20180917,99.3,99.3,99.405,99.405,99.325,99.345,99.34,0.045,0.04,163.0,32386.48,3118.0,38.0,TS1812.CFX,TS1903.CFX,99.25,99.255,,,,99.25,99.295,-0.005,0.04,0.0,0.0,27.0,0.0,TS.CFX,,1.0,99.345,99.405,99.405,99.325,99.34
20180918,99.345,99.34,99.385,99.385,99.335,99.34,99.345,0.0,0.005,126.0,25036.24,3123.0,5.0,TS1812.CFX,TS1903.CFX,99.25,99.295,,,,99.25,99.3,-0.045,0.005,0.0,0.0,27.0,0.0,TS.CFX,,1.0,99.34,99.385,99.385,99.335,99.345
20180919,99.34,99.345,99.35,99.375,99.31,99.31,99.315,-0.035,-0.03,262.0,52047.43,3112.0,-11.0,TS1812.CFX,TS1903.CFX,99.25,99.3,,,,99.25,99.27,-0.05,-0.03,0.0,0.0,27.0,0.0,TS.CFX,,1.0,99.31,99.35,99.375,99.31,99.315
20180920,99.31,99.315,99.27,99.3,99.25,99.275,99.28,-0.04,-0.035,163.0,32366.98,3101.0,-11.0,TS1812.CFX,TS1903.CFX,99.25,99.27,,,,99.25,99.235,-0.02,-0.035,0.0,0.0,27.0,0.0,TS.CFX,,1.0,99.275,99.27,99.3,99.25,99.28
20180921,99.275,99.28,99.27,99.32,99.27,99.32,99.3,0.04,0.02,140.0,27801.2,3038.0,-63.0,TS1812.CFX,TS1903.CFX,99.25,99.235,,,,99.25,99.255,0.015,0.02,0.0,0.0,27.0,0.0,TS.CFX,,1.0,99.32,99.27,99.32,99.27,99.3
20180925,99.32,99.3,99.305,99.33,99.28,99.295,99.29,-0.005,-0.01,136.0,27009.03,3066.0,28.0,TS1812.CFX,TS1903.CFX,99.25,99.255,,,,99.25,99.245,-0.005,-0.01,0.0,0.0,27.0,0.0,TS.CFX,,1.0,99.295,99.305,99.33,99.28,99.29
20180926,99.295,99.29,99.28,99.345,99.275,99.34,99.335,0.05,0.045,168.0,33366.68,3058.0,-8.0,TS1812.CFX,TS1903.CFX,99.25,99.245,,,,99.25,99.29,0.005,0.045,0.0,0.0,27.0,0.0,TS.CFX,,1.0,99.34,99.28,99.345,99.275,99.335
20180927,99.34,99.335,99.38,99.4,99.345,99.395,99.385,0.06,0.05,205.0,40741.68,3045.0,-13.0,TS1812.CFX,TS1903.CFX,99.25,99.29,99.32,99.375,99.315,99.315,99.355,0.025,0.065,12.0,2384.26,36.0,9.0,TS.CFX,,1.0,99.395,99.38,99.4,99.345,99.385
20180928,99.395,99.385,99.45,99.45,99.36,99.39,99.395,0.005,0.01,191.0,37969.07,2998.0,-47.0,TS1812.CFX,TS1903.CFX,99.315,99.355,99.4,99.4,99.37,99.37,99.385,0.015,0.03,10.0,1987.94,44.0,8.0,TS.CFX,,1.0,99.39,99.45,99.45,99.36,99.395
20181008,99.39,99.395,99.38,99.405,99.32,99.385,99.395,-0.01,0.0,162.0,32196.7,2990.0,-8.0,TS1812.CFX,TS1903.CFX,99.37,99.385,,,,99.37,99.385,-0.015,0.0,0.0,0.0,44.0,0.0,TS.CFX,,1.0,99.385,99.38,99.405,99.32,99.395
20181009,99.385,99.395,99.385,99.505,99.385,99.45,99.455,0.055,0.06,271.0,53898.55,3043.0,53.0,TS1812.CFX,TS1903.CFX,99.37,99.385,,,,99.37,99.445,-0.015,0.06,0.0,0.0,44.0,0.0,TS.CFX,,1.0,99.45,99.385,99.505,99.385,99.455
20181010,99.45,99.455,99.48,99.48,99.43,99.45,99.44,-0.005,-0.015,195.0,38784.98,3053.0,10.0,TS1812.CFX,TS1903.CFX,99.37,99.445,,,,99.37,99.43,-0.075,-0.015,0.0,0.0,44.0,0.0,TS.CFX,,1.0,99.45,99.48,99.48,99.43,99.44
20181011,99.45,99.44,99.54,99.55,99.485,99.515,99.51,0.075,0.07,208.0,41398.87,3064.0,11.0,TS1812.CFX,TS1903.CFX,99.37,99.43,,,,99.37,99.5,-0.06,0.07,0.0,0.0,44.0,0.0,TS.CFX,,1.0,99.515,99.54,99.55,99.485,99.51
20181012,99.515,99.51,99.505,99.53,99.495,99.525,99.515,0.015,0.005,119.0,23684.12,3065.0,1.0,TS1812.CFX,TS1903.CFX,99.37,99.5,,,,99.37,99.505,-0.13,0.005,0.0,0.0,44.0,0.0,TS.CFX,,1.0,99.525,99.505,99.53,99.495,99.515
20181015,99.525,99.515,99.52,99.525,99.505,99.51,99.51,-0.005,-0.005,63.0,12538.9,3080.0,15.0,TS1812.CFX,TS1903.CFX,99.37,99.505,,,,99.37,99.5,-0.135,-0.005,0.0,0.0,44.0,0.0,TS.CFX,,1.0,99.51,99.52,99.525,99.505,99.51
20181016,99.51,99.51,99.495,99.535,99.475,99.535,99.52,0.025,0.01,280.0,55720.15,3146.0,66.0,TS1812.CFX,TS1903.CFX,99.37,99.5,,,,99.37,99.51,-0.13,0.01,0.0,0.0,44.0,0.0,TS.CFX,,1.0,99.535,99.495,99.535,99.475,99.52
20181017,99.535,99.52,99.52,99.545,99.51,99.52,99.515,0.0,-0.005,90.0,17914.58,3125.0,-21.0,TS1812.CFX,TS1903.CFX,99.37,99.51,,,,99.37,99.505,-0.14,-0.005,0.0,0.0,44.0,0.0,TS.CFX,,1.0,99.52,99.52,99.545,99.51,99.515
20181018,99.52,99.515,99.535,99.56,99.525,99.535,99.545,0.02,0.03,97.0,19311.51,3143.0,18.0,TS1812.CFX,TS1903.CFX,99.37,99.505,,,,99.37,99.535,-0.135,0.03,0.0,0.0,44.0,0.0,TS.CFX,,1.0,99.535,99.535,99.56,99.525,99.545
20181019,99.535,99.545,99.525,99.56,99.47,99.49,99.49,-0.055,-0.055,277.0,55129.27,3103.0,-40.0,TS1812.CFX,TS1903.CFX,99.37,99.535,,,,99.37,99.48,-0.165,-0.055,0.0,0.0,44.0,0.0,TS.CFX,,1.0,99.49,99.525,99.56,99.47,99.49
20181022,99.49,99.49,99.45,99.46,99.43,99.44,99.44,-0.05,-0.05,172.0,34208.62,3101.0,-2.0,TS1812.CFX,TS1903.CFX,99.37,99.48,,,,99.37,99.43,-0.11,-0.05,0.0,0.0,44.0,0.0,TS.CFX,,1.0,99.44,99.45,99.46,99.43,99.44
20181023,99.44,99.44,99.41,99.49,99.41,99.485,99.48,0.045,0.04,153.0,30434.73,3038.0,-63.0,TS1812.CFX,TS1903.CFX,99.37,99.43,,,,99.37,99.47,-0.06,0.04,0.0,0.0,44.0,0.0,TS.CFX,,1.0,99.485,99.41,99.49,99.41,99.48
20181024,99.485,99.48,99.47,99.51,99.47,99.505,99.5,0.025,0.02,73.0,14525.29,3020.0,-18.0,TS1812.CFX,TS1903.CFX,99.37,99.47,99.505,99.505,99.505,99.505,99.505,0.035,0.035,1.0,199.01,44.0,0.0,TS.CFX,,1.0,99.505,99.47,99.51,99.47,99.5
20181025,99.505,99.5,99.55,99.6,99.52,99.53,99.52,0.03,0.02,114.0,22693.57,3006.0,-14.0,TS1812.CFX,TS1903.CFX,99.505,99.505,,,,99.505,99.525,0.0,0.02,0.0,0.0,44.0,0.0,TS.CFX,,1.0,99.53,99.55,99.6,99.52,99.52
20181026,99.53,99.52,99.515,99.54,99.505,99.53,99.53,0.01,0.01,57.0,11345.79,2990.0,-16.0,TS1812.CFX,TS1903.CFX,99.505,99.525,,,,99.505,99.535,-0.02,0.01,0.0,0.0,44.0,0.0,TS.CFX,,1.0,99.53,99.515,99.54,99.505,99.53
20181029,99.53,99.53,99.55,99.625,99.53,99.615,99.605,0.085,0.075,179.0,35648.58,2972.0,-18.0,TS1812.CFX,TS1903.CFX,99.505,99.535,,,,99.505,99.61,-0.03,0.075,0.0,0.0,44.0,0.0,TS.CFX,,1.0,99.615,99.55,99.625,99.53,99.605
20181030,99.615,99.605,99.65,99.65,99.565,99.61,99.605,0.005,0.0,249.0,49600.19,2907.0,-65.0,TS1812.CFX,TS1903.CFX,99.505,99.61,,,,99.505,99.61,-0.105,0.0,0.0,0.0,44.0,0.0,TS.CFX,,1.0,99.61,99.65,99.65,99.565,99.605
20181031,99.61,99.605,99.595,99.635,99.575,99.635,99.62,0.03,0.015,204.0,40639.58,2865.0,-42.0,TS1812.CFX,TS1903.CFX,99.505,99.61,,,,99.505,99.625,-0.105,0.015,0.0,0.0,44.0,0.0,TS.CFX,,1.0,99.635,99.595,99.635,99.575,99.62
20181101,99.635,99.62,99.63,99.655,99.6,99.64,99.64,0.02,0.02,315.0,62760.58,2844.0,-21.0,TS1812.CFX,TS1903.CFX,99.505,99.625,99.625,99.625,99.62,99.62,99.62,-0.005,-0.005,6.0,1195.45,49.0,5.0,TS.CFX,,1.0,99.64,99.63,99.655,99.6,99.64
20181102,99.64,99.64,99.595,99.645,99.555,99.61,99.605,-0.03,-0.035,428.0,85256.08,2736.0,-108.0,TS1812.CFX,TS1903.CFX,99.62,99.62,99.62,99.625,99.62,99.625,99.62,0.005,0.0,5.0,996.22,54.0,5.0,TS.CFX,,1.0,99.61,99.595,99.645,99.555,99.605
20181105,99.61,99.605,99.57,99.665,99.57,99.655,99.645,0.05,0.04,566.0,112792.71,2656.0,-80.0,TS1812.CFX,TS1903.CFX,99.625,99.62,99.63,99.66,99.63,99.65,99.645,0.03,0.025,369.0,73541.2,423.0,369.0,TS.CFX,,1.0,99.655,99.57,99.665,99.57,99.645
20181106,99.655,99.645,99.65,99.78,99.64,99.78,99.755,0.135,0.11,729.0,145351.28,2379.0,-277.0,TS1812.CFX,TS1903.CFX,99.65,99.645,99.65,99.74,99.65,99.74,99.73,0.095,0.085,154.0,30699.86,563.0,140.0,TS.CFX,,1.0,99.78,99.65,99.78,99.64,99.755
20181107,99.78,99.755,99.755,99.9,99.715,99.885,99.88,0.13,0.125,656.0,130933.34,1949.0,-430.0,TS1812.CFX,TS1903.CFX,99.74,99.73,99.74,99.81,99.74,99.81,99.8,0.08,0.07,56.0,11175.58,580.0,17.0,TS.CFX,,1.0,99.885,99.755,99.9,99.715,99.88
20181108,99.885,99.88,99.83,99.96,99.83,99.945,99.945,0.065,0.065,445.0,88935.48,1840.0,-109.0,TS1812.CFX,TS1903.CFX,99.81,99.8,99.815,99.835,99.79,99.835,99.825,0.035,0.025,22.0,4392.1,571.0,-9.0,TS.CFX,,1.0,99.945,99.83,99.96,99.83,99.945
20181109,99.945,99.945,99.935,99.97,99.89,99.9,99.915,-0.045,-0.03,282.0,56359.67,1741.0,-99.0,TS1812.CFX,TS1903.CFX,99.835,99.825,99.82,99.875,99.785,99.875,99.86,0.05,0.035,150.0,29953.02,663.0,92.0,TS.CFX,,1.0,99.9,99.935,99.97,99.89,99.915
20181112,99.9,99.915,99.92,99.92,99.88,99.9,99.9,-0.015,-0.015,231.0,46154.34,1653.0,-88.0,TS1812.CFX,TS1903.CFX,99.875,99.86,,,,99.875,99.845,0.015,-0.015,0.0,0.0,663.0,0.0,TS.CFX,,1.0,99.9,99.92,99.92,99.88,99.9
20181113,99.9,99.9,99.95,99.95,99.88,99.885,99.9,-0.015,0.0,53.0,10589.37,1624.0,-29.0,TS1812.CFX,TS1903.CFX,99.875,99.845,,,,99.875,99.845,0.03,0.0,0.0,0.0,663.0,0.0,TS.CFX,,1.0,99.885,99.95,99.95,99.88,99.9
20181114,99.885,99.9,99.945,100.095,99.93,100.05,100.055,0.15,0.155,254.0,50816.55,1548.0,-76.0,TS1812.CFX,TS1903.CFX,99.875,99.845,99.965,100.025,99.95,100.0,100.0,0.155,0.155,47.0,9398.74,695.0,32.0,TS.CFX,,1.0,100.05,99.945,100.095,99.93,100.055
20181115,100.05,100.055,100.05,100.1,100.05,100.055,100.06,0.0,0.005,85.0,17012.72,1532.0,-16.0,TS1812.CFX,TS1903.CFX,100.0,100.0,100.1,100.1,100.01,100.01,100.015,0.01,0.015,18.0,3602.45,697.0,2.0,TS.CFX,,1.0,100.055,100.05,100.1,100.05,100.06
20181116,100.055,100.06,100.06,100.1,100.005,100.075,100.075,0.015,0.015,100.0,20015.89,1477.0,-55.0,TS1812.CFX,TS1903.CFX,100.01,100.015,99.99,100.08,99.99,100.06,100.055,0.045,0.04,165.0,33019.39,809.0,112.0,TS.CFX,,1.0,100.075,100.06,100.1,100.005,100.075
20181119,100.075,100.075,100.08,100.08,100.015,100.065,100.035,-0.01,-0.04,158.0,31616.74,1379.0,-98.0,TS1812.CFX,TS1903.CFX,100.06,100.055,100.06,100.08,100.02,100.025,100.035,-0.03,-0.02,110.0,22013.01,827.0,18.0,TS.CFX,,1.0,100.065,100.08,100.08,100.015,100.035
20181120,100.065,100.035,100.045,100.09,100.03,100.035,100.035,0.0,0.0,69.0,13807.92,1341.0,-38.0,TS1812.CFX,TS1903.CFX,100.025,100.035,100.0,100.05,100.0,100.04,100.04,0.005,0.005,53.0,10603.19,829.0,2.0,TS.CFX,,1.0,100.035,100.045,100.09,100.03,100.035
20181121,100.035,100.035,100.105,100.14,100.035,100.04,100.035,0.005,0.0,58.0,11607.69,1321.0,-20.0,TS1812.CFX,TS1903.CFX,100.04,100.04,100.09,100.09,100.0,100.04,100.035,0.0,-0.005,77.0,15405.34,833.0,4.0,TS.CFX,,1.0,100.04,100.105,100.14,100.035,100.035
20181122,100.04,100.035,100.04,100.065,99.995,100.04,100.025,0.005,-0.01,64.0,12805.35,1291.0,-30.0,TS1812.CFX,TS1903.CFX,100.04,100.035,100.05,100.065,99.97,99.975,99.98,-0.06,-0.055,242.0,48408.52,837.0,4.0,TS.CFX,,1.0,100.04,100.04,100.065,99.995,100.025
20181123,100.04,100.025,100.07,100.07,99.965,100.03,100.03,0.005,0.005,31.0,6200.99,1278.0,-13.0,TS1812.CFX,TS1903.CFX,99.975,99.98,100.0,100.025,99.96,99.975,99.975,-0.005,-0.005,116.0,23198.46,840.0,3.0,TS.CFX,,1.0,100.03,100.07,100.07,99.965,100.03
20181126,100.03,100.03,100.135,100.135,99.98,100.045,100.045,0.015,0.015,85.0,17009.88,1235.0,-43.0,TS1812.CFX,TS1903.CFX,99.975,99.975,99.995,100.015,99.925,99.96,99.96,-0.015,-0.015,188.0,37587.54,865.0,25.0,TS.CFX,,1.0,100.045,100.135,100.135,99.98,100.045
