trade_date,M.DCE,Y.DCE,P.DCE,OI.ZCE,RM.ZCE
20100104,0.0,0.0,0.0,,
20100105,0.0,0.0,0.0,,
20100106,0.0,0.0,0.0,,
20100107,0.0,0.0,0.0,,
20100108,0.0,0.0,0.0,,
20100111,0.0,0.0,0.0,,
20100112,0.0,0.0,0.0,,
20100113,0.0,0.0,0.0,,
20100114,0.0,0.0,0.0,,
20100115,0.0,0.0,0.0,,
20100118,0.0,0.0,0.0,,
20100119,0.0,0.0,0.0,,
20100120,0.0,0.0,0.0,,
20100121,0.0,0.0,0.0,,
20100122,0.0,0.0,0.0,,
20100125,0.0,0.0,0.0,,
20100126,0.0,0.0,0.0,,
20100127,0.0,0.0,0.0,,
20100128,0.0,0.0,0.0,,
20100129,0.0,0.0,0.0,,
20100201,16.589810157769794,16.030894478356814,13.035143607546368,,
20100202,30.10581068561197,29.091977883620128,23.760550655934956,,
20100203,40.188141532099245,38.22904109131966,31.275303934666354,,
20100204,16.20950638732894,15.15069491351357,12.477801427722515,,
20100205,-3.1127595761401103,-3.9779380187035707,-2.9066850271076197,,
20100208,-18.709314403399773,-19.208578948774996,-15.3068907580966,,
20100209,-31.500532532456816,-31.71951730927894,-25.61111111074538,,
20100210,-44.856809482643385,-6.570359468782975,-5.320413712407768,,
20100211,-18.640422465604303,13.78534651147958,-20.34968784045861,,
20100212,2.8285322360459544,30.571023245692864,-32.66527661463081,,
20100222,19.653421880842632,43.45295350259641,-12.019579696708675,,
20100223,31.904365002236943,53.54662192584616,4.5741069083036825,,
20100224,42.436747027777514,62.82086838834241,19.216835688112173,,
20100225,50.985152307852616,70.75842401058722,31.70994448236198,,
20100226,57.93621119416237,77.19617429900597,41.830587228307714,,
20100301,63.01565563716362,82.30972205705787,49.9181515127355,,
20100302,67.10482101001871,87.43338315248477,57.439147290897054,,
20100303,70.4409804280487,91.75865075193533,63.31915834011695,,
20100304,73.0582972446722,95.36519580272005,67.74520764338841,,
