trade_date,M.DCE,Y.DCE,P.DCE,OI.ZCE,RM.ZCE
20100104,0.0,0.0,0.0,,
20100105,0.0,0.0,0.0,,
20100106,0.0,0.0,0.0,,
20100107,0.0,0.0,0.0,,
20100108,0.0,0.0,0.0,,
20100111,0.0,0.0,0.0,,
20100112,0.0,0.0,0.0,,
20100113,0.0,0.0,0.0,,
20100114,0.0,0.0,0.0,,
20100115,0.0,0.0,0.0,,
20100118,0.0,0.0,0.0,,
20100119,0.0,0.0,0.0,,
20100120,0.0,0.0,0.0,,
20100121,0.0,0.0,0.0,,
20100122,0.0,0.0,0.0,,
20100125,0.0,0.0,0.0,,
20100126,0.0,0.0,0.0,,
20100127,0.0,0.0,0.0,,
20100128,0.0,0.0,0.0,,
20100129,0.0,0.0,0.0,,
20100201,-16.589810157769794,0.0,0.0,,
20100202,-30.10581068561197,0.0,0.0,,
20100203,-24.549877730687427,0.0,0.0,,
20100204,-20.031603714567307,0.0,0.0,,
20100205,-16.353084086000504,0.0,0.0,,
20100208,-13.355520796161372,0.0,0.0,,
20100209,-10.911047424432185,0.0,0.0,,
20100210,-8.916407276780358,0.0,0.0,,
20100211,-7.28801955920638,0.0,0.0,,
20100212,-5.958098721029145,0.0,0.0,,
20100222,-4.871581918286125,0.0,14.688868478208976,,
20100223,-3.983682710340083,18.013445539805982,26.41464761953646,,
20100224,-3.2579342135949205,14.731750693029644,21.602419288155314,,
20100225,-2.6646176416186935,12.0488874897386,17.668308738912938,,
20100226,-2.1794962091322234,9.85526185745483,14.451608860041082,,
20100301,-1.7827922936740022,8.061443198657976,11.821179958431914,,
20100302,-1.458359259525985,6.594419538171619,9.669958363671594,,
20100303,-1.1930096502671566,5.3945597393512825,7.910501867208983,,
20100304,-0.9759693900074163,4.413145507242324,6.471370688630733,,
20100305,-0.7984337978687679,3.6103637716221852,5.294183536125859,,
20100308,-0.6532060478455426,2.9536718721589876,4.331220338408203,,
20100309,-0.5344025127125749,2.416465180346063,3.543468465412108,,
