Factor,Parameters,Mode,SharpRatio,POT
VIXFix,{'N': 10},RAW,0.229,16.1437
VIXFix,{'N': 10},STATE_MACHINE,0.2289,32.3305
VIXFix,{'N': 20},RAW,0.2506,20.8688
VIXFix,{'N': 20},STATE_MACHINE,0.2289,32.3305
VIXFix,{'N': 30},RAW,0.2625,24.1015
VIXFix,{'N': 30},STATE_MACHINE,0.2291,32.3933
VIXFix,{'N': 40},RAW,0.2225,22.1219
VIXFix,{'N': 40},STATE_MACHINE,0.2291,32.3933
VIXFix,{'N': 50},RAW,0.2127,22.2769
VIXFix,{'N': 50},STATE_MACHINE,0.2291,32.3933
VIXFix,{'N': 60},RAW,0.2167,23.5507
VIXFix,{'N': 60},STATE_MACHINE,0.2291,32.3933
