trade_date,M.DCE,Y.DCE,P.DCE,OI.ZCE,RM.ZCE
20100104,0.0,0.0,0.0,,
20100105,0.0,0.0,0.0,,
20100106,0.0,0.0,0.0,,
20100107,0.0,0.0,0.0,,
20100108,0.0,0.0,0.0,,
20100111,0.0,0.0,0.0,,
20100112,0.0,0.0,0.0,,
20100113,0.0,0.0,0.0,,
20100114,0.0,0.0,0.0,,
20100115,0.0,0.0,0.0,,
20100118,0.0,0.0,0.0,,
20100119,0.0,0.0,0.0,,
20100120,0.0,0.0,0.0,,
20100121,0.0,0.0,0.0,,
20100122,0.0,0.0,0.0,,
20100125,0.0,0.0,0.0,,
20100126,0.0,0.0,0.0,,
20100127,0.0,0.0,0.0,,
20100128,0.0,0.0,0.0,,
20100129,0.0,0.0,0.0,,
20100201,-1.706568008316577,-1.728548622014126,1.3317196838167058,,
20100202,0.4367163739376619,-3.1634433690811825,2.491354632566889,,
20100203,1.97210975532171,-3.9674721873992302,3.089906644174831,,
20100204,3.1075470407800965,-4.441487748337606,1.6327839076145338,,
20100205,3.817168300997938,-4.601084310647545,0.6779183803960862,,
20100208,4.3577638459519354,-2.8699010496063484,-0.0635865716759378,,
20100209,4.641198370815953,-1.639329324630136,-0.5326577496740978,,
20100210,4.638888732138339,-0.9989844967815416,-0.49961108156437667,,
20100211,4.423578304196589,-0.5121597384540119,-0.5663330570027874,,
20100212,4.3050031624764085,-0.16643057323950167,-0.6035526004231335,,
20100222,4.06333398614205,-0.24499953935416965,-0.25226413933192027,,
20100223,3.5512642733582873,-0.43635072271593517,0.1513689941074639,,
20100224,2.995414334337532,-0.755133662431747,0.7103211040500299,,
20100225,2.7489246082000953,-0.6696907536379729,0.7733062849342075,,
20100226,2.5652042154529386,-0.5114701595331195,0.7632538645852245,,
20100301,2.2017344608020335,-0.5835855503506074,0.8638344886989013,,
20100302,1.9214452542036091,-0.8556408546811289,0.25597291458464116,,
20100303,1.6863054451635084,-1.0551277079928343,0.7368327734814059,,
