trade_date,{'N': 10},{'N': 20},{'N': 30},{'N': 40},{'N': 50},{'N': 60}
20100104,0.0,0.0,0.0,0.0,0.0,0.0
20100105,0.0,0.0,0.0,0.0,0.0,0.0
20100106,0.0,0.0,0.0,0.0,0.0,0.0
20100107,0.0,0.0,0.0,0.0,0.0,0.0
20100108,0.0,0.0,0.0,0.0,0.0,0.0
20100111,0.0,0.0,0.0,0.0,0.0,0.0
20100112,0.0,0.0,0.0,0.0,0.0,0.0
20100113,0.0,0.0,0.0,0.0,0.0,0.0
20100114,0.0,0.0,0.0,0.0,0.0,0.0
20100115,0.0,0.0,0.0,0.0,0.0,0.0
20100118,0.23594472030710884,0.0,0.0,0.0,0.0,0.0
20100119,-0.1855023712842988,0.0,0.0,0.0,0.0,0.0
20100120,1.5392831518906118,0.0,0.0,0.0,0.0,0.0
20100121,-0.9756626856957307,0.0,0.0,0.0,0.0,0.0
20100122,0.24778723055364374,0.0,0.0,0.0,0.0,0.0
20100125,-0.06939296636814549,0.0,0.0,0.0,0.0,0.0
20100126,0.014591682702269848,0.0,0.0,0.0,0.0,0.0
20100127,0.014126606520288451,0.0,0.0,0.0,0.0,0.0
20100128,0.6600880347000639,0.0,0.0,0.0,0.0,0.0
20100129,0.38550447192830056,0.0,0.0,0.0,0.0,0.0
20100201,1.736281319571768,0.44116905808613915,0.0,0.0,0.0,0.0
20100202,0.425197653540157,0.01259750468954868,0.0,0.0,0.0,0.0
20100203,-1.335836262705692,-0.8594602653367582,0.0,0.0,0.0,0.0
20100204,0.5117065967711341,0.5601958218794575,0.0,0.0,0.0,0.0
20100205,-0.17789060003283613,-0.19660669405714687,0.0,0.0,0.0,0.0
20100208,-0.9834548638340999,-1.0326557993303398,0.0,0.0,0.0,0.0
20100209,-0.10264149168890879,-0.10047345389809595,0.0,0.0,0.0,0.0
20100210,0.3175901533548714,0.3191190468065437,0.0,0.0,0.0,0.0
20100211,-0.9690003455464038,-0.9807419625464321,0.0,0.0,0.0,0.0
20100212,0.7019809874597991,0.7108191502613277,0.0,0.0,0.0,0.0
20100222,-2.9546266465567417,-2.9803406974562723,-0.8561594211139212,0.0,0.0,0.0
20100223,-2.143025343747934,-2.5084298221957337,-1.3207715275620175,0.0,0.0,0.0
