trade_date,CF.ZCE,SR.ZCE
20100104,0.0,0.0
20100105,0.0,0.0
20100106,0.0,0.0
20100107,0.0,0.0
20100108,0.0,0.0
20100111,0.0,0.0
20100112,0.0,0.0
20100113,0.0,0.0
20100114,0.0,0.0
20100115,0.0,0.0
20100118,0.0,0.0
20100119,0.0,0.0
20100120,0.0,0.0
20100121,0.0,0.0
20100122,0.0,0.0
20100125,0.0,0.0
20100126,0.0,0.0
20100127,0.0,0.0
20100128,0.0,0.0
20100129,0.0,0.0
20100201,0.0,0.0
20100202,0.0,0.0
20100203,0.0,0.0
20100204,0.0,0.0
20100205,0.0,0.0
20100208,0.0,0.0
20100209,0.0,0.0
20100210,0.0,0.0
20100211,0.0,0.0
20100212,0.0,0.0
20100222,0.0,0.0
20100223,0.0,0.0
20100224,0.0,0.0
20100225,0.0,0.0
20100226,0.0,0.0
20100301,0.0,0.0
20100302,0.0,0.0
20100303,0.0,0.0
20100304,0.0,0.0
20100305,0.0,0.0
20100308,7.381448294336294e-07,8.944640109472152e-08
20100309,1.3665301433422254e-06,1.6548715935056047e-07
20100310,1.8836501987902504e-06,2.3479011661918238e-07
20100311,2.285684213534009e-06,2.855547858800472e-07
20100312,2.6202528787401015e-06,3.2326243180164514e-07
20100315,2.941248372734477e-06,3.5412615181774284e-07
20100316,3.2093524016631757e-06,3.773045345395093e-07
20100317,3.405687663030195e-06,4.0995697718871396e-07
20100318,3.5592990717555734e-06,4.326032051526838e-07
20100319,3.6636230343567757e-06,4.518701763515134e-07
20100322,3.918725676866835e-06,4.699118161756822e-07
20100323,4.115005164769179e-06,4.793628480451723e-07
20100324,4.282135098368458e-06,4.871259212950713e-07
20100325,4.445981350132289e-06,4.889299102375083e-07
20100326,4.716639893917061e-06,4.877526392671011e-07
20100329,4.942303481158258e-06,4.860300591702464e-07
20100330,5.116246144279264e-06,4.853820487511237e-07
20100331,5.313249239750117e-06,4.830355726679477e-07
20100401,5.5192060216425255e-06,4.742589646831759e-07
20100402,5.681107487913664e-06,4.664351358018618e-07
20100406,5.822230542409949e-06,4.604277934802133e-07
20100407,6.032605708220902e-06,4.542964020290596e-07
20100408,6.253702317090942e-06,4.5220706894642305e-07
20100409,6.4782294883865125e-06,4.6413692750677504e-07
20100412,6.671428388204744e-06,4.7043173654473447e-07
20100413,6.806146531891032e-06,4.804556204716791e-07
20100414,6.88873042242881e-06,4.885962960887565e-07
20100415,6.9755713037434226e-06,4.880464569097838e-07
20100416,7.048991892503392e-06,4.910438978708771e-07
20100419,7.387701948479905e-06,4.838855418506472e-07
20100420,7.405697444378571e-06,4.7537704522754554e-07
20100421,7.371521380950871e-06,4.824889429744232e-07
20100422,7.331832394678175e-06,4.901585794152727e-07
20100423,7.268683583105866e-06,4.982192304917176e-07
20100426,7.2052541469965205e-06,5.026188999177209e-07
20100427,7.177477321442031e-06,5.056798968159744e-07
20100428,7.100342331658642e-06,5.05327084734902e-07
