Strategy/Factor Name,Robust Params,Rank,Mode,Plateau Verified,Annual Consistency,Sharpe @ Robust,POT @ Robust
Kurtosis,{'N': 20},1,RAW,Yes,High,0.2473,9.8622
Kurtosis,{'N': 20},1,STATE_MACHINE,Yes,High,0.3897,11.6716
Kurtosis,{'N': 10},2,RAW,Yes,High,0.1571,3.6773
Kurtosis,{'N': 10},2,STATE_MACHINE,Yes,High,0.3465,6.0595
Kurtosis,{'N': 30},3,RAW,Yes,High,0.1122,6.0512
Kurtosis,{'N': 30},3,STATE_MACHINE,Yes,High,0.1656,6.8901
OvernightVsIntraday,{'N': 60},1,RAW,Yes,High,-0.0587,-3.7034
OvernightVsIntraday,{'N': 60},1,STATE_MACHINE,Yes,High,0.0184,0.8104
OvernightVsIntraday,{'N': 50},2,RAW,Yes,High,-0.0927,-5.5121
OvernightVsIntraday,{'N': 50},2,STATE_MACHINE,Yes,High,-0.1078,-4.4725
OvernightVsIntraday,{'N': 20},3,RAW,Yes,High,-0.2513,-11.222
OvernightVsIntraday,{'N': 20},3,STATE_MACHINE,Yes,High,-0.3275,-9.2792
Skewness,{'N': 20},1,RAW,Yes,High,0.2279,7.9506
Skewness,{'N': 20},1,STATE_MACHINE,Yes,High,0.0072,0.2032
Skewness,{'N': 60},2,RAW,Yes,High,0.2003,11.3426
Skewness,{'N': 60},2,STATE_MACHINE,Yes,High,0.121,5.5444
Skewness,{'N': 40},3,RAW,Yes,High,0.1587,7.2593
Skewness,{'N': 40},3,STATE_MACHINE,Yes,High,0.1445,5.5536
NoiseFader,{'N': 10},1,RAW,Yes,High,-0.1911,-3.1421
NoiseFader,{'N': 10},1,STATE_MACHINE,Yes,High,-0.2656,-5.7153
NoiseFader,{'N': 20},2,RAW,Yes,High,-0.3118,-7.9356
NoiseFader,{'N': 20},2,STATE_MACHINE,Yes,High,-0.4315,-13.5438
NoiseFader,{'N': 30},3,RAW,Yes,High,-0.3399,-9.8228
NoiseFader,{'N': 30},3,STATE_MACHINE,Yes,High,-0.4366,-14.9913
ShortTermReversal,{'N': 10},1,RAW,Yes,High,-0.3258,-14.124
ShortTermReversal,{'N': 10},1,STATE_MACHINE,Yes,High,-0.2656,-5.7153
ShortTermReversal,{'N': 30},2,RAW,Yes,High,-0.3453,-26.3745
ShortTermReversal,{'N': 30},2,STATE_MACHINE,Yes,High,-0.4366,-14.9913
ShortTermReversal,{'N': 40},3,RAW,Yes,High,-0.3654,-31.402
ShortTermReversal,{'N': 40},3,STATE_MACHINE,Yes,High,-0.6676,-27.0528
AmihudIlliquidity,{'N': 50},1,RAW,Yes,High,0.0018,0.2417
AmihudIlliquidity,{'N': 50},1,STATE_MACHINE,Yes,High,-0.0055,-0.5522
AmihudIlliquidity,{'N': 60},2,RAW,Yes,High,-0.0039,-0.5362
AmihudIlliquidity,{'N': 60},2,STATE_MACHINE,Yes,High,-0.0057,-0.571
AmihudIlliquidity,{'N': 40},3,RAW,Yes,High,-0.0112,-1.4578
AmihudIlliquidity,{'N': 40},3,STATE_MACHINE,Yes,High,-0.008,-0.8111
BuyingSellingPressure,{'N': 50},1,RAW,Yes,High,0.3883,22.3819
BuyingSellingPressure,{'N': 50},1,STATE_MACHINE,Yes,High,0.5104,23.4668
BuyingSellingPressure,{'N': 40},2,RAW,Yes,High,0.3511,19.1776
BuyingSellingPressure,{'N': 40},2,STATE_MACHINE,Yes,High,0.243,10.4059
BuyingSellingPressure,{'N': 60},3,RAW,Yes,High,0.3415,20.588
BuyingSellingPressure,{'N': 60},3,STATE_MACHINE,Yes,High,0.4139,20.3094
BollingerBands,{'N': 50},1,RAW,Yes,High,0.6227,25.5927
BollingerBands,{'N': 50},1,STATE_MACHINE,Yes,High,0.6227,25.5927
BollingerBands,{'N': 60},2,RAW,Yes,High,0.5541,24.4485
BollingerBands,{'N': 60},2,STATE_MACHINE,Yes,High,0.5541,24.4485
BollingerBands,{'N': 30},3,RAW,Yes,High,0.522,16.5046
BollingerBands,{'N': 30},3,STATE_MACHINE,Yes,High,0.522,16.5046
DonchianChannel,{'N': 50},1,RAW,Yes,High,0.7295,33.4837
DonchianChannel,{'N': 50},1,STATE_MACHINE,Yes,High,0.7161,30.3251
DonchianChannel,{'N': 60},2,RAW,Yes,High,0.7022,34.6826
DonchianChannel,{'N': 60},2,STATE_MACHINE,Yes,High,0.7177,31.9196
DonchianChannel,{'N': 40},3,RAW,Yes,High,0.6629,27.6523
DonchianChannel,{'N': 40},3,STATE_MACHINE,Yes,High,0.5931,22.4882
DualMACrossover,"{'fast_n': 5, 'slow_n': 20}",1,RAW,Yes,High,0.3268,16.6572
DualMACrossover,"{'fast_n': 5, 'slow_n': 20}",1,STATE_MACHINE,Yes,High,0.2185,7.6628
DualMACrossover,"{'fast_n': 30, 'slow_n': 60}",2,RAW,Yes,High,0.3088,30.0258
