Factor,Parameters,Mode,SharpRatio,POT
TimeSeriesMomentum,{'N': 10},RAW,0.3258,14.124
TimeSeriesMomentum,{'N': 10},STATE_MACHINE,0.2656,5.7153
TimeSeriesMomentum,{'N': 20},RAW,0.4136,27.0449
TimeSeriesMomentum,{'N': 20},STATE_MACHINE,0.4315,13.5438
TimeSeriesMomentum,{'N': 30},RAW,0.3453,26.3745
TimeSeriesMomentum,{'N': 30},STATE_MACHINE,0.4366,14.9913
TimeSeriesMomentum,{'N': 40},RAW,0.3654,31.402
TimeSeriesMomentum,{'N': 40},STATE_MACHINE,0.6676,27.0528
TimeSeriesMomentum,{'N': 50},RAW,0.4208,38.5681
TimeSeriesMomentum,{'N': 50},STATE_MACHINE,0.6405,27.9744
TimeSeriesMomentum,{'N': 60},RAW,0.4549,44.3349
TimeSeriesMomentum,{'N': 60},STATE_MACHINE,0.6111,28.2375
