trade_date,CF.ZCE,SR.ZCE
20100104,0.0,0.0
20100105,0.0,0.0
20100106,0.0,0.0
20100107,0.0,0.0
20100108,0.0,0.0
20100111,0.0,0.0
20100112,0.0,0.0
20100113,0.0,0.0
20100114,0.0,0.0
20100115,0.0,0.0
20100118,0.0,0.0
20100119,0.0,0.0
20100120,0.0,0.0
20100121,0.0,0.0
20100122,0.0,0.0
20100125,0.0,0.0
20100126,0.0,0.0
20100127,0.0,0.0
20100128,0.0,0.0
20100129,0.0,0.0
20100201,0.0,0.0
20100202,0.0,0.0
20100203,0.0,0.0
20100204,0.0,0.0
20100205,0.0,0.0
20100208,0.0,0.0
20100209,0.0,0.0
20100210,0.0,0.0
20100211,0.0,0.0
20100212,0.0,0.0
20100222,0.0,0.0
20100223,0.0,0.0
20100224,0.0,0.0
20100225,0.0,0.0
20100226,0.0,0.0
20100301,0.0,0.0
20100302,0.0,0.0
20100303,0.0,0.0
20100304,0.0,0.0
20100305,0.0,0.0
20100308,0.0,0.0
20100309,0.0,0.0
20100310,0.0,0.0
20100311,0.0,0.0
20100312,0.0,0.0
20100315,0.0,0.0
20100316,0.0,0.0
20100317,0.0,0.0
20100318,0.0,0.0
20100319,0.0,0.0
20100322,0.0,0.0
20100323,0.0,0.0
20100324,0.0,0.0
20100325,0.0,0.0
20100326,0.0,0.0
20100329,0.0,0.0
20100330,0.0,0.0
20100331,0.0,0.0
20100401,0.0,0.0
20100402,0.0,0.0
20100406,0.0,0.0
20100407,0.0,0.0
20100408,0.0,0.0
20100409,0.0,0.0
20100412,0.0,0.0
20100413,30.205212784760743,0.0
20100414,55.01334638807483,0.0
20100415,76.44846589292976,0.0
20100416,93.92587773738144,0.0
20100419,113.88653344972438,0.0
20100420,126.3877656582724,0.0
20100421,133.94014716668144,0.0
20100422,78.9391574808816,0.0
20100423,33.85675370821987,0.0
20100426,-3.6254862098111764,0.0
20100427,-34.369991833365184,0.0
20100428,-59.343336673567606,0.0
20100429,-80.42664758964092,0.0
20100430,-97.81224345260532,0.0
20100504,-113.85505457410761,0.0
20100505,-125.85404204251411,0.0
20100506,-135.9088798859478,0.0
20100507,-143.16533265051243,0.0
20100510,-148.74025265724006,0.0
20100511,-153.14082672501937,0.0
20100512,-156.76238752010804,0.0
20100513,-158.41314542798636,0.0
20100514,-159.8963354531981,0.0
20100517,-161.1317381570835,0.0
20100518,-159.10998895774625,0.0
20100519,-158.0740219051356,0.0
20100520,-158.39921545804904,0.0
20100521,-157.46521245891884,0.0
20100524,-156.34755245535055,0.0
20100525,-154.4607308059992,0.0
20100526,-151.78812685993358,0.0
20100527,-149.76550200953162,0.0
20100528,-146.80640500606856,0.0
20100531,-144.31611781699507,0.0
20100601,-141.92249038953156,0.0
20100602,-137.5489316255188,0.0
20100603,-133.936602608567,0.0
20100604,-131.4299924630526,0.0
20100607,-127.71263050614357,0.0
20100608,-123.4969705518026,0.0
