trade_date,FU.SHF,SC.INE,LU.INE,BU.SHF,RU.SHF,SP.SHF,L.DCE,V.DCE,PP.DCE,EG.DCE,EB.DCE,PG.DCE,BZ.DCE,TA.ZCE,MA.ZCE,FG.ZCE,SA.ZCE,PF.ZCE,PX.ZCE,SH.ZCE,PL.ZCE
20100104,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100105,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100106,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100107,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100108,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100111,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100112,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100113,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100114,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100115,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100118,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100119,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100120,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100121,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100122,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100125,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100126,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100127,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100128,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100129,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100201,0.017024050136539234,,,,-0.02371052232719377,,-0.03788051257158879,-0.08458031653832868,,,,,,-0.0040412215626432465,,,,,,,
20100202,0.005078460110312485,,,,-0.061893652170789994,,-0.07842664120465721,-0.16849027912507517,,,,,,-0.017715880663528697,,,,,,,
20100203,-0.012049327218869525,,,,-0.09909316574905477,,-0.11710481338336212,-0.20485856940355676,,,,,,-0.02992861956696741,,,,,,,
20100204,0.007775131767995965,,,,-0.10305628116127324,,-0.12160068105085606,-0.19927571890187817,,,,,,-0.01585422846202035,,,,,,,
20100205,0.04380798775137137,,,,-0.09340906627440645,,-0.09835205864629155,-0.14923946250176204,,,,,,0.02712502701321517,,,,,,,
20100208,0.07922974623936332,,,,-0.09601745100105387,,-0.0773322932761999,-0.08571754548971947,,,,,,0.06959703302653751,,,,,,,
20100209,0.1110842396926473,,,,-0.08919458268399931,,-0.048049626771033443,-0.02475895672784729,,,,,,0.09798881564238629,,,,,,,
20100210,0.09351009139218838,,,,-0.09157890501994324,,-0.022723344735902245,0.016030558687325856,,,,,,0.09967580324253829,,,,,,,
20100211,0.0926217278496288,,,,-0.0788076385960557,,-0.007967308553978994,0.049316494796326105,,,,,,0.0981934351583897,,,,,,,
20100212,0.09861950169496146,,,,-0.06366757046827903,,0.018222044311282572,0.09106338527289073,,,,,,0.11663922928925681,,,,,,,
20100222,0.05629378576463664,,,,-0.06892626503544029,,-0.03135602223447051,0.06542500971292418,,,,,,0.08429551469718168,,,,,,,
20100223,0.022820498193736268,,,,-0.06513477373282742,,-0.06344587686590941,0.05917094570273378,,,,,,0.06362677927376505,,,,,,,
20100224,0.0067923886533111915,,,,-0.04726947509364577,,-0.07620860423585353,0.07420119064435052,,,,,,0.07500331245658068,,,,,,,
20100225,-0.027456948626884366,,,,-0.05032790252509269,,-0.1128725547116198,0.04796143098330765,,,,,,0.05575647013565388,,,,,,,
20100226,-0.06446806707547792,,,,-0.06187367883419991,,-0.14990889700743937,0.005361187315075843,,,,,,0.032652098949715845,,,,,,,
20100301,-0.10647762340490687,,,,-0.09927212059666285,,-0.19240075733465722,-0.03758957223133379,,,,,,-0.011849171913559385,,,,,,,
20100302,-0.1338045963766297,,,,-0.11890589840072441,,-0.21738637297426114,-0.055612185466581726,,,,,,-0.0368499673047903,,,,,,,
20100303,-0.1599480362494665,,,,-0.13218647593050334,,-0.22682491868293056,-0.0660379006478955,,,,,,-0.049480968880083236,,,,,,,
20100304,-0.19923985630488894,,,,-0.16125793589757784,,-0.2614436353655569,-0.0786957622416992,,,,,,-0.07699815254784723,,,,,,,
20100305,-0.23449695797646225,,,,-0.17870772163379958,,-0.29528958623510526,-0.09777035346812744,,,,,,-0.10588048785836139,,,,,,,
20100308,-0.2625628610108677,,,,-0.18124408948852613,,-0.32093604693710237,-0.09577988195857776,,,,,,-0.12251130967203752,,,,,,,
20100309,-0.26503382166239464,,,,-0.16649306872405772,,-0.3198265260291415,-0.07362650127155622,,,,,,-0.11238328105683869,,,,,,,
20100310,-0.2597864254361306,,,,-0.1468755448568214,,-0.30262767255977613,-0.06249168649431719,,,,,,-0.1056059540485052,,,,,,,
20100311,-0.26213644317034696,,,,-0.14650422355891365,,-0.31163030512221196,-0.0845091727643831,,,,,,-0.117921409375724,,,,,,,
20100312,-0.32154877397795967,,,,-0.17578839068450547,,-0.3433329168377762,-0.1348705879386527,,,,,,-0.17113089491822675,,,,,,,
20100315,-0.3616505567511145,,,,-0.19884714054833016,,-0.3816075728431011,-0.20276011258123927,,,,,,-0.22032026796749654,,,,,,,
20100316,-0.39168622470511144,,,,-0.20759771013098624,,-0.41568972930453113,-0.25003697256661483,,,,,,-0.26357910045392224,,,,,,,
20100317,-0.39491294800312327,,,,-0.22083675370575326,,-0.42775639969345336,-0.27910843282097775,,,,,,-0.29095882804916856,,,,,,,
20100318,-0.4002573794417988,,,,-0.23379017299410557,,-0.4340466347249939,-0.30781604487751746,,,,,,-0.3232756278952434,,,,,,,
20100319,-0.4147725720413835,,,,-0.23586626862322727,,-0.4324560040931632,-0.31858857803371304,,,,,,-0.37626536777711517,,,,,,,
20100322,-0.36695869058575814,,,,-0.2176406946469236,,-0.38520179085651435,-0.2787636993664721,,,,,,-0.3629649804634877,,,,,,,
20100323,-0.34144144110754066,,,,-0.22527222322581433,,-0.35636271657262136,-0.2680976376821844,,,,,,-0.369500686317101,,,,,,,
20100324,-0.3267350061949508,,,,-0.24007073088854203,,-0.3442180009000976,-0.26987073422406416,,,,,,-0.3802132388354777,,,,,,,
20100325,-0.29432015640339176,,,,-0.22526919944208165,,-0.3219607296251503,-0.2337962174563786,,,,,,-0.36937801550689864,,,,,,,
20100326,-0.27481511529740943,,,,-0.21648694105377636,,-0.294896576690047,-0.19071721145265455,,,,,,-0.3397408791955038,,,,,,,
20100329,-0.23032669375215328,,,,-0.19452267349228833,,-0.26267885001473656,-0.1546564060060664,,,,,,-0.2932293139360343,,,,,,,
20100330,-0.2037628301436455,,,,-0.16810801970410033,,-0.24161102154433137,-0.13376343459824694,,,,,,-0.26298949481042855,,,,,,,
20100331,-0.17640905949308106,,,,-0.15343722864195236,,-0.22523773895861254,-0.12205154207851691,,,,,,-0.2420964672209567,,,,,,,
