,Kurtosis_{'N': 40},Kurtosis_{'N': 30},Kurtosis_{'N': 50},OvernightVsIntraday_{'N': 50},OvernightVsIntraday_{'N': 40},OvernightVsIntraday_{'N': 30},Skewness_{'N': 40},Skewness_{'N': 50},Skewness_{'N': 30},NoiseFader_{'N': 10},NoiseFader_{'N': 60},NoiseFader_{'N': 50},ShortTermReversal_{'N': 60},ShortTermReversal_{'N': 50},ShortTermReversal_{'N': 10},AmihudIlliquidity_{'N': 10},AmihudIlliquidity_{'N': 20},AmihudIlliquidity_{'N': 30},BuyingSellingPressure_{'N': 40},BuyingSellingPressure_{'N': 30},BuyingSellingPressure_{'N': 50},BollingerBands_{'N': 50},BollingerBands_{'N': 60},BollingerBands_{'N': 30},DonchianChannel_{'N': 40},DonchianChannel_{'N': 30},DonchianChannel_{'N': 50},"DualMACrossover_{'fast_n': 20, 'slow_n': 40}","DualMACrossover_{'fast_n': 10, 'slow_n': 40}","DualMACrossover_{'fast_n': 5, 'slow_n': 20}","MACD_{'fast_n': 24, 'slow_n': 52, 'signal_n': 18}","MACD_{'fast_n': 19, 'slow_n': 39, 'signal_n': 9}","MACD_{'fast_n': 6, 'slow_n': 13, 'signal_n': 5}",MovingAverageBias_{'N': 40},MovingAverageBias_{'N': 50},MovingAverageBias_{'N': 30},RSI_{'N': 20},RSI_{'N': 30},RSI_{'N': 10},TimeSeriesMomentum_{'N': 30},TimeSeriesMomentum_{'N': 40},TimeSeriesMomentum_{'N': 20},ATR_{'N': 50},ATR_{'N': 60},ATR_{'N': 20},DownsideUpsideVolatility_{'N': 20},DownsideUpsideVolatility_{'N': 30},DownsideUpsideVolatility_{'N': 10},HistoricalVolatility_{'N': 20},HistoricalVolatility_{'N': 10},HistoricalVolatility_{'N': 50},IntradayAmplitude_{'N': 50},IntradayAmplitude_{'N': 60},IntradayAmplitude_{'N': 40},VIXFix_{'N': 60},VIXFix_{'N': 10},VIXFix_{'N': 20},CMF_{'N': 40},CMF_{'N': 30},CMF_{'N': 50},OBV_{'N': 40},OBV_{'N': 20},OBV_{'N': 10},OpenInterestROC_{'N': 30},OpenInterestROC_{'N': 60},OpenInterestROC_{'N': 40},PriceOiDivergence_{'N': 60},PriceOiDivergence_{'N': 10},PriceOiDivergence_{'N': 50},PriceVolumeCorrelation_{'N': 10},PriceVolumeCorrelation_{'N': 30},PriceVolumeCorrelation_{'N': 20},VolumeMomentum_{'N': 60},VolumeMomentum_{'N': 50},VolumeMomentum_{'N': 40}
Kurtosis_{'N': 40},1.0,0.9398144151215783,0.9560944777053827,0.12812094335016985,0.10970266441417856,0.07683206064449388,0.3064279605656441,0.2831604205194151,0.3266409572005154,0.05030896150620507,-0.21473672904828436,-0.22082610050166537,-0.21473672904828436,-0.22082610050166537,0.05030896150620507,-0.7011898870944706,-0.7978402966641088,-0.7983100349190452,-0.04767416001927811,-0.047438107296514855,-0.023293907779904227,-0.1635170512894076,-0.15121431948023228,-0.16020741823976797,0.017381104763938993,0.01173119017071043,0.02521830521901678,0.22959802118335043,0.21383888307506685,0.18321024747381973,-0.3155350292963793,-0.3696633152899955,-0.41783921645481276,0.20275966814191573,0.2088479994528865,0.20360521420201122,0.17121695691102237,0.22022166853221553,0.1867498330261069,0.21932597476080454,0.22152955622322038,0.1690421345939834,-0.6629934115885203,-0.6635178196228548,-0.6621969174678495,0.17745625368964854,0.2419735442721723,0.2123340252257431,-0.7978402966641088,-0.7011898870944706,-0.7997529148084487,-0.6629934115885203,-0.6635178196228548,-0.6626320447900428,-0.6637347944396822,-0.663707266695731,-0.6637150607966336,-0.10630589584731051,-0.08386586548742997,-0.06003003509356898,-0.1439806707710791,-0.17390648481073384,-0.1822459879253605,0.6392260033113062,0.7449660234165197,0.6961541925115706,-0.2789531496090202,0.04110688923485602,-0.21555997917649417,-0.07378907581902154,-0.1134850259133995,-0.09718770279683273,0.6719529788941281,0.6441690758122922,0.589220946112415
Kurtosis_{'N': 30},0.9398144151215783,1.0,0.8757329207238705,0.12911790537979356,0.11093677435334602,0.07281608475282673,0.34399194985964127,0.31362842503633503,0.37292927995431063,0.028256330367100548,-0.2449182858778983,-0.24807556303957387,-0.2449182858778983,-0.24807556303957387,0.028256330367100548,-0.6095285846213296,-0.7222430426620348,-0.722675351696213,-0.04342393043530229,-0.03664118371421108,-0.01468229339201646,-0.1365570670411676,-0.12645750606007142,-0.128485404048628,0.029803028811685502,0.023705410389936746,0.034770890986090305,0.2617651752994737,0.24854214508961067,0.21837501515159305,-0.31027860418705516,-0.3721079581720264,-0.43456262091992154,0.23844247431637383,0.24218674119723718,0.23886004409045686,0.2099489387364716,0.25715610405608164,0.22353499807884802,0.2563629394073224,0.24806431124343742,0.20821957860908885,-0.5680956882374654,-0.5687578087259145,-0.5672430854407291,0.22433206425172542,0.2898607248226495,0.2488679647683794,-0.7222430426620348,-0.6095285846213296,-0.7243735110707603,-0.5680956882374654,-0.5687578087259145,-0.5673438598506415,-0.5681025692605258,-0.5680750590976307,-0.5680860447596775,-0.09390708658825149,-0.06792019236631928,-0.04507671353368483,-0.12838895769443864,-0.1675502622177048,-0.17888991668887233,0.6117653783436675,0.6817087534486679,0.65593704322785,-0.24752694915123613,0.027468720610050144,-0.21817601716687013,-0.07357039567076508,-0.08227062943270814,-0.07657032352519655,0.659395078871703,0.6381095042747831,0.5901866348694487
Kurtosis_{'N': 50},0.9560944777053827,0.8757329207238705,1.0,0.1488852090066086,0.14271773340006674,0.1173115314758268,0.2586721689626162,0.2500278121497893,0.27953140598314297,0.05288810253836649,-0.21725402950180212,-0.22205596403053743,-0.21725402950180212,-0.22205596403053743,0.05288810253836649,-0.7672985613689288,-0.8505888316427723,-0.851034542160228,-0.023476908179457977,-0.0156456149490887,0.0023018614901477827,-0.17338428637122336,-0.15855267984455162,-0.17259397339737215,0.03278363254942294,0.02697320302961308,0.04312630214760057,0.2259864941928204,0.20833199877348543,0.1716415232322887,-0.3003727528064647,-0.3567016415605845,-0.41374710364741263,0.19552545879569724,0.2039479883093379,0.19494035671532942,0.16299281229864657,0.21292108202118062,0.1684168045003912,0.21198132635296255,0.21658056412847274,0.1606999494512473,-0.7320056262032549,-0.7315525355862919,-0.7316280292557406,0.1504406220462547,0.2152859240500974,0.1855560059963015,-0.8505888316427723,-0.7672985613689288,-0.851927917479936,-0.7320056262032549,-0.7315525355862919,-0.732017967117097,-0.7332066312230153,-0.7331863636018843,-0.733192690155758,-0.08576915264139211,-0.05939578788367274,-0.04114629383294113,-0.13152333615651746,-0.17481047287410054,-0.19116693334548207,0.6265081637736661,0.7959451994027511,0.7085028420332002,-0.3149204120668743,0.04877752495785592,-0.2303099444491868,-0.0738172721692909,-0.11755684634518825,-0.09229641252591933,0.694862774941278,0.6633306704417083,0.5883640582838734
OvernightVsIntraday_{'N': 50},0.12812094335016985,0.12911790537979356,0.1488852090066086,1.0,0.940713547208011,0.8504809027942826,-0.08948843239428286,-0.16250379009080448,-0.0400686478472057,-0.298979545546569,-0.3197849437068001,-0.3910366416418989,-0.3197849437068001,-0.3910366416418989,-0.298979545546569,-0.2915328785169393,-0.27512859667191913,-0.27539432671866015,0.49987484907301166,0.4618792558768872,0.5269144981014926,0.25342677027741317,0.23769378560956914,0.23491124910207128,0.47465596564699625,0.4478859155171985,0.4990672753977134,0.3701200594559635,0.39110616871274806,0.304662137312941,0.3154324542343185,0.20384839268276164,-0.022209525105375185,0.39003776520509587,0.41674630009161584,0.35509515134591746,0.35479619088575864,0.40286141398163977,0.25279475831089654,0.4021619971042208,0.40860523645319213,0.3540644605377489,-0.29258836138132566,-0.29207132728140356,-0.2930998949438239,0.24186093453356144,0.25159226887189906,0.19928178565098545,-0.27512859667191913,-0.2915328785169393,-0.2734509316120799,-0.29258836138132566,-0.29207132728140356,-0.2941596932930991,-0.2913898532106532,-0.29135826540941073,-0.2913631886897889,0.521500424667958,0.4908198743894907,0.5517234764672726,0.33791727606263705,0.25866959989304333,0.19573327604530125,0.15081157198561765,0.19652287706470295,0.11217577924275358,-0.11435378811795893,-0.006135331556892384,-0.0927353625321819,0.28557989647213283,0.25634094523147594,0.31749730861742276,0.23949766912244058,0.24358160510696952,0.18292847107895657
OvernightVsIntraday_{'N': 40},0.10970266441417856,0.11093677435334602,0.14271773340006674,0.940713547208011,1.0,0.9274815523585577,-0.09793455919065763,-0.16630003650114472,-0.04903834420628187,-0.32666853060503437,-0.2984890263718789,-0.36673054490280804,-0.2984890263718789,-0.36673054490280804,-0.32666853060503437,-0.27227118264669015,-0.25705784507094614,-0.2572475789969048,0.5380582937363637,0.5215194098063588,0.5085530576840119,0.2616347203850916,0.2427972953932132,0.23426062926092553,0.5060808423577131,0.4796089374286575,0.5135538688633177,0.38980975445011906,0.41848722053335446,0.33408176948769974,0.3467283692366787,0.2426600417010326,-0.02195149173166869,0.4166390213032597,0.4339663684430506,0.381732197972606,0.38203465738824843,0.424901087006337,0.27628511562966246,0.4242480655611804,0.4233968498684746,0.3813645309512543,-0.27247856791722214,-0.27123612459479307,-0.274018170093178,0.2550036928414669,0.2575549459083597,0.21029965475129678,-0.25705784507094614,-0.27227118264669015,-0.2545152259107757,-0.27247856791722214,-0.27123612459479307,-0.2746808523234026,-0.2722788484654388,-0.2722478975861106,-0.27224979165690727,0.5561447100553695,0.5399890831717563,0.5198805026134778,0.3503143443560024,0.27821319672059364,0.21337558538293008,0.10985919921619519,0.1819042279936408,0.07510967964717893,-0.09744627765050827,0.005755675315583944,-0.06020415624412624,0.29045103816484924,0.25130847587495436,0.31809073556971024,0.22338649098925653,0.21926029980446016,0.15525367556091343
OvernightVsIntraday_{'N': 30},0.07683206064449388,0.07281608475282673,0.1173115314758268,0.8504809027942826,0.9274815523585577,1.0,-0.1242232887921061,-0.16175802656825822,-0.06583648275202249,-0.38475939879517856,-0.2847355653680355,-0.34101562300110433,-0.2847355653680355,-0.34101562300110433,-0.38475939879517856,-0.20573843059150637,-0.193690403848786,-0.19389122730467734,0.5220724570226729,0.5990669334034492,0.47179502078875213,0.29343759930900887,0.2726073898471253,0.27698462003525326,0.5181226215156459,0.5222537456968084,0.507410987597555,0.3918834991013458,0.4336592719995772,0.3810663680080648,0.3889493421535697,0.3131793990547795,0.022222044108209348,0.4388931395703403,0.43794974174505147,0.41935398188451384,0.41884129609896736,0.4515151083609915,0.3244383541868744,0.4509317900722135,0.3885490523643977,0.4182521937494724,-0.20535714312000194,-0.20400405499753382,-0.20745140135931583,0.2867986886123459,0.26403278487901305,0.2497806530963182,-0.193690403848786,-0.20573843059150637,-0.19093245785012633,-0.20535714312000194,-0.20400405499753382,-0.20785811285505806,-0.20539046036965602,-0.20535841516972675,-0.20535989375367328,0.5271608290194987,0.6129185563794978,0.4758311095547531,0.3820024426574692,0.30656536550680086,0.2362528775104195,0.03601654914034897,0.14105378023192444,0.01126029929620565,-0.07419516851544009,0.009293914848838276,-0.02901082595543887,0.3286690966291435,0.2478590402503734,0.32992977861174305,0.17147250206443515,0.16320373914138414,0.10194020440644307
Skewness_{'N': 40},0.3064279605656441,0.34399194985964127,0.2586721689626162,-0.08948843239428286,-0.09793455919065763,-0.1242232887921061,1.0,0.9204224186703472,0.9199686756041913,-0.21161480213767225,-0.42219056094076735,-0.42676038961035256,-0.42219056094076735,-0.42676038961035256,-0.21161480213767225,-0.07287284290058026,-0.20885689758118306,-0.2086193896701019,-0.0029382589867716124,-0.008135106384094285,0.01038977286486497,0.3072613275477085,0.32067721066183713,0.30158943179210324,0.2040019722161357,0.1848526591924621,0.20609838350514542,0.44849811434797177,0.4295058287633713,0.40031752820061467,-0.08171494111518636,-0.18211615114638482,-0.2188840839551777,0.4358987094062782,0.4297569474165273,0.4316254565482637,0.4177700815247492,0.45064129684058657,0.41661552358199433,0.45068204636138204,0.45008133643684217,0.41769135007204805,-0.025557423490223004,-0.024457839286191073,-0.02973089445895212,0.611569921105218,0.6997255480265856,0.5507948251330614,-0.20885689758118306,-0.07287284290058026,-0.20685608813786416,-0.025557423490223004,-0.024457839286191073,-0.026966857400283643,-0.031170552701598176,-0.03116669493217954,-0.03117393616867933,0.063234630299374,0.054728081580144514,0.08487190222358622,0.01272358576324803,0.013990728695342356,0.04516271270494061,0.4097273263540554,0.2776289928497232,0.3813412955957419,0.07582309102246275,-0.05857725007677629,-0.025773502182709844,0.1278760291081186,0.20370064788779063,0.1327207912963511,0.33714258126172597,0.34198789890332076,0.359735271016213
Skewness_{'N': 50},0.2831604205194151,0.31362842503633503,0.2500278121497893,-0.16250379009080448,-0.16630003650114472,-0.16175802656825822,0.9204224186703472,1.0,0.8255787580848669,-0.2041942070611491,-0.41618201026251234,-0.4200742906984869,-0.41618201026251234,-0.4200742906984869,-0.2041942070611491,-0.06628127845166057,-0.20042746752679375,-0.20030745152002524,-0.012176139892019053,0.009846639869791162,-0.005456504579011246,0.2805321606574013,0.299295810278895,0.27066521279133393,0.1633926955990043,0.15716372048130176,0.17044909529912186,0.4084824971780501,0.39433870181093084,0.3860433206086951,-0.11604338116867234,-0.1942955659627362,-0.20793928339009252,0.40423471160061086,0.3977889039423506,0.40804152070778815,0.39674734262075095,0.4090807088960826,0.4065987967360455,0.40915426117046755,0.4054321308025183,0.3966483020445888,-0.01967646696937361,-0.017723200784345257,-0.023278038386136905,0.5715440565870824,0.6356997863722708,0.5245393943079663,-0.20042746752679375,-0.06628127845166057,-0.1991677042914932,-0.01967646696937361,-0.017723200784345257,-0.021007234259784412,-0.025438078165309942,-0.025448377942879744,-0.025451417108108092,0.0455121907358839,0.05709868156774478,0.05832029326264858,-0.0024486915141284146,0.004146986252877237,0.038003509117972914,0.37252673293734617,0.2936302662398513,0.3687375679249864,0.047718985942366794,-0.05669467739460899,-0.03550887669499127,0.09071833374093206,0.15858501118850257,0.08257242292210372,0.32636933699771087,0.3228833008476899,0.3404227959838316
Skewness_{'N': 30},0.3266409572005154,0.37292927995431063,0.27953140598314297,-0.0400686478472057,-0.04903834420628187,-0.06583648275202249,0.9199686756041913,0.8255787580848669,1.0,-0.21540315374002145,-0.42352038994032815,-0.4338383871785191,-0.42352038994032815,-0.4338383871785191,-0.21540315374002145,-0.06296405693634785,-0.2041311185037452,-0.20404565717682166,0.005597938364050774,0.009095486517902937,0.018802288140480957,0.305192068382325,0.31581748702033335,0.30418158805343154,0.2280879308116113,0.20862444537372518,0.2256417526232143,0.48868916714320354,0.4675983453774192,0.4265966763077149,-0.057770836370496625,-0.16823918720145414,-0.2675001965298691,0.46193500697610435,0.45197795529868023,0.4561475372921264,0.4486662971736569,0.4919438559532412,0.4272646834220694,0.49182346140484273,0.4590809611670463,0.4484305438602361,-0.016637419890756913,-0.016554316413528315,-0.018975715734544322,0.6610514534096986,0.7467496570019654,0.572032233174411,-0.2041311185037452,-0.06296405693634785,-0.2036131781594428,-0.016637419890756913,-0.016554316413528315,-0.017175596226538796,-0.01989287691253706,-0.019882752619439052,-0.01989205444658474,0.07041124566137885,0.08133234173021689,0.0896185508584022,0.039644101637065575,0.025923883954053133,0.041905389908506764,0.3965393716453702,0.26136537290237166,0.37543212097883855,0.06989512143558921,-0.04336392921011459,-0.013896284810560022,0.17188181781759396,0.24383231131419417,0.19724274141363207,0.331713218408325,0.34429056250163387,0.36163035151407
NoiseFader_{'N': 10},0.05030896150620507,0.028256330367100548,0.05288810253836649,-0.298979545546569,-0.32666853060503437,-0.38475939879517856,-0.21161480213767225,-0.2041942070611491,-0.21540315374002145,1.0,0.5191814460383352,0.5538700170562167,0.5191814460383352,0.5538700170562167,1.0,-0.12231453582845815,-0.08292116367041083,-0.08340439001678726,-0.5562643009718735,-0.6068468438703429,-0.49797426409995893,-0.7753980226447612,-0.7567628358558299,-0.7831722954920939,-0.7654539857219635,-0.8371331574740218,-0.7176027072980684,-0.5148124449434094,-0.6489253540854081,-0.8614353338705644,-0.6178047148119263,-0.6828762494016671,-0.41616985827442227,-0.7681009963575248,-0.7206480880817998,-0.8231815170643527,-0.7768087778170842,-0.667471586191773,-0.9019902284726057,-0.667572319985536,-0.5990051556196151,-0.776821056993106,-0.13466282118861359,-0.13661459064683595,-0.13283467986747327,-0.6940313619943188,-0.5612743183027599,-0.8017215564265004,-0.08292116367041083,-0.12231453582845815,-0.0850527985164381,-0.13466282118861359,-0.13661459064683595,-0.13346167548006058,-0.13335605405760775,-0.13332597132836188,-0.13332877373056853,-0.5814290648666368,-0.6333728890619711,-0.549338831607423,-0.5983787776103564,-0.6821042455039656,-0.6580608504949407,-0.03189670030608827,0.03524438017420544,0.004311935258605192,-0.0784276277125622,0.19810367443691723,0.014932811368136383,-0.5905859146199293,-0.30221244044570145,-0.4293840254994954,-0.055347714879648256,-0.038299088097107734,-0.02405556971229717
