trade_date,FU.SHF,SC.INE,LU.INE,BU.SHF,RU.SHF,SP.SHF,L.DCE,V.DCE,PP.DCE,EG.DCE,EB.DCE,PG.DCE,BZ.DCE,TA.ZCE,MA.ZCE,FG.ZCE,SA.ZCE,PF.ZCE,PX.ZCE,SH.ZCE,PL.ZCE
20100104,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100105,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100106,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100107,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100108,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100111,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100112,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100113,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100114,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100115,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100118,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100119,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100120,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100121,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100122,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100125,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100126,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100127,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100128,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100129,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100201,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100202,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100203,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100204,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100205,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100208,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100209,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100210,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100211,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100212,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100222,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100223,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100224,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100225,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100226,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100301,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100302,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100303,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100304,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100305,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100308,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100309,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100310,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100311,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100312,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100315,0.0,,,,0.0,,-12.631916720393837,0.0,,,,,,0.0,,,,,,,
20100316,0.0,,,,0.0,,-23.25118310225869,0.0,,,,,,0.0,,,,,,,
20100317,0.0,,,,0.0,,-19.023281059057233,0.0,,,,,,0.0,,,,,,,
20100318,0.0,,,,0.0,,-15.564225416977159,0.0,,,,,,0.0,,,,,,,
20100319,0.0,,,,0.0,,-12.734180647305456,0.0,,,,,,0.0,,,,,,,
20100322,0.0,,,,0.0,,-10.418750831758643,0.0,,,,,,0.0,,,,,,,
20100323,0.0,,,,0.0,,-8.524349329373834,0.0,,,,,,0.0,,,,,,,
20100324,0.0,,,,0.0,,-6.9744119587698545,0.0,,,,,,0.0,,,,,,,
20100325,0.0,,,,0.0,,-5.706299788107252,0.0,,,,,,0.0,,,,,,,
20100326,0.0,,,,0.0,,-4.668765787305378,0.0,,,,,,0.0,,,,,,,
20100329,0.0,,,,0.0,,-3.8198825796772597,0.0,,,,,,0.0,,,,,,,
20100330,0.0,,,,0.0,,-3.1253472944655454,0.0,,,,,,0.0,,,,,,,
20100331,0.0,,,,0.0,,-2.5570948478751645,0.0,,,,,,0.0,,,,,,,
20100401,0.0,,,,0.0,,-2.0921635020006963,0.0,,,,,,0.0,,,,,,,
20100402,0.0,,,,0.0,,-1.7117667842823576,0.0,,,,,,0.0,,,,,,,
20100406,0.0,,,,0.0,,-1.4005342148243463,0.0,,,,,,0.0,,,,,,,
20100407,0.0,,,,0.0,,-1.1458901274351592,0.0,,,,,,0.0,,,,,,,
20100408,0.0,,,,0.0,,-0.9375454618466265,0.0,,,,,,0.0,,,,,,,
20100409,0.0,,,,0.0,,-0.7670819771283535,0.0,,,,,,0.0,,,,,,,
20100412,0.0,,,,0.0,,-0.6276120759045132,0.0,,,,,,0.0,,,,,,,
20100413,0.0,,,,0.0,,-0.5135004875769279,0.0,,,,,,0.0,,,,,,,
20100414,0.0,,,,0.0,,-0.420136560532092,0.0,,,,,,0.0,,,,,,,
20100415,0.0,,,,0.0,,-0.3437479597371293,0.0,,,,,,0.0,,,,,,,
20100416,0.0,,,,0.0,,-0.2812482401590587,0.0,,,,,,0.0,,,,,,,
20100419,0.0,,,,0.0,,-0.23011213588776572,0.0,,,,,,0.0,,,,,,,
20100420,0.0,,,,0.0,,-0.18827352515540813,0.0,,,,,,0.0,,,,,,,
20100421,0.0,,,,0.0,,-0.15404194796809995,0.0,,,,,,0.0,,,,,,,
20100422,0.0,,,,0.0,,-0.12603430288396178,0.0,,,,,,0.0,,,,,,,
20100423,0.0,,,,0.0,,-0.1031189629162312,0.0,,,,,,0.0,,,,,,,
20100426,0.0,,,,0.0,,-0.08437005242053489,0.0,,,,,,0.0,,,,,,,
20100427,0.0,,,,0.0,,-0.06903003743555808,0.0,,,,,,0.0,,,,,,,
20100428,0.0,,,,0.0,,-0.056479117887179395,-24.412180488409277,,,,,,0.0,,,,,,,
20100429,0.0,,,,0.0,,-0.04621018491817711,-45.48181754956462,,,,,,0.0,,,,,,,
20100430,0.0,,,,0.0,,-0.037808331478765674,-37.2123945665984,,,,,,0.0,,,,,,,
20100504,0.0,,,,0.0,,-0.030934088296472602,-30.446503567417228,,,,,,0.0,,,,,,,
