trade_date,FU.SHF,SC.INE,LU.INE,BU.SHF,RU.SHF,SP.SHF,L.DCE,V.DCE,PP.DCE,EG.DCE,EB.DCE,PG.DCE,BZ.DCE,TA.ZCE,MA.ZCE,FG.ZCE,SA.ZCE,PF.ZCE,PX.ZCE,SH.ZCE,PL.ZCE
20100104,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100105,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100106,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100107,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100108,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100111,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100112,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100113,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100114,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100115,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100118,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100119,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100120,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100121,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100122,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100125,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100126,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100127,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100128,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100129,-14.220529571580727,,,,9.074809851348764,,-10.387334633602503,0.0,,,,,,0.0,,,,,,,
20100201,-25.353390242603997,,,,16.657270133225907,,-19.072440898524253,0.0,,,,,,0.0,,,,,,,
20100202,-37.26438007072285,,,,22.997949265686508,,-26.15669966595293,0.0,,,,,,0.0,,,,,,,
20100203,-46.18386873715195,,,,27.847619597297264,,-11.161927517392813,0.0,,,,,,0.0,,,,,,,
20100204,-54.553970489080704,,,,31.582343086723938,,1.5866742059067147,0.0,,,,,,0.0,,,,,,,
20100205,-59.32005088843959,,,,17.27801545650882,,-9.346542231554125,0.0,,,,,,0.0,,,,,,,
20100208,-65.76083607808161,,,,5.001681360458972,,-18.986725950968733,0.0,,,,,,0.0,,,,,,,
20100209,-71.20944291053215,,,,12.81212891147471,,-26.862821010212404,0.0,,,,,,0.0,,,,,,,
20100210,-76.25190191690301,,,,2.5753797321444267,,-35.17601768241919,0.0,,,,,,0.0,,,,,,,
20100211,-80.39642616036359,,,,-5.61284627871954,,-43.39842686310053,0.0,,,,,,0.0,,,,,,,
20100212,-83.24384695130043,,,,-12.296939564166907,,-50.71851136207897,-19.939996921282937,,,,,,0.0,,,,,,,
20100222,-83.47161348475143,,,,-17.620727763715,,-55.438283339457385,-35.20560188673042,,,,,,0.0,,,,,,,
20100223,-83.7114091853677,,,,-22.16506816159975,,-59.288401735238025,-47.70042907063012,,,,,,0.0,,,,,,,
20100224,-83.91263208998082,,,,-25.8827974692174,,-62.50842022302,-57.97812965298738,,,,,,-14.898885461176674,,,,,,,
20100225,-84.38164787224964,,,,-13.39558948421235,,-65.50596754667876,-66.16519339098089,,,,,,-26.834985941725044,,,,,,,
20100226,-84.99121443588074,,,,-19.754270464989446,,-68.9745519066412,-72.80516833096326,,,,,,-38.15240082657632,,,,,,,
20100301,-85.41762522348833,,,,-24.937145983106173,,-72.08917984218016,-78.29641879973536,,,,,,-47.27281094681874,,,,,,,
20100302,-85.91250517235729,,,,-28.74961603627589,,-73.72851104907606,-83.62387468382991,,,,,,-54.81042910717551,,,,,,,
20100303,-86.27767063643017,,,,-31.90808422469273,,-75.80488607895096,-88.07140708364985,,,,,,-61.515617599006546,,,,,,,
20100304,-54.54427490396185,,,,-34.5630705244698,,-46.84332105072104,-51.02683972280971,,,,,,-67.52837453972275,,,,,,,
20100305,-61.01161821348667,,,,-36.714341209226646,,-23.170092110859752,-63.41515045618504,,,,,,-72.37957062602928,,,,,,,
20100308,-68.04497019586985,,,,-38.078478197556734,,-3.9438966091742964,-30.25554779583793,,,,,,-76.42992062959556,,,,,,,
20100309,-73.9204265325407,,,,-39.12461271338854,,11.831640028904546,-46.32314577047723,,,,,,-79.74249210240806,,,,,,,
20100310,-79.47786048589262,,,,-40.191894778388786,,25.4884617392693,-11.69004021585787,,,,,,-85.16904643393205,,,,,,,
20100311,-84.51215780674252,,,,-41.15077686907226,,35.36094421969324,16.2835019638512,,,,,,-89.08042591109053,,,,,,,
20100312,-98.06851787034354,,,,-42.778827699141964,,43.53306529463203,-13.612570257030503,,,,,,-93.0226963221458,,,,,,,
20100315,-108.42834764998905,,,,-43.365114336760364,,48.2487206905617,14.112541629878566,,,,,,-59.2066004185914,,,,,,,
20100316,-116.5823399278466,,,,-43.84244354155414,,52.39142902426612,-13.809200834914897,,,,,,-30.684142919958585,,,,,,,
20100317,-121.38622828960774,,,,-44.730585388954225,,54.71366643282643,12.09590366980575,,,,,,-41.897763451977255,,,,,,,
20100318,-125.24730246628557,,,,-45.757175109527566,,56.563554845229746,-13.803679746092868,,,,,,-17.248245846088754,,,,,,,
20100319,-129.37287999389238,,,,-46.52448198891379,,57.9248115981317,11.597064423407307,,,,,,4.917262610650636,,,,,,,
20100322,-144.3468589882539,,,,-47.4981152236238,,60.03519958140055,34.37464467741467,,,,,,23.22836235051401,,,,,,,
20100323,-157.16221513119555,,,,-48.22596267234346,,61.77402360238067,3.25225291831371,,,,,,-0.23934972469912769,,,,,,,
20100324,-167.9698718339797,,,,-48.75202862825019,,63.180484639134335,-22.174764844726422,,,,,,-19.22990913486725,,,,,,,
20100325,-176.70453227885992,,,,-48.40389928741538,,38.737159946692316,-43.69454811726176,,,,,,-35.49841697083046,,,,,,,
20100326,-182.80451771759357,,,,-48.11189697016519,,18.749856797483307,-61.02569325870535,,,,,,-48.309594627321644,,,,,,,
20100329,-188.75960156803484,,,,-47.88285748529792,,2.459340351126157,-75.15987371878877,,,,,,-58.60698044408027,,,,,,,
20100330,-196.88985951385143,,,,-48.46604744431259,,-11.517362020300911,-85.91237257023232,,,,,,-67.67117660814503,,,,,,,
20100331,-203.38462094133084,,,,-48.78237741762054,,-22.90256271587869,-93.95981645570295,,,,,,-74.94165988867714,,,,,,,
20100401,-206.7958369322649,,,,-49.4155294420999,,-32.48024538155173,-101.93645728351918,,,,,,-81.14192282079496,,,,,,,
20100402,-209.20796460909543,,,,-49.98355079721261,,-39.988298522265815,-108.51365242756775,,,,,,-86.33184974170797,,,,,,,
20100406,-210.06808834825566,,,,-31.033964875894398,,-45.72870795653309,-114.80889350911625,,,,,,-91.67056198345742,,,,,,,
20100407,-210.6328440860507,,,,-35.37042709239964,,-50.503466844094426,-118.85869892064076,,,,,,-95.96004285020912,,,,,,,
