trade_date,CU.SHF,AL.SHF
20100104,0.0,0.0
20100105,0.0,0.0
20100106,0.0,0.0
20100107,0.0,0.0
20100108,0.0,0.0
20100111,0.0,0.0
20100112,0.0,0.0
20100113,0.0,0.0
20100114,0.0,0.0
20100115,0.0,0.0
20100118,0.0,0.0
20100119,0.0,0.0
20100120,0.0,0.0
20100121,0.0,0.0
20100122,0.0,0.0
20100125,0.0,0.0
20100126,0.0,0.0
20100127,0.0,0.0
20100128,0.0,0.0
20100129,0.0,0.0
20100201,0.0,0.0
20100202,0.0,0.0
20100203,0.0,0.0
20100204,0.0,0.0
20100205,0.0,0.0
20100208,0.0,0.0
20100209,0.0,0.0
20100210,0.0,0.0
20100211,0.0,0.0
20100212,0.0,0.0
20100222,0.0,0.0
20100223,0.0,0.0
20100224,0.0,0.0
20100225,0.0,0.0
20100226,0.0,0.0
20100301,0.0,0.0
20100302,0.0,0.0
20100303,0.0,0.0
20100304,0.0,0.0
20100305,0.0,0.0
20100308,1.7387114319525654,-21.981524551195537
20100309,3.02525566178465,-42.81817904805153
20100310,3.3834703901266168,-70.49687530726928
20100311,4.63602216033407,-98.30924976669972
20100312,5.894978290536417,-132.3784443464894
20100315,6.015202344838994,-145.97287526552992
20100316,6.348298138814922,-158.23171198621674
20100317,6.4154773828970235,-156.81095768864486
20100318,5.7800341923736145,-154.26223170170059
20100319,5.804027602581628,-150.22578537250553
20100322,6.215246021391464,-143.92547883089628
20100323,5.761921876754905,-138.30707971582956
20100324,4.936810421791852,-142.66891138359273
20100325,4.274929008976845,-143.13118547080103
20100326,2.661566374563941,-152.64480063690837
20100329,3.5973766799997033,-162.37093392656297
20100330,3.7222915597423185,-183.22449154035746
20100331,3.991727248251266,-199.53080044732266
20100401,2.2936860989388532,-151.9277529895762
20100402,-1.924741774009099,-114.27041499621109
20100406,-8.382545009710382,-85.60129417989717
20100407,-13.604686573635949,-61.67280514714798
20100408,-19.095965857012786,-24.638009799647946
20100409,-26.928007640025648,2.3238333795536112
20100412,-33.41752644840632,20.323555749599155
20100413,-39.70378330760371,37.896568440768895
20100414,-46.305980344031894,50.779156987570076
20100415,-61.03950342878265,60.64863010894879
20100416,-76.2972179778355,70.67514492834732
20100419,-84.2882192085427,45.33914038164528
20100420,-90.81657526575219,23.816223600362818
20100421,-96.15443574084074,6.15069657512262
20100422,-102.4274277449583,-13.751326620093918
20100423,-108.04637714446035,-28.825195518275077
20100426,-110.1955074032082,-45.048621541283765
20100427,-100.4535223702772,-53.060815239148376
20100428,-95.46717056054496,-59.97085457334012
20100429,-91.5229069449813,-67.5742561223713
20100430,-89.18788793862365,-72.98873963559886
20100504,-86.23260938657242,-74.64530258069988
20100505,-79.88889268158142,-74.29753289563668
20100506,-72.64973059242277,-74.83785539282749
20100507,-62.3841269416818,-68.48391495644636
20100510,-58.807359271351,-62.96681221778029
20100511,-54.42504581272336,-58.66711048631601
20100512,-52.836765314984625,-60.61134237013982
