trade_date,CU.SHF,AL.SHF
20100104,0.0,0.0
20100105,0.0,0.0
20100106,0.0,0.0
20100107,0.0,0.0
20100108,0.0,0.0
20100111,0.0,0.0
20100112,0.0,0.0
20100113,0.0,0.0
20100114,0.0,0.0
20100115,0.0,0.0
20100118,0.0,0.0
20100119,0.0,0.0
20100120,0.0,0.0
20100121,0.0,0.0
20100122,0.0,0.0
20100125,0.0,0.0
20100126,0.0,0.0
20100127,0.0,0.0
20100128,0.0,0.0
20100129,0.0,0.0
20100201,0.0,0.0
20100202,0.0,0.0
20100203,0.0,0.0
20100204,0.0,0.0
20100205,0.0,0.0
20100208,0.0,0.0
20100209,0.0,0.0
20100210,0.0,0.0
20100211,0.0,0.0
20100212,0.0,0.0
20100222,0.0,0.0
20100223,0.0,0.0
20100224,0.0,0.0
20100225,0.0,0.0
20100226,0.0,0.0
20100301,0.0,0.0
20100302,0.0,0.0
20100303,0.0,0.0
20100304,0.0,0.0
20100305,0.0,0.0
20100308,-0.019039597250380614,0.00791943705910263
20100309,-0.03240867257031765,0.007896136467131543
20100310,-0.0460342915673204,-0.010123606233928002
20100311,-0.054948837808486445,-0.0029010744747130527
20100312,-0.06529253574868008,0.006609470953723325
20100315,-0.07501523796989083,-0.0018975155018487342
20100316,-0.08100710346614243,-0.009586430745489625
20100317,-0.09422341655712207,-0.03581351793137916
20100318,-0.10016168476367937,-0.04498728770731973
20100319,-0.10309610893129748,-0.04374094836551275
20100322,-0.11177660707389969,-0.05335153209248127
20100323,-0.12467829987422689,-0.07050367356986197
20100324,-0.13085488603219497,-0.07851766796171893
20100325,-0.13764436633553107,-0.09288221887545461
20100326,-0.14374365963860103,-0.10029458670260427
20100329,-0.1492606077089667,-0.11200349562583758
20100330,-0.14662464743214923,-0.120431115867285
20100331,-0.14957463258923084,-0.12862515777313321
20100401,-0.1600693519685603,-0.14283431828220394
20100402,-0.16436451240165198,-0.1649221721058034
20100406,-0.1666217917624505,-0.18488301685304448
20100407,-0.1595109220330853,-0.2011205145114729
20100408,-0.15409995309732802,-0.21978806547275215
20100409,-0.16799572998762427,-0.25434628515810004
20100412,-0.19111072618073818,-0.29651347241527953
20100413,-0.20857934825773317,-0.3360477912782131
20100414,-0.23604530875426072,-0.383663543990999
20100415,-0.2667059150254718,-0.42576740391825485
20100416,-0.2989224096067942,-0.4724234311858593
20100419,-0.2992404975099791,-0.48930854680737695
20100420,-0.27485325523661686,-0.4694077545932888
20100421,-0.2541062376047379,-0.45321079654028923
20100422,-0.24517023213519493,-0.44202707105552774
20100423,-0.2357644490974617,-0.4327655033275967
20100426,-0.23110727040040696,-0.43511718729607113
20100427,-0.21144193755583243,-0.4261976576140537
20100428,-0.17954526066231916,-0.37135793542859336
20100429,-0.14961037593723764,-0.3259028136568806
20100430,-0.12396100170378746,-0.28734511684823083
20100504,-0.10196056297993694,-0.2568355717620893
20100505,-0.07332945782819175,-0.22537152425525284
